model_type,train_type,epoch,im1,im2,identity,orient,similarity
ae,imagenet_objects,10,Bob_front.jpg,Bob_left.jpg,same,diff,0.79513276
ae,imagenet_objects,10,Bob_front.jpg,Bob_right.jpg,same,diff,0.72650313
ae,imagenet_objects,10,Bob_front.jpg,Dan_front.jpg,diff,same,0.8229131
ae,imagenet_objects,10,Bob_front.jpg,Dan_left.jpg,diff,diff,0.6953239
ae,imagenet_objects,10,Bob_front.jpg,Dan_right.jpg,diff,diff,0.7517819
ae,imagenet_objects,10,Bob_front.jpg,Jim_front.jpg,diff,same,0.78262186
ae,imagenet_objects,10,Bob_front.jpg,Jim_left.jpg,diff,diff,0.6584524
ae,imagenet_objects,10,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6548576
ae,imagenet_objects,10,Bob_front.jpg,Matt_front.jpg,diff,same,0.6890385
ae,imagenet_objects,10,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6392078
ae,imagenet_objects,10,Bob_front.jpg,Matt_right.jpg,diff,diff,0.57533956
ae,imagenet_objects,10,Bob_front.jpg,Nate_front.jpg,diff,same,0.81001914
ae,imagenet_objects,10,Bob_front.jpg,Nate_left.jpg,diff,diff,0.630723
ae,imagenet_objects,10,Bob_front.jpg,Nate_right.jpg,diff,diff,0.6608617
ae,imagenet_objects,10,Bob_front.jpg,Zack_front.jpg,diff,same,0.7174766
ae,imagenet_objects,10,Bob_front.jpg,Zack_left.jpg,diff,diff,0.7136789
ae,imagenet_objects,10,Bob_front.jpg,Zack_right.jpg,diff,diff,0.687703
ae,imagenet_objects,10,Bob_left.jpg,Bob_right.jpg,same,diff,0.84129584
ae,imagenet_objects,10,Bob_left.jpg,Dan_front.jpg,diff,diff,0.83897054
ae,imagenet_objects,10,Bob_left.jpg,Dan_left.jpg,diff,same,0.9071594
ae,imagenet_objects,10,Bob_left.jpg,Dan_right.jpg,diff,diff,0.69226193
ae,imagenet_objects,10,Bob_left.jpg,Jim_front.jpg,diff,diff,0.88635135
ae,imagenet_objects,10,Bob_left.jpg,Jim_left.jpg,diff,same,0.8816473
ae,imagenet_objects,10,Bob_left.jpg,Jim_right.jpg,diff,diff,0.6952041
ae,imagenet_objects,10,Bob_left.jpg,Matt_front.jpg,diff,diff,0.8378533
