model_type,train_type,epoch,im1,im2,identity,orient,similarity
ae,imagenet_objects,25,Bob_front.jpg,Bob_left.jpg,same,diff,0.9554784
ae,imagenet_objects,25,Bob_front.jpg,Bob_right.jpg,same,diff,0.94152683
ae,imagenet_objects,25,Bob_front.jpg,Dan_front.jpg,diff,same,0.96201664
ae,imagenet_objects,25,Bob_front.jpg,Dan_left.jpg,diff,diff,0.94753456
ae,imagenet_objects,25,Bob_front.jpg,Dan_right.jpg,diff,diff,0.95679253
ae,imagenet_objects,25,Bob_front.jpg,Jim_front.jpg,diff,same,0.95985997
ae,imagenet_objects,25,Bob_front.jpg,Jim_left.jpg,diff,diff,0.94085866
ae,imagenet_objects,25,Bob_front.jpg,Jim_right.jpg,diff,diff,0.94289255
ae,imagenet_objects,25,Bob_front.jpg,Matt_front.jpg,diff,same,0.9461621
ae,imagenet_objects,25,Bob_front.jpg,Matt_left.jpg,diff,diff,0.9382049
ae,imagenet_objects,25,Bob_front.jpg,Matt_right.jpg,diff,diff,0.93556595
ae,imagenet_objects,25,Bob_front.jpg,Nate_front.jpg,diff,same,0.96029496
ae,imagenet_objects,25,Bob_front.jpg,Nate_left.jpg,diff,diff,0.9316976
ae,imagenet_objects,25,Bob_front.jpg,Nate_right.jpg,diff,diff,0.9442173
ae,imagenet_objects,25,Bob_front.jpg,Zack_front.jpg,diff,same,0.94304866
ae,imagenet_objects,25,Bob_front.jpg,Zack_left.jpg,diff,diff,0.9433295
ae,imagenet_objects,25,Bob_front.jpg,Zack_right.jpg,diff,diff,0.94423634
ae,imagenet_objects,25,Bob_left.jpg,Bob_right.jpg,same,diff,0.9594512
ae,imagenet_objects,25,Bob_left.jpg,Dan_front.jpg,diff,diff,0.965365
ae,imagenet_objects,25,Bob_left.jpg,Dan_left.jpg,diff,same,0.9776616
ae,imagenet_objects,25,Bob_left.jpg,Dan_right.jpg,diff,diff,0.9370246
ae,imagenet_objects,25,Bob_left.jpg,Jim_front.jpg,diff,diff,0.97367656
ae,imagenet_objects,25,Bob_left.jpg,Jim_left.jpg,diff,same,0.97346485
ae,imagenet_objects,25,Bob_left.jpg,Jim_right.jpg,diff,diff,0.94004446
ae,imagenet_objects,25,Bob_left.jpg,Matt_front.jpg,diff,diff,0.9659753
ae,imagenet_objects,25,Bob_left.jpg,Matt_left.jpg,diff,same,0.96851814
ae,imagenet_objects,25,Bob_left.jpg,Matt_right.jpg,diff,diff,0.92375857
ae,imagenet_objects,25,Bob_left.jpg,Nate_front.jpg,diff,diff,0.97400236
ae,imagenet_objects,25,Bob_left.jpg,Nate_left.jpg,diff,same,0.96153796
ae,imagenet_objects,25,Bob_left.jpg,Nate_right.jpg,diff,diff,0.92411834
ae,imagenet_objects,25,Bob_left.jpg,Zack_front.jpg,diff,diff,0.9609257
ae,imagenet_objects,25,Bob_left.jpg,Zack_left.jpg,diff,same,0.9721862
ae,imagenet_objects,25,Bob_left.jpg,Zack_right.jpg,diff,diff,0.9324388
ae,imagenet_objects,25,Bob_right.jpg,Dan_front.jpg,diff,diff,0.96618205
ae,imagenet_objects,25,Bob_right.jpg,Dan_left.jpg,diff,diff,0.93861115
ae,imagenet_objects,25,Bob_right.jpg,Dan_right.jpg,diff,same,0.96535826
ae,imagenet_objects,25,Bob_right.jpg,Jim_front.jpg,diff,diff,0.9571547
ae,imagenet_objects,25,Bob_right.jpg,Jim_left.jpg,diff,diff,0.9308413
ae,imagenet_objects,25,Bob_right.jpg,Jim_right.jpg,diff,same,0.96323025
ae,imagenet_objects,25,Bob_right.jpg,Matt_front.jpg,diff,diff,0.9597953
ae,imagenet_objects,25,Bob_right.jpg,Matt_left.jpg,diff,diff,0.92351943
ae,imagenet_objects,25,Bob_right.jpg,Matt_right.jpg,diff,same,0.9512861
ae,imagenet_objects,25,Bob_right.jpg,Nate_front.jpg,diff,diff,0.9599786
ae,imagenet_objects,25,Bob_right.jpg,Nate_left.jpg,diff,diff,0.9174306
ae,imagenet_objects,25,Bob_right.jpg,Nate_right.jpg,diff,same,0.95495015
ae,imagenet_objects,25,Bob_right.jpg,Zack_front.jpg,diff,diff,0.9568289
ae,imagenet_objects,25,Bob_right.jpg,Zack_left.jpg,diff,diff,0.92613196
ae,imagenet_objects,25,Bob_right.jpg,Zack_right.jpg,diff,same,0.9590968
ae,imagenet_objects,25,Dan_front.jpg,Dan_left.jpg,same,diff,0.95831347
ae,imagenet_objects,25,Dan_front.jpg,Dan_right.jpg,same,diff,0.9774373
ae,imagenet_objects,25,Dan_front.jpg,Jim_front.jpg,diff,same,0.98766863
ae,imagenet_objects,25,Dan_front.jpg,Jim_left.jpg,diff,diff,0.95193666
ae,imagenet_objects,25,Dan_front.jpg,Jim_right.jpg,diff,diff,0.97245985
ae,imagenet_objects,25,Dan_front.jpg,Matt_front.jpg,diff,same,0.9872601
ae,imagenet_objects,25,Dan_front.jpg,Matt_left.jpg,diff,diff,0.946767
ae,imagenet_objects,25,Dan_front.jpg,Matt_right.jpg,diff,diff,0.95605904
ae,imagenet_objects,25,Dan_front.jpg,Nate_front.jpg,diff,same,0.9911438
ae,imagenet_objects,25,Dan_front.jpg,Nate_left.jpg,diff,diff,0.9379789
ae,imagenet_objects,25,Dan_front.jpg,Nate_right.jpg,diff,diff,0.96287316
ae,imagenet_objects,25,Dan_front.jpg,Zack_front.jpg,diff,same,0.98717254
ae,imagenet_objects,25,Dan_front.jpg,Zack_left.jpg,diff,diff,0.95286596
ae,imagenet_objects,25,Dan_front.jpg,Zack_right.jpg,diff,diff,0.97117585
