model_type,train_type,epoch,im1,im2,identity,orient,similarity
ae,vggface,10,Bob_front.jpg,Bob_left.jpg,same,diff,0.9273869
ae,vggface,10,Bob_front.jpg,Bob_right.jpg,same,diff,0.9052066
ae,vggface,10,Bob_front.jpg,Dan_front.jpg,diff,same,0.9330127
ae,vggface,10,Bob_front.jpg,Dan_left.jpg,diff,diff,0.9264705
ae,vggface,10,Bob_front.jpg,Dan_right.jpg,diff,diff,0.9215338
ae,vggface,10,Bob_front.jpg,Jim_front.jpg,diff,same,0.93563694
ae,vggface,10,Bob_front.jpg,Jim_left.jpg,diff,diff,0.91385436
ae,vggface,10,Bob_front.jpg,Jim_right.jpg,diff,diff,0.9094454
ae,vggface,10,Bob_front.jpg,Matt_front.jpg,diff,same,0.90871453
ae,vggface,10,Bob_front.jpg,Matt_left.jpg,diff,diff,0.90632874
ae,vggface,10,Bob_front.jpg,Matt_right.jpg,diff,diff,0.9016708
ae,vggface,10,Bob_front.jpg,Nate_front.jpg,diff,same,0.9291364
ae,vggface,10,Bob_front.jpg,Nate_left.jpg,diff,diff,0.9004989
ae,vggface,10,Bob_front.jpg,Nate_right.jpg,diff,diff,0.90538776
ae,vggface,10,Bob_front.jpg,Zack_front.jpg,diff,same,0.8988456
ae,vggface,10,Bob_front.jpg,Zack_left.jpg,diff,diff,0.90883857
ae,vggface,10,Bob_front.jpg,Zack_right.jpg,diff,diff,0.90405077
ae,vggface,10,Bob_left.jpg,Bob_right.jpg,same,diff,0.9268206
ae,vggface,10,Bob_left.jpg,Dan_front.jpg,diff,diff,0.9281402
ae,vggface,10,Bob_left.jpg,Dan_left.jpg,diff,same,0.9609696
ae,vggface,10,Bob_left.jpg,Dan_right.jpg,diff,diff,0.8947861
ae,vggface,10,Bob_left.jpg,Jim_front.jpg,diff,diff,0.9442448
ae,vggface,10,Bob_left.jpg,Jim_left.jpg,diff,same,0.9492752
ae,vggface,10,Bob_left.jpg,Jim_right.jpg,diff,diff,0.89855295
ae,vggface,10,Bob_left.jpg,Matt_front.jpg,diff,diff,0.92893785
ae,vggface,10,Bob_left.jpg,Matt_left.jpg,diff,same,0.9392033
ae,vggface,10,Bob_left.jpg,Matt_right.jpg,diff,diff,0.8821185
ae,vggface,10,Bob_left.jpg,Nate_front.jpg,diff,diff,0.9425245
ae,vggface,10,Bob_left.jpg,Nate_left.jpg,diff,same,0.9286116
ae,vggface,10,Bob_left.jpg,Nate_right.jpg,diff,diff,0.8821176
ae,vggface,10,Bob_left.jpg,Zack_front.jpg,diff,diff,0.9259516
ae,vggface,10,Bob_left.jpg,Zack_left.jpg,diff,same,0.94560564
ae,vggface,10,Bob_left.jpg,Zack_right.jpg,diff,diff,0.8902007
ae,vggface,10,Bob_right.jpg,Dan_front.jpg,diff,diff,0.93447804
ae,vggface,10,Bob_right.jpg,Dan_left.jpg,diff,diff,0.9040192
ae,vggface,10,Bob_right.jpg,Dan_right.jpg,diff,same,0.9435601
ae,vggface,10,Bob_right.jpg,Jim_front.jpg,diff,diff,0.92284954
ae,vggface,10,Bob_right.jpg,Jim_left.jpg,diff,diff,0.89470357
ae,vggface,10,Bob_right.jpg,Jim_right.jpg,diff,same,0.93838966
ae,vggface,10,Bob_right.jpg,Matt_front.jpg,diff,diff,0.9221588
ae,vggface,10,Bob_right.jpg,Matt_left.jpg,diff,diff,0.88018674
ae,vggface,10,Bob_right.jpg,Matt_right.jpg,diff,same,0.91902244
ae,vggface,10,Bob_right.jpg,Nate_front.jpg,diff,diff,0.9243498
ae,vggface,10,Bob_right.jpg,Nate_left.jpg,diff,diff,0.8746329
ae,vggface,10,Bob_right.jpg,Nate_right.jpg,diff,same,0.9257279
ae,vggface,10,Bob_right.jpg,Zack_front.jpg,diff,diff,0.91910106
ae,vggface,10,Bob_right.jpg,Zack_left.jpg,diff,diff,0.8831671
ae,vggface,10,Bob_right.jpg,Zack_right.jpg,diff,same,0.93123305
ae,vggface,10,Dan_front.jpg,Dan_left.jpg,same,diff,0.92794216
ae,vggface,10,Dan_front.jpg,Dan_right.jpg,same,diff,0.96198183
ae,vggface,10,Dan_front.jpg,Jim_front.jpg,diff,same,0.9762842
ae,vggface,10,Dan_front.jpg,Jim_left.jpg,diff,diff,0.9200983
ae,vggface,10,Dan_front.jpg,Jim_right.jpg,diff,diff,0.95309466
ae,vggface,10,Dan_front.jpg,Matt_front.jpg,diff,same,0.97421575
ae,vggface,10,Dan_front.jpg,Matt_left.jpg,diff,diff,0.90930253
ae,vggface,10,Dan_front.jpg,Matt_right.jpg,diff,diff,0.93610734
ae,vggface,10,Dan_front.jpg,Nate_front.jpg,diff,same,0.9793387
ae,vggface,10,Dan_front.jpg,Nate_left.jpg,diff,diff,0.89878297
ae,vggface,10,Dan_front.jpg,Nate_right.jpg,diff,diff,0.93973017
ae,vggface,10,Dan_front.jpg,Zack_front.jpg,diff,same,0.96859294
ae,vggface,10,Dan_front.jpg,Zack_left.jpg,diff,diff,0.9164357
ae,vggface,10,Dan_front.jpg,Zack_right.jpg,diff,diff,0.95106953
ae,vggface,10,Dan_left.jpg,Dan_right.jpg,same,diff,0.89085954
ae,vggface,10,Dan_left.jpg,Jim_front.jpg,diff,diff,0.95804
ae,vggface,10,Dan_left.jpg,Jim_left.jpg,diff,same,0.9844708
ae,vggface,10,Dan_left.jpg,Jim_right.jpg,diff,diff,0.9014139
ae,vggface,10,Dan_left.jpg,Matt_front.jpg,diff,diff,0.9412984
ae,vggface,10,Dan_left.jpg,Matt_left.jpg,diff,same,0.97377163
ae,vggface,10,Dan_left.jpg,Matt_right.jpg,diff,diff,0.88731253
ae,vggface,10,Dan_left.jpg,Nate_front.jpg,diff,diff,0.95111203
ae,vggface,10,Dan_left.jpg,Nate_left.jpg,diff,same,0.9629542
ae,vggface,10,Dan_left.jpg,Nate_right.jpg,diff,diff,0.8816229
ae,vggface,10,Dan_left.jpg,Zack_front.jpg,diff,diff,0.928012
ae,vggface,10,Dan_left.jpg,Zack_left.jpg,diff,same,0.9686478
ae,vggface,10,Dan_left.jpg,Zack_right.jpg,diff,diff,0.88690615
ae,vggface,10,Dan_right.jpg,Jim_front.jpg,diff,diff,0.9344548
ae,vggface,10,Dan_right.jpg,Jim_left.jpg,diff,diff,0.8877297
ae,vggface,10,Dan_right.jpg,Jim_right.jpg,diff,same,0.9816253
ae,vggface,10,Dan_right.jpg,Matt_front.jpg,diff,diff,0.94209194
ae,vggface,10,Dan_right.jpg,Matt_left.jpg,diff,diff,0.87553406
ae,vggface,10,Dan_right.jpg,Matt_right.jpg,diff,same,0.96898293
ae,vggface,10,Dan_right.jpg,Nate_front.jpg,diff,diff,0.9379831
ae,vggface,10,Dan_right.jpg,Nate_left.jpg,diff,diff,0.8663616
ae,vggface,10,Dan_right.jpg,Nate_right.jpg,diff,same,0.97727215
ae,vggface,10,Dan_right.jpg,Zack_front.jpg,diff,diff,0.9446905
ae,vggface,10,Dan_right.jpg,Zack_left.jpg,diff,diff,0.8827581
ae,vggface,10,Dan_right.jpg,Zack_right.jpg,diff,same,0.98098403
ae,vggface,10,Jim_front.jpg,Jim_left.jpg,same,diff,0.9521896
ae,vggface,10,Jim_front.jpg,Jim_right.jpg,same,diff,0.9388514
ae,vggface,10,Jim_front.jpg,Matt_front.jpg,diff,same,0.9805217
ae,vggface,10,Jim_front.jpg,Matt_left.jpg,diff,diff,0.9389769
ae,vggface,10,Jim_front.jpg,Matt_right.jpg,diff,diff,0.9246646
ae,vggface,10,Jim_front.jpg,Nate_front.jpg,diff,same,0.9925114
ae,vggface,10,Jim_front.jpg,Nate_left.jpg,diff,diff,0.9285218
ae,vggface,10,Jim_front.jpg,Nate_right.jpg,diff,diff,0.919944
ae,vggface,10,Jim_front.jpg,Zack_front.jpg,diff,same,0.9687245
ae,vggface,10,Jim_front.jpg,Zack_left.jpg,diff,diff,0.9434313
ae,vggface,10,Jim_front.jpg,Zack_right.jpg,diff,diff,0.9323465
ae,vggface,10,Jim_left.jpg,Jim_right.jpg,same,diff,0.89730275
ae,vggface,10,Jim_left.jpg,Matt_front.jpg,diff,diff,0.9318815
ae,vggface,10,Jim_left.jpg,Matt_left.jpg,diff,same,0.9871802
ae,vggface,10,Jim_left.jpg,Matt_right.jpg,diff,diff,0.8819381
ae,vggface,10,Jim_left.jpg,Nate_front.jpg,diff,diff,0.94223654
ae,vggface,10,Jim_left.jpg,Nate_left.jpg,diff,same,0.9777181
ae,vggface,10,Jim_left.jpg,Nate_right.jpg,diff,diff,0.876842
ae,vggface,10,Jim_left.jpg,Zack_front.jpg,diff,diff,0.9238295
ae,vggface,10,Jim_left.jpg,Zack_left.jpg,diff,same,0.98401004
ae,vggface,10,Jim_left.jpg,Zack_right.jpg,diff,diff,0.886612
ae,vggface,10,Jim_right.jpg,Matt_front.jpg,diff,diff,0.9444394
ae,vggface,10,Jim_right.jpg,Matt_left.jpg,diff,diff,0.88317686
ae,vggface,10,Jim_right.jpg,Matt_right.jpg,diff,same,0.982137
ae,vggface,10,Jim_right.jpg,Nate_front.jpg,diff,diff,0.93912125
ae,vggface,10,Jim_right.jpg,Nate_left.jpg,diff,diff,0.87349504
ae,vggface,10,Jim_right.jpg,Nate_right.jpg,diff,same,0.9776742
ae,vggface,10,Jim_right.jpg,Zack_front.jpg,diff,diff,0.9427035
ae,vggface,10,Jim_right.jpg,Zack_left.jpg,diff,diff,0.8863225
ae,vggface,10,Jim_right.jpg,Zack_right.jpg,diff,same,0.98540056
ae,vggface,10,Matt_front.jpg,Matt_left.jpg,same,diff,0.92632073
ae,vggface,10,Matt_front.jpg,Matt_right.jpg,same,diff,0.9361402
ae,vggface,10,Matt_front.jpg,Nate_front.jpg,diff,same,0.9854486
ae,vggface,10,Matt_front.jpg,Nate_left.jpg,diff,diff,0.91064113
ae,vggface,10,Matt_front.jpg,Nate_right.jpg,diff,diff,0.9345245
ae,vggface,10,Matt_front.jpg,Zack_front.jpg,diff,same,0.9829217
ae,vggface,10,Matt_front.jpg,Zack_left.jpg,diff,diff,0.9202554
ae,vggface,10,Matt_front.jpg,Zack_right.jpg,diff,diff,0.9389074
