model_type,train_type,epoch,im1,im2,identity,orient,similarity
ae,vggface,1,Bob_front.jpg,Bob_left.jpg,same,diff,0.86159706
ae,vggface,1,Bob_front.jpg,Bob_right.jpg,same,diff,0.8264884
ae,vggface,1,Bob_front.jpg,Dan_front.jpg,diff,same,0.8826952
ae,vggface,1,Bob_front.jpg,Dan_left.jpg,diff,diff,0.8472117
ae,vggface,1,Bob_front.jpg,Dan_right.jpg,diff,diff,0.8766682
ae,vggface,1,Bob_front.jpg,Jim_front.jpg,diff,same,0.87719685
ae,vggface,1,Bob_front.jpg,Jim_left.jpg,diff,diff,0.83068156
ae,vggface,1,Bob_front.jpg,Jim_right.jpg,diff,diff,0.8454956
ae,vggface,1,Bob_front.jpg,Matt_front.jpg,diff,same,0.8188433
ae,vggface,1,Bob_front.jpg,Matt_left.jpg,diff,diff,0.8235385
ae,vggface,1,Bob_front.jpg,Matt_right.jpg,diff,diff,0.8268021
ae,vggface,1,Bob_front.jpg,Nate_front.jpg,diff,same,0.8717505
ae,vggface,1,Bob_front.jpg,Nate_left.jpg,diff,diff,0.8205233
ae,vggface,1,Bob_front.jpg,Nate_right.jpg,diff,diff,0.8421246
ae,vggface,1,Bob_front.jpg,Zack_front.jpg,diff,same,0.8025881
ae,vggface,1,Bob_front.jpg,Zack_left.jpg,diff,diff,0.8426099
ae,vggface,1,Bob_front.jpg,Zack_right.jpg,diff,diff,0.8460584
ae,vggface,1,Bob_left.jpg,Bob_right.jpg,same,diff,0.87254983
ae,vggface,1,Bob_left.jpg,Dan_front.jpg,diff,diff,0.8710849
ae,vggface,1,Bob_left.jpg,Dan_left.jpg,diff,same,0.9325748
ae,vggface,1,Bob_left.jpg,Dan_right.jpg,diff,diff,0.80768085
ae,vggface,1,Bob_left.jpg,Jim_front.jpg,diff,diff,0.90314454
ae,vggface,1,Bob_left.jpg,Jim_left.jpg,diff,same,0.89996
ae,vggface,1,Bob_left.jpg,Jim_right.jpg,diff,diff,0.8082702
ae,vggface,1,Bob_left.jpg,Matt_front.jpg,diff,diff,0.8716385
ae,vggface,1,Bob_left.jpg,Matt_left.jpg,diff,same,0.8811445
ae,vggface,1,Bob_left.jpg,Matt_right.jpg,diff,diff,0.77090716
