model_type,train_type,epoch,im1,im2,identity,orient,similarity
ae,vggface,5,Bob_front.jpg,Bob_left.jpg,same,diff,0.78718066
ae,vggface,5,Bob_front.jpg,Bob_right.jpg,same,diff,0.7215137
ae,vggface,5,Bob_front.jpg,Dan_front.jpg,diff,same,0.8242856
ae,vggface,5,Bob_front.jpg,Dan_left.jpg,diff,diff,0.71152896
ae,vggface,5,Bob_front.jpg,Dan_right.jpg,diff,diff,0.7777718
ae,vggface,5,Bob_front.jpg,Jim_front.jpg,diff,same,0.7954479
ae,vggface,5,Bob_front.jpg,Jim_left.jpg,diff,diff,0.6950755
ae,vggface,5,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6978392
ae,vggface,5,Bob_front.jpg,Matt_front.jpg,diff,same,0.69084495
ae,vggface,5,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6728734
ae,vggface,5,Bob_front.jpg,Matt_right.jpg,diff,diff,0.62697697
ae,vggface,5,Bob_front.jpg,Nate_front.jpg,diff,same,0.7982509
ae,vggface,5,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6589771
ae,vggface,5,Bob_front.jpg,Nate_right.jpg,diff,diff,0.6992976
ae,vggface,5,Bob_front.jpg,Zack_front.jpg,diff,same,0.70555127
ae,vggface,5,Bob_front.jpg,Zack_left.jpg,diff,diff,0.7337894
ae,vggface,5,Bob_front.jpg,Zack_right.jpg,diff,diff,0.71886903
ae,vggface,5,Bob_left.jpg,Bob_right.jpg,same,diff,0.8212097
ae,vggface,5,Bob_left.jpg,Dan_front.jpg,diff,diff,0.82454777
ae,vggface,5,Bob_left.jpg,Dan_left.jpg,diff,same,0.9077464
ae,vggface,5,Bob_left.jpg,Dan_right.jpg,diff,diff,0.7055101
ae,vggface,5,Bob_left.jpg,Jim_front.jpg,diff,diff,0.8809835
ae,vggface,5,Bob_left.jpg,Jim_left.jpg,diff,same,0.8799356
ae,vggface,5,Bob_left.jpg,Jim_right.jpg,diff,diff,0.71173954
ae,vggface,5,Bob_left.jpg,Matt_front.jpg,diff,diff,0.82777
ae,vggface,5,Bob_left.jpg,Matt_left.jpg,diff,same,0.84687173
ae,vggface,5,Bob_left.jpg,Matt_right.jpg,diff,diff,0.6293485
ae,vggface,5,Bob_left.jpg,Nate_front.jpg,diff,diff,0.87840253
ae,vggface,5,Bob_left.jpg,Nate_left.jpg,diff,same,0.8161652
ae,vggface,5,Bob_left.jpg,Nate_right.jpg,diff,diff,0.6375042
ae,vggface,5,Bob_left.jpg,Zack_front.jpg,diff,diff,0.8151529
ae,vggface,5,Bob_left.jpg,Zack_left.jpg,diff,same,0.871298
ae,vggface,5,Bob_left.jpg,Zack_right.jpg,diff,diff,0.6942416
ae,vggface,5,Bob_right.jpg,Dan_front.jpg,diff,diff,0.8510631
ae,vggface,5,Bob_right.jpg,Dan_left.jpg,diff,diff,0.72829753
ae,vggface,5,Bob_right.jpg,Dan_right.jpg,diff,same,0.8522489
ae,vggface,5,Bob_right.jpg,Jim_front.jpg,diff,diff,0.816122
ae,vggface,5,Bob_right.jpg,Jim_left.jpg,diff,diff,0.68928957
ae,vggface,5,Bob_right.jpg,Jim_right.jpg,diff,same,0.8382351
ae,vggface,5,Bob_right.jpg,Matt_front.jpg,diff,diff,0.81062263
ae,vggface,5,Bob_right.jpg,Matt_left.jpg,diff,diff,0.63040066
ae,vggface,5,Bob_right.jpg,Matt_right.jpg,diff,same,0.77088815
ae,vggface,5,Bob_right.jpg,Nate_front.jpg,diff,diff,0.82172394
ae,vggface,5,Bob_right.jpg,Nate_left.jpg,diff,diff,0.61226785
ae,vggface,5,Bob_right.jpg,Nate_right.jpg,diff,same,0.8002716
ae,vggface,5,Bob_right.jpg,Zack_front.jpg,diff,diff,0.80892897
ae,vggface,5,Bob_right.jpg,Zack_left.jpg,diff,diff,0.6585176
ae,vggface,5,Bob_right.jpg,Zack_right.jpg,diff,same,0.8273815
ae,vggface,5,Dan_front.jpg,Dan_left.jpg,same,diff,0.7951318
ae,vggface,5,Dan_front.jpg,Dan_right.jpg,same,diff,0.92003196
ae,vggface,5,Dan_front.jpg,Jim_front.jpg,diff,same,0.94853145
ae,vggface,5,Dan_front.jpg,Jim_left.jpg,diff,diff,0.7715479
ae,vggface,5,Dan_front.jpg,Jim_right.jpg,diff,diff,0.8854862
ae,vggface,5,Dan_front.jpg,Matt_front.jpg,diff,same,0.93473226
ae,vggface,5,Dan_front.jpg,Matt_left.jpg,diff,diff,0.7328537
ae,vggface,5,Dan_front.jpg,Matt_right.jpg,diff,diff,0.80027777
ae,vggface,5,Dan_front.jpg,Nate_front.jpg,diff,same,0.9635326
ae,vggface,5,Dan_front.jpg,Nate_left.jpg,diff,diff,0.7030425
ae,vggface,5,Dan_front.jpg,Nate_right.jpg,diff,diff,0.84476113
ae,vggface,5,Dan_front.jpg,Zack_front.jpg,diff,same,0.9478183
ae,vggface,5,Dan_front.jpg,Zack_left.jpg,diff,diff,0.78017485
ae,vggface,5,Dan_front.jpg,Zack_right.jpg,diff,diff,0.8981782
ae,vggface,5,Dan_left.jpg,Dan_right.jpg,same,diff,0.6452584
ae,vggface,5,Dan_left.jpg,Jim_front.jpg,diff,diff,0.91511834
ae,vggface,5,Dan_left.jpg,Jim_left.jpg,diff,same,0.9756123
ae,vggface,5,Dan_left.jpg,Jim_right.jpg,diff,diff,0.7104442
ae,vggface,5,Dan_left.jpg,Matt_front.jpg,diff,diff,0.86623454
ae,vggface,5,Dan_left.jpg,Matt_left.jpg,diff,same,0.94860375
ae,vggface,5,Dan_left.jpg,Matt_right.jpg,diff,diff,0.6366618
ae,vggface,5,Dan_left.jpg,Nate_front.jpg,diff,diff,0.88746023
ae,vggface,5,Dan_left.jpg,Nate_left.jpg,diff,same,0.9213552
ae,vggface,5,Dan_left.jpg,Nate_right.jpg,diff,diff,0.5875733
ae,vggface,5,Dan_left.jpg,Zack_front.jpg,diff,diff,0.8209338
ae,vggface,5,Dan_left.jpg,Zack_left.jpg,diff,same,0.92802364
ae,vggface,5,Dan_left.jpg,Zack_right.jpg,diff,diff,0.6558969
ae,vggface,5,Dan_right.jpg,Jim_front.jpg,diff,diff,0.82693136
ae,vggface,5,Dan_right.jpg,Jim_left.jpg,diff,diff,0.6270363
ae,vggface,5,Dan_right.jpg,Jim_right.jpg,diff,same,0.9500381
ae,vggface,5,Dan_right.jpg,Matt_front.jpg,diff,diff,0.8419466
ae,vggface,5,Dan_right.jpg,Matt_left.jpg,diff,diff,0.5796497
ae,vggface,5,Dan_right.jpg,Matt_right.jpg,diff,same,0.8970526
ae,vggface,5,Dan_right.jpg,Nate_front.jpg,diff,diff,0.8494063
ae,vggface,5,Dan_right.jpg,Nate_left.jpg,diff,diff,0.54697216
ae,vggface,5,Dan_right.jpg,Nate_right.jpg,diff,same,0.9553348
ae,vggface,5,Dan_right.jpg,Zack_front.jpg,diff,diff,0.8825489
ae,vggface,5,Dan_right.jpg,Zack_left.jpg,diff,diff,0.6398072
ae,vggface,5,Dan_right.jpg,Zack_right.jpg,diff,same,0.9733074
ae,vggface,5,Jim_front.jpg,Jim_left.jpg,same,diff,0.8960872
