model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,imagenet_objects,10,Bob_front.jpg,Bob_left.jpg,same,diff,0.59019536
classify,imagenet_objects,10,Bob_front.jpg,Bob_right.jpg,same,diff,0.552818
classify,imagenet_objects,10,Bob_front.jpg,Dan_front.jpg,diff,same,0.5805321
classify,imagenet_objects,10,Bob_front.jpg,Dan_left.jpg,diff,diff,0.61820465
classify,imagenet_objects,10,Bob_front.jpg,Dan_right.jpg,diff,diff,0.5938212
classify,imagenet_objects,10,Bob_front.jpg,Jim_front.jpg,diff,same,0.6112916
classify,imagenet_objects,10,Bob_front.jpg,Jim_left.jpg,diff,diff,0.62642795
classify,imagenet_objects,10,Bob_front.jpg,Jim_right.jpg,diff,diff,0.59428227
classify,imagenet_objects,10,Bob_front.jpg,Matt_front.jpg,diff,same,0.5767695
classify,imagenet_objects,10,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6197297
classify,imagenet_objects,10,Bob_front.jpg,Matt_right.jpg,diff,diff,0.60662776
classify,imagenet_objects,10,Bob_front.jpg,Nate_front.jpg,diff,same,0.6021178
classify,imagenet_objects,10,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6084955
classify,imagenet_objects,10,Bob_front.jpg,Nate_right.jpg,diff,diff,0.57838887
classify,imagenet_objects,10,Bob_front.jpg,Zack_front.jpg,diff,same,0.54234284
classify,imagenet_objects,10,Bob_front.jpg,Zack_left.jpg,diff,diff,0.60079205
classify,imagenet_objects,10,Bob_front.jpg,Zack_right.jpg,diff,diff,0.56978166
classify,imagenet_objects,10,Bob_left.jpg,Bob_right.jpg,same,diff,0.6642898
classify,imagenet_objects,10,Bob_left.jpg,Dan_front.jpg,diff,diff,0.61980534
classify,imagenet_objects,10,Bob_left.jpg,Dan_left.jpg,diff,same,0.7207385
classify,imagenet_objects,10,Bob_left.jpg,Dan_right.jpg,diff,diff,0.58101225
classify,imagenet_objects,10,Bob_left.jpg,Jim_front.jpg,diff,diff,0.6931569
classify,imagenet_objects,10,Bob_left.jpg,Jim_left.jpg,diff,same,0.7143016
classify,imagenet_objects,10,Bob_left.jpg,Jim_right.jpg,diff,diff,0.6130436
classify,imagenet_objects,10,Bob_left.jpg,Matt_front.jpg,diff,diff,0.67549586
classify,imagenet_objects,10,Bob_left.jpg,Matt_left.jpg,diff,same,0.6844433
classify,imagenet_objects,10,Bob_left.jpg,Matt_right.jpg,diff,diff,0.61937517
classify,imagenet_objects,10,Bob_left.jpg,Nate_front.jpg,diff,diff,0.6725852
classify,imagenet_objects,10,Bob_left.jpg,Nate_left.jpg,diff,same,0.65536803
classify,imagenet_objects,10,Bob_left.jpg,Nate_right.jpg,diff,diff,0.56630594
classify,imagenet_objects,10,Bob_left.jpg,Zack_front.jpg,diff,diff,0.6448575
classify,imagenet_objects,10,Bob_left.jpg,Zack_left.jpg,diff,same,0.70021135
classify,imagenet_objects,10,Bob_left.jpg,Zack_right.jpg,diff,diff,0.57647973
classify,imagenet_objects,10,Bob_right.jpg,Dan_front.jpg,diff,diff,0.68145204
