model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,imagenet_objects,15,Bob_front.jpg,Bob_left.jpg,same,diff,0.9644404
classify,imagenet_objects,15,Bob_front.jpg,Bob_right.jpg,same,diff,0.9517326
classify,imagenet_objects,15,Bob_front.jpg,Dan_front.jpg,diff,same,0.95544946
classify,imagenet_objects,15,Bob_front.jpg,Dan_left.jpg,diff,diff,0.95795006
classify,imagenet_objects,15,Bob_front.jpg,Dan_right.jpg,diff,diff,0.9318017
classify,imagenet_objects,15,Bob_front.jpg,Jim_front.jpg,diff,same,0.9591146
classify,imagenet_objects,15,Bob_front.jpg,Jim_left.jpg,diff,diff,0.95987177
classify,imagenet_objects,15,Bob_front.jpg,Jim_right.jpg,diff,diff,0.9333417
classify,imagenet_objects,15,Bob_front.jpg,Matt_front.jpg,diff,same,0.9492083
classify,imagenet_objects,15,Bob_front.jpg,Matt_left.jpg,diff,diff,0.95005244
classify,imagenet_objects,15,Bob_front.jpg,Matt_right.jpg,diff,diff,0.9527877
classify,imagenet_objects,15,Bob_front.jpg,Nate_front.jpg,diff,same,0.96494675
classify,imagenet_objects,15,Bob_front.jpg,Nate_left.jpg,diff,diff,0.95356387
classify,imagenet_objects,15,Bob_front.jpg,Nate_right.jpg,diff,diff,0.9561137
classify,imagenet_objects,15,Bob_front.jpg,Zack_front.jpg,diff,same,0.94579256
classify,imagenet_objects,15,Bob_front.jpg,Zack_left.jpg,diff,diff,0.94961494
classify,imagenet_objects,15,Bob_front.jpg,Zack_right.jpg,diff,diff,0.9483331
classify,imagenet_objects,15,Bob_left.jpg,Bob_right.jpg,same,diff,0.9742789
classify,imagenet_objects,15,Bob_left.jpg,Dan_front.jpg,diff,diff,0.94063574
classify,imagenet_objects,15,Bob_left.jpg,Dan_left.jpg,diff,same,0.94692683
classify,imagenet_objects,15,Bob_left.jpg,Dan_right.jpg,diff,diff,0.9449387
classify,imagenet_objects,15,Bob_left.jpg,Jim_front.jpg,diff,diff,0.96157
classify,imagenet_objects,15,Bob_left.jpg,Jim_left.jpg,diff,same,0.95549697
classify,imagenet_objects,15,Bob_left.jpg,Jim_right.jpg,diff,diff,0.947437
classify,imagenet_objects,15,Bob_left.jpg,Matt_front.jpg,diff,diff,0.9518616
classify,imagenet_objects,15,Bob_left.jpg,Matt_left.jpg,diff,same,0.96063
classify,imagenet_objects,15,Bob_left.jpg,Matt_right.jpg,diff,diff,0.9563347
classify,imagenet_objects,15,Bob_left.jpg,Nate_front.jpg,diff,diff,0.9591376
classify,imagenet_objects,15,Bob_left.jpg,Nate_left.jpg,diff,same,0.9509655
classify,imagenet_objects,15,Bob_left.jpg,Nate_right.jpg,diff,diff,0.9573371
classify,imagenet_objects,15,Bob_left.jpg,Zack_front.jpg,diff,diff,0.9388864
classify,imagenet_objects,15,Bob_left.jpg,Zack_left.jpg,diff,same,0.95840466
classify,imagenet_objects,15,Bob_left.jpg,Zack_right.jpg,diff,diff,0.9422635
classify,imagenet_objects,15,Bob_right.jpg,Dan_front.jpg,diff,diff,0.9531721
classify,imagenet_objects,15,Bob_right.jpg,Dan_left.jpg,diff,diff,0.9566579
classify,imagenet_objects,15,Bob_right.jpg,Dan_right.jpg,diff,same,0.97300607
classify,imagenet_objects,15,Bob_right.jpg,Jim_front.jpg,diff,diff,0.9579627
classify,imagenet_objects,15,Bob_right.jpg,Jim_left.jpg,diff,diff,0.96305114
classify,imagenet_objects,15,Bob_right.jpg,Jim_right.jpg,diff,same,0.9753386
classify,imagenet_objects,15,Bob_right.jpg,Matt_front.jpg,diff,diff,0.9487279
classify,imagenet_objects,15,Bob_right.jpg,Matt_left.jpg,diff,diff,0.9719581
classify,imagenet_objects,15,Bob_right.jpg,Matt_right.jpg,diff,same,0.97240996
classify,imagenet_objects,15,Bob_right.jpg,Nate_front.jpg,diff,diff,0.95628166
classify,imagenet_objects,15,Bob_right.jpg,Nate_left.jpg,diff,diff,0.95561427
classify,imagenet_objects,15,Bob_right.jpg,Nate_right.jpg,diff,same,0.974829
classify,imagenet_objects,15,Bob_right.jpg,Zack_front.jpg,diff,diff,0.9319386
classify,imagenet_objects,15,Bob_right.jpg,Zack_left.jpg,diff,diff,0.9565121
classify,imagenet_objects,15,Bob_right.jpg,Zack_right.jpg,diff,same,0.96633583
classify,imagenet_objects,15,Dan_front.jpg,Dan_left.jpg,same,diff,0.96743006
classify,imagenet_objects,15,Dan_front.jpg,Dan_right.jpg,same,diff,0.9561347
classify,imagenet_objects,15,Dan_front.jpg,Jim_front.jpg,diff,same,0.9746448
classify,imagenet_objects,15,Dan_front.jpg,Jim_left.jpg,diff,diff,0.96256685
classify,imagenet_objects,15,Dan_front.jpg,Jim_right.jpg,diff,diff,0.94422656
classify,imagenet_objects,15,Dan_front.jpg,Matt_front.jpg,diff,same,0.96796644
classify,imagenet_objects,15,Dan_front.jpg,Matt_left.jpg,diff,diff,0.95830345
classify,imagenet_objects,15,Dan_front.jpg,Matt_right.jpg,diff,diff,0.96479106
classify,imagenet_objects,15,Dan_front.jpg,Nate_front.jpg,diff,same,0.9784324
classify,imagenet_objects,15,Dan_front.jpg,Nate_left.jpg,diff,diff,0.95988417
classify,imagenet_objects,15,Dan_front.jpg,Nate_right.jpg,diff,diff,0.96948946
classify,imagenet_objects,15,Dan_front.jpg,Zack_front.jpg,diff,same,0.9629469
classify,imagenet_objects,15,Dan_front.jpg,Zack_left.jpg,diff,diff,0.9463901
classify,imagenet_objects,15,Dan_front.jpg,Zack_right.jpg,diff,diff,0.955428
classify,imagenet_objects,15,Dan_left.jpg,Dan_right.jpg,same,diff,0.9479022
classify,imagenet_objects,15,Dan_left.jpg,Jim_front.jpg,diff,diff,0.95779747
classify,imagenet_objects,15,Dan_left.jpg,Jim_left.jpg,diff,same,0.98047495
classify,imagenet_objects,15,Dan_left.jpg,Jim_right.jpg,diff,diff,0.94076437
classify,imagenet_objects,15,Dan_left.jpg,Matt_front.jpg,diff,diff,0.94844526
classify,imagenet_objects,15,Dan_left.jpg,Matt_left.jpg,diff,same,0.9741221
classify,imagenet_objects,15,Dan_left.jpg,Matt_right.jpg,diff,diff,0.955867
classify,imagenet_objects,15,Dan_left.jpg,Nate_front.jpg,diff,diff,0.9696321
classify,imagenet_objects,15,Dan_left.jpg,Nate_left.jpg,diff,same,0.98143774
classify,imagenet_objects,15,Dan_left.jpg,Nate_right.jpg,diff,diff,0.9676101
classify,imagenet_objects,15,Dan_left.jpg,Zack_front.jpg,diff,diff,0.9462073
