model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,imagenet_objects,25,Bob_front.jpg,Bob_left.jpg,same,diff,0.7879727
classify,imagenet_objects,25,Bob_front.jpg,Bob_right.jpg,same,diff,0.73183674
classify,imagenet_objects,25,Bob_front.jpg,Dan_front.jpg,diff,same,0.7343427
classify,imagenet_objects,25,Bob_front.jpg,Dan_left.jpg,diff,diff,0.70487964
classify,imagenet_objects,25,Bob_front.jpg,Dan_right.jpg,diff,diff,0.6870024
classify,imagenet_objects,25,Bob_front.jpg,Jim_front.jpg,diff,same,0.76668036
classify,imagenet_objects,25,Bob_front.jpg,Jim_left.jpg,diff,diff,0.706025
classify,imagenet_objects,25,Bob_front.jpg,Jim_right.jpg,diff,diff,0.70376694
classify,imagenet_objects,25,Bob_front.jpg,Matt_front.jpg,diff,same,0.72579694
classify,imagenet_objects,25,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6697267
classify,imagenet_objects,25,Bob_front.jpg,Matt_right.jpg,diff,diff,0.6927594
classify,imagenet_objects,25,Bob_front.jpg,Nate_front.jpg,diff,same,0.7827596
classify,imagenet_objects,25,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6691276
classify,imagenet_objects,25,Bob_front.jpg,Nate_right.jpg,diff,diff,0.70721
classify,imagenet_objects,25,Bob_front.jpg,Zack_front.jpg,diff,same,0.7162312
classify,imagenet_objects,25,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6688964
classify,imagenet_objects,25,Bob_front.jpg,Zack_right.jpg,diff,diff,0.6968992
classify,imagenet_objects,25,Bob_left.jpg,Bob_right.jpg,same,diff,0.747812
classify,imagenet_objects,25,Bob_left.jpg,Dan_front.jpg,diff,diff,0.6943997
classify,imagenet_objects,25,Bob_left.jpg,Dan_left.jpg,diff,same,0.78401095
classify,imagenet_objects,25,Bob_left.jpg,Dan_right.jpg,diff,diff,0.6540077
classify,imagenet_objects,25,Bob_left.jpg,Jim_front.jpg,diff,diff,0.75286955
classify,imagenet_objects,25,Bob_left.jpg,Jim_left.jpg,diff,same,0.78465116
classify,imagenet_objects,25,Bob_left.jpg,Jim_right.jpg,diff,diff,0.6742314
classify,imagenet_objects,25,Bob_left.jpg,Matt_front.jpg,diff,diff,0.72241265
classify,imagenet_objects,25,Bob_left.jpg,Matt_left.jpg,diff,same,0.75046057
classify,imagenet_objects,25,Bob_left.jpg,Matt_right.jpg,diff,diff,0.6531986
classify,imagenet_objects,25,Bob_left.jpg,Nate_front.jpg,diff,diff,0.761304
classify,imagenet_objects,25,Bob_left.jpg,Nate_left.jpg,diff,same,0.75633794
classify,imagenet_objects,25,Bob_left.jpg,Nate_right.jpg,diff,diff,0.65436393
classify,imagenet_objects,25,Bob_left.jpg,Zack_front.jpg,diff,diff,0.6918656
