model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,imagenet_objects,30,Bob_front.jpg,Bob_left.jpg,same,diff,0.692678
classify,imagenet_objects,30,Bob_front.jpg,Bob_right.jpg,same,diff,0.6462378
classify,imagenet_objects,30,Bob_front.jpg,Dan_front.jpg,diff,same,0.69492865
classify,imagenet_objects,30,Bob_front.jpg,Dan_left.jpg,diff,diff,0.6529582
classify,imagenet_objects,30,Bob_front.jpg,Dan_right.jpg,diff,diff,0.6472246
classify,imagenet_objects,30,Bob_front.jpg,Jim_front.jpg,diff,same,0.72814834
classify,imagenet_objects,30,Bob_front.jpg,Jim_left.jpg,diff,diff,0.6316071
classify,imagenet_objects,30,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6261561
classify,imagenet_objects,30,Bob_front.jpg,Matt_front.jpg,diff,same,0.66609055
classify,imagenet_objects,30,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6164363
classify,imagenet_objects,30,Bob_front.jpg,Matt_right.jpg,diff,diff,0.645379
classify,imagenet_objects,30,Bob_front.jpg,Nate_front.jpg,diff,same,0.73559314
classify,imagenet_objects,30,Bob_front.jpg,Nate_left.jpg,diff,diff,0.61739576
classify,imagenet_objects,30,Bob_front.jpg,Nate_right.jpg,diff,diff,0.63541776
classify,imagenet_objects,30,Bob_front.jpg,Zack_front.jpg,diff,same,0.6446205
classify,imagenet_objects,30,Bob_front.jpg,Zack_left.jpg,diff,diff,0.62728876
classify,imagenet_objects,30,Bob_front.jpg,Zack_right.jpg,diff,diff,0.6353524
classify,imagenet_objects,30,Bob_left.jpg,Bob_right.jpg,same,diff,0.6247423
classify,imagenet_objects,30,Bob_left.jpg,Dan_front.jpg,diff,diff,0.6597977
classify,imagenet_objects,30,Bob_left.jpg,Dan_left.jpg,diff,same,0.77586275
classify,imagenet_objects,30,Bob_left.jpg,Dan_right.jpg,diff,diff,0.5772005
classify,imagenet_objects,30,Bob_left.jpg,Jim_front.jpg,diff,diff,0.71030915
classify,imagenet_objects,30,Bob_left.jpg,Jim_left.jpg,diff,same,0.7509531
classify,imagenet_objects,30,Bob_left.jpg,Jim_right.jpg,diff,diff,0.577128
classify,imagenet_objects,30,Bob_left.jpg,Matt_front.jpg,diff,diff,0.6731843
classify,imagenet_objects,30,Bob_left.jpg,Matt_left.jpg,diff,same,0.715966
classify,imagenet_objects,30,Bob_left.jpg,Matt_right.jpg,diff,diff,0.5603904
