model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,imagenet_oneface,1,Bob_front.jpg,Bob_left.jpg,same,diff,0.6956754
classify,imagenet_oneface,1,Bob_front.jpg,Bob_right.jpg,same,diff,0.6290821
classify,imagenet_oneface,1,Bob_front.jpg,Dan_front.jpg,diff,same,0.7021724
classify,imagenet_oneface,1,Bob_front.jpg,Dan_left.jpg,diff,diff,0.6964864
classify,imagenet_oneface,1,Bob_front.jpg,Dan_right.jpg,diff,diff,0.6798467
classify,imagenet_oneface,1,Bob_front.jpg,Jim_front.jpg,diff,same,0.7501219
classify,imagenet_oneface,1,Bob_front.jpg,Jim_left.jpg,diff,diff,0.6951161
classify,imagenet_oneface,1,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6450692
classify,imagenet_oneface,1,Bob_front.jpg,Matt_front.jpg,diff,same,0.65853506
classify,imagenet_oneface,1,Bob_front.jpg,Matt_left.jpg,diff,diff,0.66722274
classify,imagenet_oneface,1,Bob_front.jpg,Matt_right.jpg,diff,diff,0.67931074
classify,imagenet_oneface,1,Bob_front.jpg,Nate_front.jpg,diff,same,0.71383196
classify,imagenet_oneface,1,Bob_front.jpg,Nate_left.jpg,diff,diff,0.66127104
classify,imagenet_oneface,1,Bob_front.jpg,Nate_right.jpg,diff,diff,0.62305087
classify,imagenet_oneface,1,Bob_front.jpg,Zack_front.jpg,diff,same,0.60859793
classify,imagenet_oneface,1,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6755797
classify,imagenet_oneface,1,Bob_front.jpg,Zack_right.jpg,diff,diff,0.6528138
classify,imagenet_oneface,1,Bob_left.jpg,Bob_right.jpg,same,diff,0.7169528
classify,imagenet_oneface,1,Bob_left.jpg,Dan_front.jpg,diff,diff,0.71168315
classify,imagenet_oneface,1,Bob_left.jpg,Dan_left.jpg,diff,same,0.8310237
classify,imagenet_oneface,1,Bob_left.jpg,Dan_right.jpg,diff,diff,0.61795664
classify,imagenet_oneface,1,Bob_left.jpg,Jim_front.jpg,diff,diff,0.7894151
classify,imagenet_oneface,1,Bob_left.jpg,Jim_left.jpg,diff,same,0.8138283
classify,imagenet_oneface,1,Bob_left.jpg,Jim_right.jpg,diff,diff,0.63715875
