model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,imagenet_oneface,25,Bob_front.jpg,Bob_left.jpg,same,diff,0.7457964
classify,imagenet_oneface,25,Bob_front.jpg,Bob_right.jpg,same,diff,0.70679414
classify,imagenet_oneface,25,Bob_front.jpg,Dan_front.jpg,diff,same,0.74055475
classify,imagenet_oneface,25,Bob_front.jpg,Dan_left.jpg,diff,diff,0.71003443
classify,imagenet_oneface,25,Bob_front.jpg,Dan_right.jpg,diff,diff,0.67068136
classify,imagenet_oneface,25,Bob_front.jpg,Jim_front.jpg,diff,same,0.7806526
classify,imagenet_oneface,25,Bob_front.jpg,Jim_left.jpg,diff,diff,0.7012851
classify,imagenet_oneface,25,Bob_front.jpg,Jim_right.jpg,diff,diff,0.68393767
classify,imagenet_oneface,25,Bob_front.jpg,Matt_front.jpg,diff,same,0.72826886
classify,imagenet_oneface,25,Bob_front.jpg,Matt_left.jpg,diff,diff,0.67292976
classify,imagenet_oneface,25,Bob_front.jpg,Matt_right.jpg,diff,diff,0.71345735
classify,imagenet_oneface,25,Bob_front.jpg,Nate_front.jpg,diff,same,0.78023165
classify,imagenet_oneface,25,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6732178
classify,imagenet_oneface,25,Bob_front.jpg,Nate_right.jpg,diff,diff,0.67794114
classify,imagenet_oneface,25,Bob_front.jpg,Zack_front.jpg,diff,same,0.70707184
classify,imagenet_oneface,25,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6618365
classify,imagenet_oneface,25,Bob_front.jpg,Zack_right.jpg,diff,diff,0.6914831
classify,imagenet_oneface,25,Bob_left.jpg,Bob_right.jpg,same,diff,0.7038047
classify,imagenet_oneface,25,Bob_left.jpg,Dan_front.jpg,diff,diff,0.7369522
classify,imagenet_oneface,25,Bob_left.jpg,Dan_left.jpg,diff,same,0.80200523
classify,imagenet_oneface,25,Bob_left.jpg,Dan_right.jpg,diff,diff,0.6286213
classify,imagenet_oneface,25,Bob_left.jpg,Jim_front.jpg,diff,diff,0.770842
classify,imagenet_oneface,25,Bob_left.jpg,Jim_left.jpg,diff,same,0.7978022
classify,imagenet_oneface,25,Bob_left.jpg,Jim_right.jpg,diff,diff,0.65436804
classify,imagenet_oneface,25,Bob_left.jpg,Matt_front.jpg,diff,diff,0.7250426
classify,imagenet_oneface,25,Bob_left.jpg,Matt_left.jpg,diff,same,0.7622706
classify,imagenet_oneface,25,Bob_left.jpg,Matt_right.jpg,diff,diff,0.6748076
classify,imagenet_oneface,25,Bob_left.jpg,Nate_front.jpg,diff,diff,0.76644146
classify,imagenet_oneface,25,Bob_left.jpg,Nate_left.jpg,diff,same,0.7633954
classify,imagenet_oneface,25,Bob_left.jpg,Nate_right.jpg,diff,diff,0.61360216
classify,imagenet_oneface,25,Bob_left.jpg,Zack_front.jpg,diff,diff,0.7160774
classify,imagenet_oneface,25,Bob_left.jpg,Zack_left.jpg,diff,same,0.76051337
classify,imagenet_oneface,25,Bob_left.jpg,Zack_right.jpg,diff,diff,0.6350758
classify,imagenet_oneface,25,Bob_right.jpg,Dan_front.jpg,diff,diff,0.7090766
classify,imagenet_oneface,25,Bob_right.jpg,Dan_left.jpg,diff,diff,0.62046283
classify,imagenet_oneface,25,Bob_right.jpg,Dan_right.jpg,diff,same,0.79163855
classify,imagenet_oneface,25,Bob_right.jpg,Jim_front.jpg,diff,diff,0.7061592
classify,imagenet_oneface,25,Bob_right.jpg,Jim_left.jpg,diff,diff,0.6202135
classify,imagenet_oneface,25,Bob_right.jpg,Jim_right.jpg,diff,same,0.79258126
classify,imagenet_oneface,25,Bob_right.jpg,Matt_front.jpg,diff,diff,0.6822103
classify,imagenet_oneface,25,Bob_right.jpg,Matt_left.jpg,diff,diff,0.6002035
classify,imagenet_oneface,25,Bob_right.jpg,Matt_right.jpg,diff,same,0.7683218
classify,imagenet_oneface,25,Bob_right.jpg,Nate_front.jpg,diff,diff,0.6936632
classify,imagenet_oneface,25,Bob_right.jpg,Nate_left.jpg,diff,diff,0.61185753
classify,imagenet_oneface,25,Bob_right.jpg,Nate_right.jpg,diff,same,0.76924676
classify,imagenet_oneface,25,Bob_right.jpg,Zack_front.jpg,diff,diff,0.67993313
classify,imagenet_oneface,25,Bob_right.jpg,Zack_left.jpg,diff,diff,0.5868586
classify,imagenet_oneface,25,Bob_right.jpg,Zack_right.jpg,diff,same,0.7645631
classify,imagenet_oneface,25,Dan_front.jpg,Dan_left.jpg,same,diff,0.7161149
classify,imagenet_oneface,25,Dan_front.jpg,Dan_right.jpg,same,diff,0.7519437
classify,imagenet_oneface,25,Dan_front.jpg,Jim_front.jpg,diff,same,0.8253552
classify,imagenet_oneface,25,Dan_front.jpg,Jim_left.jpg,diff,diff,0.6836659
classify,imagenet_oneface,25,Dan_front.jpg,Jim_right.jpg,diff,diff,0.7363573
classify,imagenet_oneface,25,Dan_front.jpg,Matt_front.jpg,diff,same,0.8158566
classify,imagenet_oneface,25,Dan_front.jpg,Matt_left.jpg,diff,diff,0.66941327
classify,imagenet_oneface,25,Dan_front.jpg,Matt_right.jpg,diff,diff,0.7505742
classify,imagenet_oneface,25,Dan_front.jpg,Nate_front.jpg,diff,same,0.82778734
classify,imagenet_oneface,25,Dan_front.jpg,Nate_left.jpg,diff,diff,0.66853106
classify,imagenet_oneface,25,Dan_front.jpg,Nate_right.jpg,diff,diff,0.7267367
classify,imagenet_oneface,25,Dan_front.jpg,Zack_front.jpg,diff,same,0.8240135
classify,imagenet_oneface,25,Dan_front.jpg,Zack_left.jpg,diff,diff,0.6472076
classify,imagenet_oneface,25,Dan_front.jpg,Zack_right.jpg,diff,diff,0.74951017
classify,imagenet_oneface,25,Dan_left.jpg,Dan_right.jpg,same,diff,0.57907677
