model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Bob_left.jpg,same,diff,0.9805669
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Bob_right.jpg,same,diff,0.9751569
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Dan_front.jpg,diff,same,0.982152
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Dan_left.jpg,diff,diff,0.9772071
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Dan_right.jpg,diff,diff,0.9813984
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Jim_front.jpg,diff,same,0.98173916
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Jim_left.jpg,diff,diff,0.9780182
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Jim_right.jpg,diff,diff,0.97758454
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Matt_front.jpg,diff,same,0.9782894
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Matt_left.jpg,diff,diff,0.9749445
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Matt_right.jpg,diff,diff,0.977849
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Nate_front.jpg,diff,same,0.9818676
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Nate_left.jpg,diff,diff,0.9742645
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Nate_right.jpg,diff,diff,0.97757155
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Zack_front.jpg,diff,same,0.9772004
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Zack_left.jpg,diff,diff,0.9777861
classify,mixed_imagenet_vggface,0,Bob_front.jpg,Zack_right.jpg,diff,diff,0.9791174
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Bob_right.jpg,same,diff,0.98239994
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Dan_front.jpg,diff,diff,0.98478556
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Dan_left.jpg,diff,same,0.9904469
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Dan_right.jpg,diff,diff,0.97503096
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Jim_front.jpg,diff,diff,0.9892797
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Jim_left.jpg,diff,same,0.99035376
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Jim_right.jpg,diff,diff,0.97781956
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Matt_front.jpg,diff,diff,0.9874843
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Matt_left.jpg,diff,same,0.9887917
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Matt_right.jpg,diff,diff,0.97527385
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Nate_front.jpg,diff,diff,0.9894445
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Nate_left.jpg,diff,same,0.98727363
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Nate_right.jpg,diff,diff,0.974279
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Zack_front.jpg,diff,diff,0.98636025
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Zack_left.jpg,diff,same,0.9900581
classify,mixed_imagenet_vggface,0,Bob_left.jpg,Zack_right.jpg,diff,diff,0.9771238
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Dan_front.jpg,diff,diff,0.9854858
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Dan_left.jpg,diff,diff,0.97486305
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Dan_right.jpg,diff,same,0.98609865
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Jim_front.jpg,diff,diff,0.9829449
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Jim_left.jpg,diff,diff,0.97421855
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Jim_right.jpg,diff,same,0.98547643
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Matt_front.jpg,diff,diff,0.9834219
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Matt_left.jpg,diff,diff,0.9718297
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Matt_right.jpg,diff,same,0.9830207
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Nate_front.jpg,diff,diff,0.9837556
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Nate_left.jpg,diff,diff,0.9718557
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Nate_right.jpg,diff,same,0.9841034
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Zack_front.jpg,diff,diff,0.9834867
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Zack_left.jpg,diff,diff,0.9737889
classify,mixed_imagenet_vggface,0,Bob_right.jpg,Zack_right.jpg,diff,same,0.98473614
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Dan_left.jpg,same,diff,0.9795955
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Dan_right.jpg,same,diff,0.9876648
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Jim_front.jpg,diff,same,0.9906489
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Jim_left.jpg,diff,diff,0.9788161
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Jim_right.jpg,diff,diff,0.98502994
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Matt_front.jpg,diff,same,0.99131566
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Matt_left.jpg,diff,diff,0.97688854
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Matt_right.jpg,diff,diff,0.98080784
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Nate_front.jpg,diff,same,0.99318147
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Nate_left.jpg,diff,diff,0.9756409
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Nate_right.jpg,diff,diff,0.9823392
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Zack_front.jpg,diff,same,0.9892913
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Zack_left.jpg,diff,diff,0.97892064
classify,mixed_imagenet_vggface,0,Dan_front.jpg,Zack_right.jpg,diff,diff,0.9846049
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Dan_right.jpg,same,diff,0.9682513
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Jim_front.jpg,diff,diff,0.98859096
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Jim_left.jpg,diff,same,0.9949364
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Jim_right.jpg,diff,diff,0.9744597
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Matt_front.jpg,diff,diff,0.9867185
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Matt_left.jpg,diff,same,0.9932708
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Matt_right.jpg,diff,diff,0.972403
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Nate_front.jpg,diff,diff,0.9873479
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Nate_left.jpg,diff,same,0.9897747
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Nate_right.jpg,diff,diff,0.96922684
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Zack_front.jpg,diff,diff,0.98328406
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Zack_left.jpg,diff,same,0.9909275
classify,mixed_imagenet_vggface,0,Dan_left.jpg,Zack_right.jpg,diff,diff,0.97163564
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Jim_front.jpg,diff,diff,0.9810361
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Jim_left.jpg,diff,diff,0.9692057
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Jim_right.jpg,diff,same,0.9910479
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Matt_front.jpg,diff,diff,0.9821157
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Matt_left.jpg,diff,diff,0.9663431
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Matt_right.jpg,diff,same,0.99018365
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Nate_front.jpg,diff,diff,0.9826056
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Nate_left.jpg,diff,diff,0.9663876
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Nate_right.jpg,diff,same,0.9925203
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Zack_front.jpg,diff,diff,0.9823387
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Zack_left.jpg,diff,diff,0.96973884
classify,mixed_imagenet_vggface,0,Dan_right.jpg,Zack_right.jpg,diff,same,0.9919587
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Jim_left.jpg,same,diff,0.9887842
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Jim_right.jpg,same,diff,0.9849114
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Matt_front.jpg,diff,same,0.99477124
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Matt_left.jpg,diff,diff,0.985794
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Matt_right.jpg,diff,diff,0.98140186
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Nate_front.jpg,diff,same,0.99609274
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Nate_left.jpg,diff,diff,0.9849231
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Nate_right.jpg,diff,diff,0.98044276
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Zack_front.jpg,diff,same,0.9920544
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Zack_left.jpg,diff,diff,0.98675966
classify,mixed_imagenet_vggface,0,Jim_front.jpg,Zack_right.jpg,diff,diff,0.9833785
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Jim_right.jpg,same,diff,0.97485465
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Matt_front.jpg,diff,diff,0.98565894
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Matt_left.jpg,diff,same,0.9955367
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Matt_right.jpg,diff,diff,0.9726363
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Nate_front.jpg,diff,diff,0.98675966
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Nate_left.jpg,diff,same,0.9939284
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Nate_right.jpg,diff,diff,0.97027755
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Zack_front.jpg,diff,diff,0.9839202
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Zack_left.jpg,diff,same,0.99485296
classify,mixed_imagenet_vggface,0,Jim_left.jpg,Zack_right.jpg,diff,diff,0.9738961
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Matt_front.jpg,diff,diff,0.985381
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Matt_left.jpg,diff,diff,0.97191924
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Matt_right.jpg,diff,same,0.9928392
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Nate_front.jpg,diff,diff,0.9842333
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Nate_left.jpg,diff,diff,0.97180283
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Nate_right.jpg,diff,same,0.9917349
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Zack_front.jpg,diff,diff,0.98482734
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Zack_left.jpg,diff,diff,0.9736692
classify,mixed_imagenet_vggface,0,Jim_right.jpg,Zack_right.jpg,diff,same,0.9942975
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Matt_left.jpg,same,diff,0.9843699
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Matt_right.jpg,same,diff,0.98255926
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Nate_front.jpg,diff,same,0.99533546
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Nate_left.jpg,diff,diff,0.9822701
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Nate_right.jpg,diff,diff,0.9817501
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Zack_front.jpg,diff,same,0.99435085
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Zack_left.jpg,diff,diff,0.9837017
classify,mixed_imagenet_vggface,0,Matt_front.jpg,Zack_right.jpg,diff,diff,0.98355097
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Matt_right.jpg,same,diff,0.96983826
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Nate_front.jpg,diff,diff,0.9850085
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Nate_left.jpg,diff,same,0.9944623
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Nate_right.jpg,diff,diff,0.9678753
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Zack_front.jpg,diff,diff,0.9828865
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Zack_left.jpg,diff,same,0.99471366
classify,mixed_imagenet_vggface,0,Matt_left.jpg,Zack_right.jpg,diff,diff,0.9711783
classify,mixed_imagenet_vggface,0,Matt_right.jpg,Nate_front.jpg,diff,diff,0.9809732
classify,mixed_imagenet_vggface,0,Matt_right.jpg,Nate_left.jpg,diff,diff,0.9689994
classify,mixed_imagenet_vggface,0,Matt_right.jpg,Nate_right.jpg,diff,same,0.99308026
classify,mixed_imagenet_vggface,0,Matt_right.jpg,Zack_front.jpg,diff,diff,0.9819806
classify,mixed_imagenet_vggface,0,Matt_right.jpg,Zack_left.jpg,diff,diff,0.97139025
classify,mixed_imagenet_vggface,0,Matt_right.jpg,Zack_right.jpg,diff,same,0.9921954
classify,mixed_imagenet_vggface,0,Nate_front.jpg,Nate_left.jpg,same,diff,0.98409855
classify,mixed_imagenet_vggface,0,Nate_front.jpg,Nate_right.jpg,same,diff,0.98126423
classify,mixed_imagenet_vggface,0,Nate_front.jpg,Zack_front.jpg,diff,same,0.99319214
classify,mixed_imagenet_vggface,0,Nate_front.jpg,Zack_left.jpg,diff,diff,0.98656136
classify,mixed_imagenet_vggface,0,Nate_front.jpg,Zack_right.jpg,diff,diff,0.98397297
classify,mixed_imagenet_vggface,0,Nate_left.jpg,Nate_right.jpg,same,diff,0.96864116
classify,mixed_imagenet_vggface,0,Nate_left.jpg,Zack_front.jpg,diff,diff,0.9827005
classify,mixed_imagenet_vggface,0,Nate_left.jpg,Zack_left.jpg,diff,same,0.9940061
classify,mixed_imagenet_vggface,0,Nate_left.jpg,Zack_right.jpg,diff,diff,0.9727327
classify,mixed_imagenet_vggface,0,Nate_right.jpg,Zack_front.jpg,diff,diff,0.9836678
classify,mixed_imagenet_vggface,0,Nate_right.jpg,Zack_left.jpg,diff,diff,0.9709308
classify,mixed_imagenet_vggface,0,Nate_right.jpg,Zack_right.jpg,diff,same,0.99344355
classify,mixed_imagenet_vggface,0,Zack_front.jpg,Zack_left.jpg,same,diff,0.9856444
classify,mixed_imagenet_vggface,0,Zack_front.jpg,Zack_right.jpg,same,diff,0.9868273
classify,mixed_imagenet_vggface,0,Zack_left.jpg,Zack_right.jpg,same,diff,0.9759422
