model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Bob_left.jpg,same,diff,0.70996255
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Bob_right.jpg,same,diff,0.6516065
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Dan_front.jpg,diff,same,0.6824559
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Dan_left.jpg,diff,diff,0.6646125
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Dan_right.jpg,diff,diff,0.6157357
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Jim_front.jpg,diff,same,0.70876074
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Jim_left.jpg,diff,diff,0.61897266
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6022519
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Matt_front.jpg,diff,same,0.66056305
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Matt_left.jpg,diff,diff,0.61195064
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Matt_right.jpg,diff,diff,0.6287285
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Nate_front.jpg,diff,same,0.7268885
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6148642
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Nate_right.jpg,diff,diff,0.60963005
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Zack_front.jpg,diff,same,0.62997836
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6085334
classify,mixed_imagenet_vggface,25,Bob_front.jpg,Zack_right.jpg,diff,diff,0.59874135
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Bob_right.jpg,same,diff,0.6059166
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Dan_front.jpg,diff,diff,0.61523145
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Dan_left.jpg,diff,same,0.7511462
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Dan_right.jpg,diff,diff,0.5035975
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Jim_front.jpg,diff,diff,0.6693446
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Jim_left.jpg,diff,same,0.7315538
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Jim_right.jpg,diff,diff,0.52259046
classify,mixed_imagenet_vggface,25,Bob_left.jpg,Matt_front.jpg,diff,diff,0.6296985
