model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,vggface,10,Bob_front.jpg,Bob_left.jpg,same,diff,0.8816787
classify,vggface,10,Bob_front.jpg,Bob_right.jpg,same,diff,0.8835364
classify,vggface,10,Bob_front.jpg,Dan_front.jpg,diff,same,0.69331783
classify,vggface,10,Bob_front.jpg,Dan_left.jpg,diff,diff,0.7794025
classify,vggface,10,Bob_front.jpg,Dan_right.jpg,diff,diff,0.7082716
classify,vggface,10,Bob_front.jpg,Jim_front.jpg,diff,same,0.68856585
classify,vggface,10,Bob_front.jpg,Jim_left.jpg,diff,diff,0.713731
classify,vggface,10,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6528281
classify,vggface,10,Bob_front.jpg,Matt_front.jpg,diff,same,0.650664
classify,vggface,10,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6687756
classify,vggface,10,Bob_front.jpg,Matt_right.jpg,diff,diff,0.70130455
classify,vggface,10,Bob_front.jpg,Nate_front.jpg,diff,same,0.6905593
classify,vggface,10,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6061978
classify,vggface,10,Bob_front.jpg,Nate_right.jpg,diff,diff,0.65375596
classify,vggface,10,Bob_front.jpg,Zack_front.jpg,diff,same,0.55192167
classify,vggface,10,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6314472
classify,vggface,10,Bob_front.jpg,Zack_right.jpg,diff,diff,0.5910256
classify,vggface,10,Bob_left.jpg,Bob_right.jpg,same,diff,0.8776307
classify,vggface,10,Bob_left.jpg,Dan_front.jpg,diff,diff,0.6628759
classify,vggface,10,Bob_left.jpg,Dan_left.jpg,diff,same,0.75664127
classify,vggface,10,Bob_left.jpg,Dan_right.jpg,diff,diff,0.65614784
classify,vggface,10,Bob_left.jpg,Jim_front.jpg,diff,diff,0.67234504
classify,vggface,10,Bob_left.jpg,Jim_left.jpg,diff,same,0.7037595
classify,vggface,10,Bob_left.jpg,Jim_right.jpg,diff,diff,0.6381086
classify,vggface,10,Bob_left.jpg,Matt_front.jpg,diff,diff,0.6277477
classify,vggface,10,Bob_left.jpg,Matt_left.jpg,diff,same,0.6636506
classify,vggface,10,Bob_left.jpg,Matt_right.jpg,diff,diff,0.6575639
classify,vggface,10,Bob_left.jpg,Nate_front.jpg,diff,diff,0.6788222
classify,vggface,10,Bob_left.jpg,Nate_left.jpg,diff,same,0.6296126
classify,vggface,10,Bob_left.jpg,Nate_right.jpg,diff,diff,0.6396371
classify,vggface,10,Bob_left.jpg,Zack_front.jpg,diff,diff,0.5556274
classify,vggface,10,Bob_left.jpg,Zack_left.jpg,diff,same,0.6333784
classify,vggface,10,Bob_left.jpg,Zack_right.jpg,diff,diff,0.57067055
classify,vggface,10,Bob_right.jpg,Dan_front.jpg,diff,diff,0.71106464
classify,vggface,10,Bob_right.jpg,Dan_left.jpg,diff,diff,0.76323724
classify,vggface,10,Bob_right.jpg,Dan_right.jpg,diff,same,0.75860626
classify,vggface,10,Bob_right.jpg,Jim_front.jpg,diff,diff,0.7094994
classify,vggface,10,Bob_right.jpg,Jim_left.jpg,diff,diff,0.71945107
classify,vggface,10,Bob_right.jpg,Jim_right.jpg,diff,same,0.72335535
classify,vggface,10,Bob_right.jpg,Matt_front.jpg,diff,diff,0.68036157
classify,vggface,10,Bob_right.jpg,Matt_left.jpg,diff,diff,0.69747514
classify,vggface,10,Bob_right.jpg,Matt_right.jpg,diff,same,0.7214391
classify,vggface,10,Bob_right.jpg,Nate_front.jpg,diff,diff,0.68702304
classify,vggface,10,Bob_right.jpg,Nate_left.jpg,diff,diff,0.63933045
classify,vggface,10,Bob_right.jpg,Nate_right.jpg,diff,same,0.7044103
classify,vggface,10,Bob_right.jpg,Zack_front.jpg,diff,diff,0.56341606
classify,vggface,10,Bob_right.jpg,Zack_left.jpg,diff,diff,0.62704337
classify,vggface,10,Bob_right.jpg,Zack_right.jpg,diff,same,0.6255337
classify,vggface,10,Dan_front.jpg,Dan_left.jpg,same,diff,0.8732163
classify,vggface,10,Dan_front.jpg,Dan_right.jpg,same,diff,0.9049414
classify,vggface,10,Dan_front.jpg,Jim_front.jpg,diff,same,0.84821135
classify,vggface,10,Dan_front.jpg,Jim_left.jpg,diff,diff,0.8022518
classify,vggface,10,Dan_front.jpg,Jim_right.jpg,diff,diff,0.7739687
classify,vggface,10,Dan_front.jpg,Matt_front.jpg,diff,same,0.71428967
classify,vggface,10,Dan_front.jpg,Matt_left.jpg,diff,diff,0.6967891
classify,vggface,10,Dan_front.jpg,Matt_right.jpg,diff,diff,0.7131594
classify,vggface,10,Dan_front.jpg,Nate_front.jpg,diff,same,0.7755208
classify,vggface,10,Dan_front.jpg,Nate_left.jpg,diff,diff,0.7463905
classify,vggface,10,Dan_front.jpg,Nate_right.jpg,diff,diff,0.78386104
classify,vggface,10,Dan_front.jpg,Zack_front.jpg,diff,same,0.7595647
classify,vggface,10,Dan_front.jpg,Zack_left.jpg,diff,diff,0.7215921
classify,vggface,10,Dan_front.jpg,Zack_right.jpg,diff,diff,0.77072704
classify,vggface,10,Dan_left.jpg,Dan_right.jpg,same,diff,0.84875584
classify,vggface,10,Dan_left.jpg,Jim_front.jpg,diff,diff,0.808879
classify,vggface,10,Dan_left.jpg,Jim_left.jpg,diff,same,0.8555267
classify,vggface,10,Dan_left.jpg,Jim_right.jpg,diff,diff,0.7593706
classify,vggface,10,Dan_left.jpg,Matt_front.jpg,diff,diff,0.72498316
classify,vggface,10,Dan_left.jpg,Matt_left.jpg,diff,same,0.758315
classify,vggface,10,Dan_left.jpg,Matt_right.jpg,diff,diff,0.7261505
classify,vggface,10,Dan_left.jpg,Nate_front.jpg,diff,diff,0.7778755
classify,vggface,10,Dan_left.jpg,Nate_left.jpg,diff,same,0.7768799
classify,vggface,10,Dan_left.jpg,Nate_right.jpg,diff,diff,0.7577489
classify,vggface,10,Dan_left.jpg,Zack_front.jpg,diff,diff,0.72002774
classify,vggface,10,Dan_left.jpg,Zack_left.jpg,diff,same,0.7683129
classify,vggface,10,Dan_left.jpg,Zack_right.jpg,diff,diff,0.72958064
classify,vggface,10,Dan_right.jpg,Jim_front.jpg,diff,diff,0.7884831
classify,vggface,10,Dan_right.jpg,Jim_left.jpg,diff,diff,0.7881251
classify,vggface,10,Dan_right.jpg,Jim_right.jpg,diff,same,0.80812556
classify,vggface,10,Dan_right.jpg,Matt_front.jpg,diff,diff,0.71865267
classify,vggface,10,Dan_right.jpg,Matt_left.jpg,diff,diff,0.7281016
classify,vggface,10,Dan_right.jpg,Matt_right.jpg,diff,same,0.76101005
classify,vggface,10,Dan_right.jpg,Nate_front.jpg,diff,diff,0.73104626
classify,vggface,10,Dan_right.jpg,Nate_left.jpg,diff,diff,0.7382349
classify,vggface,10,Dan_right.jpg,Nate_right.jpg,diff,same,0.7965531
classify,vggface,10,Dan_right.jpg,Zack_front.jpg,diff,diff,0.7372647
classify,vggface,10,Dan_right.jpg,Zack_left.jpg,diff,diff,0.73105466
classify,vggface,10,Dan_right.jpg,Zack_right.jpg,diff,same,0.80810475
classify,vggface,10,Jim_front.jpg,Jim_left.jpg,same,diff,0.9024039
classify,vggface,10,Jim_front.jpg,Jim_right.jpg,same,diff,0.89036727
classify,vggface,10,Jim_front.jpg,Matt_front.jpg,diff,same,0.80330324
classify,vggface,10,Jim_front.jpg,Matt_left.jpg,diff,diff,0.79679424
classify,vggface,10,Jim_front.jpg,Matt_right.jpg,diff,diff,0.7997103
classify,vggface,10,Jim_front.jpg,Nate_front.jpg,diff,same,0.8314996
classify,vggface,10,Jim_front.jpg,Nate_left.jpg,diff,diff,0.7958388
classify,vggface,10,Jim_front.jpg,Nate_right.jpg,diff,diff,0.8119814
classify,vggface,10,Jim_front.jpg,Zack_front.jpg,diff,same,0.75598955
classify,vggface,10,Jim_front.jpg,Zack_left.jpg,diff,diff,0.78453225
classify,vggface,10,Jim_front.jpg,Zack_right.jpg,diff,diff,0.7812861
classify,vggface,10,Jim_left.jpg,Jim_right.jpg,same,diff,0.87384474
classify,vggface,10,Jim_left.jpg,Matt_front.jpg,diff,diff,0.74343014
classify,vggface,10,Jim_left.jpg,Matt_left.jpg,diff,same,0.79436165
classify,vggface,10,Jim_left.jpg,Matt_right.jpg,diff,diff,0.77929986
classify,vggface,10,Jim_left.jpg,Nate_front.jpg,diff,diff,0.7671093
classify,vggface,10,Jim_left.jpg,Nate_left.jpg,diff,same,0.77559674
classify,vggface,10,Jim_left.jpg,Nate_right.jpg,diff,diff,0.77986044
classify,vggface,10,Jim_left.jpg,Zack_front.jpg,diff,diff,0.71362424
classify,vggface,10,Jim_left.jpg,Zack_left.jpg,diff,same,0.7987448
classify,vggface,10,Jim_left.jpg,Zack_right.jpg,diff,diff,0.75854945
classify,vggface,10,Jim_right.jpg,Matt_front.jpg,diff,diff,0.7235729
classify,vggface,10,Jim_right.jpg,Matt_left.jpg,diff,diff,0.73885906
classify,vggface,10,Jim_right.jpg,Matt_right.jpg,diff,same,0.78576434
classify,vggface,10,Jim_right.jpg,Nate_front.jpg,diff,diff,0.75108415
classify,vggface,10,Jim_right.jpg,Nate_left.jpg,diff,diff,0.7303549
classify,vggface,10,Jim_right.jpg,Nate_right.jpg,diff,same,0.8157731
classify,vggface,10,Jim_right.jpg,Zack_front.jpg,diff,diff,0.69507134
classify,vggface,10,Jim_right.jpg,Zack_left.jpg,diff,diff,0.7299603
classify,vggface,10,Jim_right.jpg,Zack_right.jpg,diff,same,0.79373044
classify,vggface,10,Matt_front.jpg,Matt_left.jpg,same,diff,0.941636
