model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,vggface,1,Bob_front.jpg,Bob_left.jpg,same,diff,0.85316604
classify,vggface,1,Bob_front.jpg,Bob_right.jpg,same,diff,0.84685844
classify,vggface,1,Bob_front.jpg,Dan_front.jpg,diff,same,0.90519845
classify,vggface,1,Bob_front.jpg,Dan_left.jpg,diff,diff,0.84265155
classify,vggface,1,Bob_front.jpg,Dan_right.jpg,diff,diff,0.89676696
classify,vggface,1,Bob_front.jpg,Jim_front.jpg,diff,same,0.8842428
classify,vggface,1,Bob_front.jpg,Jim_left.jpg,diff,diff,0.8313105
classify,vggface,1,Bob_front.jpg,Jim_right.jpg,diff,diff,0.8485108
classify,vggface,1,Bob_front.jpg,Matt_front.jpg,diff,same,0.8640298
classify,vggface,1,Bob_front.jpg,Matt_left.jpg,diff,diff,0.8079587
classify,vggface,1,Bob_front.jpg,Matt_right.jpg,diff,diff,0.85297024
classify,vggface,1,Bob_front.jpg,Nate_front.jpg,diff,same,0.89803666
classify,vggface,1,Bob_front.jpg,Nate_left.jpg,diff,diff,0.79035264
classify,vggface,1,Bob_front.jpg,Nate_right.jpg,diff,diff,0.859243
classify,vggface,1,Bob_front.jpg,Zack_front.jpg,diff,same,0.8585849
classify,vggface,1,Bob_front.jpg,Zack_left.jpg,diff,diff,0.8239476
classify,vggface,1,Bob_front.jpg,Zack_right.jpg,diff,diff,0.88114905
classify,vggface,1,Bob_left.jpg,Bob_right.jpg,same,diff,0.8747901
classify,vggface,1,Bob_left.jpg,Dan_front.jpg,diff,diff,0.8895211
classify,vggface,1,Bob_left.jpg,Dan_left.jpg,diff,same,0.9225618
classify,vggface,1,Bob_left.jpg,Dan_right.jpg,diff,diff,0.8263578
classify,vggface,1,Bob_left.jpg,Jim_front.jpg,diff,diff,0.927074
classify,vggface,1,Bob_left.jpg,Jim_left.jpg,diff,same,0.9311298
classify,vggface,1,Bob_left.jpg,Jim_right.jpg,diff,diff,0.81981045
classify,vggface,1,Bob_left.jpg,Matt_front.jpg,diff,diff,0.89785194
classify,vggface,1,Bob_left.jpg,Matt_left.jpg,diff,same,0.9261435
classify,vggface,1,Bob_left.jpg,Matt_right.jpg,diff,diff,0.81434476
classify,vggface,1,Bob_left.jpg,Nate_front.jpg,diff,diff,0.923357
classify,vggface,1,Bob_left.jpg,Nate_left.jpg,diff,same,0.9163759
classify,vggface,1,Bob_left.jpg,Nate_right.jpg,diff,diff,0.8183472
classify,vggface,1,Bob_left.jpg,Zack_front.jpg,diff,diff,0.91043097
classify,vggface,1,Bob_left.jpg,Zack_left.jpg,diff,same,0.93838143
classify,vggface,1,Bob_left.jpg,Zack_right.jpg,diff,diff,0.832174
classify,vggface,1,Bob_right.jpg,Dan_front.jpg,diff,diff,0.89204144
classify,vggface,1,Bob_right.jpg,Dan_left.jpg,diff,diff,0.83605
classify,vggface,1,Bob_right.jpg,Dan_right.jpg,diff,same,0.9159926
classify,vggface,1,Bob_right.jpg,Jim_front.jpg,diff,diff,0.8846868
classify,vggface,1,Bob_right.jpg,Jim_left.jpg,diff,diff,0.8313534
classify,vggface,1,Bob_right.jpg,Jim_right.jpg,diff,same,0.90790296
classify,vggface,1,Bob_right.jpg,Matt_front.jpg,diff,diff,0.86850536
classify,vggface,1,Bob_right.jpg,Matt_left.jpg,diff,diff,0.8079701
classify,vggface,1,Bob_right.jpg,Matt_right.jpg,diff,same,0.8967722
classify,vggface,1,Bob_right.jpg,Nate_front.jpg,diff,diff,0.8854969
classify,vggface,1,Bob_right.jpg,Nate_left.jpg,diff,diff,0.797667
classify,vggface,1,Bob_right.jpg,Nate_right.jpg,diff,same,0.9042481
classify,vggface,1,Bob_right.jpg,Zack_front.jpg,diff,diff,0.8794348
classify,vggface,1,Bob_right.jpg,Zack_left.jpg,diff,diff,0.81685954
classify,vggface,1,Bob_right.jpg,Zack_right.jpg,diff,same,0.9098995
classify,vggface,1,Dan_front.jpg,Dan_left.jpg,same,diff,0.88370675
classify,vggface,1,Dan_front.jpg,Dan_right.jpg,same,diff,0.9257313
classify,vggface,1,Dan_front.jpg,Jim_front.jpg,diff,same,0.94448036
classify,vggface,1,Dan_front.jpg,Jim_left.jpg,diff,diff,0.8722353
classify,vggface,1,Dan_front.jpg,Jim_right.jpg,diff,diff,0.9012308
classify,vggface,1,Dan_front.jpg,Matt_front.jpg,diff,same,0.9463295
