model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,vggface,20,Bob_front.jpg,Bob_left.jpg,same,diff,0.6217717
classify,vggface,20,Bob_front.jpg,Bob_right.jpg,same,diff,0.5924271
classify,vggface,20,Bob_front.jpg,Dan_front.jpg,diff,same,0.6349922
classify,vggface,20,Bob_front.jpg,Dan_left.jpg,diff,diff,0.67074543
classify,vggface,20,Bob_front.jpg,Dan_right.jpg,diff,diff,0.64281386
classify,vggface,20,Bob_front.jpg,Jim_front.jpg,diff,same,0.66259396
classify,vggface,20,Bob_front.jpg,Jim_left.jpg,diff,diff,0.6806157
classify,vggface,20,Bob_front.jpg,Jim_right.jpg,diff,diff,0.6498354
classify,vggface,20,Bob_front.jpg,Matt_front.jpg,diff,same,0.6296602
classify,vggface,20,Bob_front.jpg,Matt_left.jpg,diff,diff,0.671334
classify,vggface,20,Bob_front.jpg,Matt_right.jpg,diff,diff,0.6611259
classify,vggface,20,Bob_front.jpg,Nate_front.jpg,diff,same,0.6555584
classify,vggface,20,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6597242
classify,vggface,20,Bob_front.jpg,Nate_right.jpg,diff,diff,0.6333194
classify,vggface,20,Bob_front.jpg,Zack_front.jpg,diff,same,0.60056865
classify,vggface,20,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6473165
classify,vggface,20,Bob_front.jpg,Zack_right.jpg,diff,diff,0.62503487
classify,vggface,20,Bob_left.jpg,Bob_right.jpg,same,diff,0.6823975
classify,vggface,20,Bob_left.jpg,Dan_front.jpg,diff,diff,0.64234686
classify,vggface,20,Bob_left.jpg,Dan_left.jpg,diff,same,0.7448486
classify,vggface,20,Bob_left.jpg,Dan_right.jpg,diff,diff,0.5974197
classify,vggface,20,Bob_left.jpg,Jim_front.jpg,diff,diff,0.7118956
classify,vggface,20,Bob_left.jpg,Jim_left.jpg,diff,same,0.73659855
classify,vggface,20,Bob_left.jpg,Jim_right.jpg,diff,diff,0.6327271
classify,vggface,20,Bob_left.jpg,Matt_front.jpg,diff,diff,0.69599456
classify,vggface,20,Bob_left.jpg,Matt_left.jpg,diff,same,0.70195
classify,vggface,20,Bob_left.jpg,Matt_right.jpg,diff,diff,0.6380653
classify,vggface,20,Bob_left.jpg,Nate_front.jpg,diff,diff,0.69419247
classify,vggface,20,Bob_left.jpg,Nate_left.jpg,diff,same,0.674247
classify,vggface,20,Bob_left.jpg,Nate_right.jpg,diff,diff,0.58745414
classify,vggface,20,Bob_left.jpg,Zack_front.jpg,diff,diff,0.67291987
classify,vggface,20,Bob_left.jpg,Zack_left.jpg,diff,same,0.7226876
classify,vggface,20,Bob_left.jpg,Zack_right.jpg,diff,diff,0.60269505
classify,vggface,20,Bob_right.jpg,Dan_front.jpg,diff,diff,0.6997114
classify,vggface,20,Bob_right.jpg,Dan_left.jpg,diff,diff,0.63205177
classify,vggface,20,Bob_right.jpg,Dan_right.jpg,diff,same,0.69214636
classify,vggface,20,Bob_right.jpg,Jim_front.jpg,diff,diff,0.6570339
classify,vggface,20,Bob_right.jpg,Jim_left.jpg,diff,diff,0.6232133
classify,vggface,20,Bob_right.jpg,Jim_right.jpg,diff,same,0.67873406
classify,vggface,20,Bob_right.jpg,Matt_front.jpg,diff,diff,0.69663256
classify,vggface,20,Bob_right.jpg,Matt_left.jpg,diff,diff,0.59642553
classify,vggface,20,Bob_right.jpg,Matt_right.jpg,diff,same,0.65546906
classify,vggface,20,Bob_right.jpg,Nate_front.jpg,diff,diff,0.6645714
classify,vggface,20,Bob_right.jpg,Nate_left.jpg,diff,diff,0.58715886
classify,vggface,20,Bob_right.jpg,Nate_right.jpg,diff,same,0.61114746
classify,vggface,20,Bob_right.jpg,Zack_front.jpg,diff,diff,0.6634574
classify,vggface,20,Bob_right.jpg,Zack_left.jpg,diff,diff,0.588016
classify,vggface,20,Bob_right.jpg,Zack_right.jpg,diff,same,0.64276695
classify,vggface,20,Dan_front.jpg,Dan_left.jpg,same,diff,0.7217441
classify,vggface,20,Dan_front.jpg,Dan_right.jpg,same,diff,0.7493506
classify,vggface,20,Dan_front.jpg,Jim_front.jpg,diff,same,0.8265987
classify,vggface,20,Dan_front.jpg,Jim_left.jpg,diff,diff,0.7109988
classify,vggface,20,Dan_front.jpg,Jim_right.jpg,diff,diff,0.7306775
classify,vggface,20,Dan_front.jpg,Matt_front.jpg,diff,same,0.8612803
