model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,vggface,20,Bob_front.jpg,Bob_left.jpg,same,diff,0.9364889
classify,vggface,20,Bob_front.jpg,Bob_right.jpg,same,diff,0.9337888
classify,vggface,20,Bob_front.jpg,Dan_front.jpg,diff,same,0.77847636
classify,vggface,20,Bob_front.jpg,Dan_left.jpg,diff,diff,0.8551576
classify,vggface,20,Bob_front.jpg,Dan_right.jpg,diff,diff,0.8231502
classify,vggface,20,Bob_front.jpg,Jim_front.jpg,diff,same,0.6269385
classify,vggface,20,Bob_front.jpg,Jim_left.jpg,diff,diff,0.6795825
classify,vggface,20,Bob_front.jpg,Jim_right.jpg,diff,diff,0.59328187
classify,vggface,20,Bob_front.jpg,Matt_front.jpg,diff,same,0.6719865
classify,vggface,20,Bob_front.jpg,Matt_left.jpg,diff,diff,0.66621256
classify,vggface,20,Bob_front.jpg,Matt_right.jpg,diff,diff,0.7266058
classify,vggface,20,Bob_front.jpg,Nate_front.jpg,diff,same,0.66650426
classify,vggface,20,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6447127
classify,vggface,20,Bob_front.jpg,Nate_right.jpg,diff,diff,0.67196023
classify,vggface,20,Bob_front.jpg,Zack_front.jpg,diff,same,0.41618407
classify,vggface,20,Bob_front.jpg,Zack_left.jpg,diff,diff,0.46802366
classify,vggface,20,Bob_front.jpg,Zack_right.jpg,diff,diff,0.4497449
classify,vggface,20,Bob_left.jpg,Bob_right.jpg,same,diff,0.89658725
classify,vggface,20,Bob_left.jpg,Dan_front.jpg,diff,diff,0.7411468
classify,vggface,20,Bob_left.jpg,Dan_left.jpg,diff,same,0.82493734
classify,vggface,20,Bob_left.jpg,Dan_right.jpg,diff,diff,0.76700187
classify,vggface,20,Bob_left.jpg,Jim_front.jpg,diff,diff,0.64863247
classify,vggface,20,Bob_left.jpg,Jim_left.jpg,diff,same,0.714004
classify,vggface,20,Bob_left.jpg,Jim_right.jpg,diff,diff,0.5955132
classify,vggface,20,Bob_left.jpg,Matt_front.jpg,diff,diff,0.6124516
classify,vggface,20,Bob_left.jpg,Matt_left.jpg,diff,same,0.6226027
classify,vggface,20,Bob_left.jpg,Matt_right.jpg,diff,diff,0.65846074
classify,vggface,20,Bob_left.jpg,Nate_front.jpg,diff,diff,0.6640794
classify,vggface,20,Bob_left.jpg,Nate_left.jpg,diff,same,0.66303706
classify,vggface,20,Bob_left.jpg,Nate_right.jpg,diff,diff,0.68228024
classify,vggface,20,Bob_left.jpg,Zack_front.jpg,diff,diff,0.41492394
classify,vggface,20,Bob_left.jpg,Zack_left.jpg,diff,same,0.49931026
