model_type,train_type,epoch,im1,im2,identity,orient,similarity
classify,vggface,5,Bob_front.jpg,Bob_left.jpg,same,diff,0.71473134
classify,vggface,5,Bob_front.jpg,Bob_right.jpg,same,diff,0.66403264
classify,vggface,5,Bob_front.jpg,Dan_front.jpg,diff,same,0.707883
classify,vggface,5,Bob_front.jpg,Dan_left.jpg,diff,diff,0.68907666
classify,vggface,5,Bob_front.jpg,Dan_right.jpg,diff,diff,0.68698746
classify,vggface,5,Bob_front.jpg,Jim_front.jpg,diff,same,0.7437982
classify,vggface,5,Bob_front.jpg,Jim_left.jpg,diff,diff,0.68285424
classify,vggface,5,Bob_front.jpg,Jim_right.jpg,diff,diff,0.68881124
classify,vggface,5,Bob_front.jpg,Matt_front.jpg,diff,same,0.6567781
classify,vggface,5,Bob_front.jpg,Matt_left.jpg,diff,diff,0.6283821
classify,vggface,5,Bob_front.jpg,Matt_right.jpg,diff,diff,0.68866575
classify,vggface,5,Bob_front.jpg,Nate_front.jpg,diff,same,0.7106987
classify,vggface,5,Bob_front.jpg,Nate_left.jpg,diff,diff,0.6184677
classify,vggface,5,Bob_front.jpg,Nate_right.jpg,diff,diff,0.62037504
classify,vggface,5,Bob_front.jpg,Zack_front.jpg,diff,same,0.5782997
classify,vggface,5,Bob_front.jpg,Zack_left.jpg,diff,diff,0.6049645
classify,vggface,5,Bob_front.jpg,Zack_right.jpg,diff,diff,0.61775064
classify,vggface,5,Bob_left.jpg,Bob_right.jpg,same,diff,0.7018267
classify,vggface,5,Bob_left.jpg,Dan_front.jpg,diff,diff,0.6664606
classify,vggface,5,Bob_left.jpg,Dan_left.jpg,diff,same,0.75802964
classify,vggface,5,Bob_left.jpg,Dan_right.jpg,diff,diff,0.60312665
classify,vggface,5,Bob_left.jpg,Jim_front.jpg,diff,diff,0.72022027
classify,vggface,5,Bob_left.jpg,Jim_left.jpg,diff,same,0.7663089
classify,vggface,5,Bob_left.jpg,Jim_right.jpg,diff,diff,0.6244734
classify,vggface,5,Bob_left.jpg,Matt_front.jpg,diff,diff,0.65306026
classify,vggface,5,Bob_left.jpg,Matt_left.jpg,diff,same,0.69436073
classify,vggface,5,Bob_left.jpg,Matt_right.jpg,diff,diff,0.61347634
classify,vggface,5,Bob_left.jpg,Nate_front.jpg,diff,diff,0.68859094
classify,vggface,5,Bob_left.jpg,Nate_left.jpg,diff,same,0.67778695
classify,vggface,5,Bob_left.jpg,Nate_right.jpg,diff,diff,0.5403552
classify,vggface,5,Bob_left.jpg,Zack_front.jpg,diff,diff,0.58850956
classify,vggface,5,Bob_left.jpg,Zack_left.jpg,diff,same,0.68895686
classify,vggface,5,Bob_left.jpg,Zack_right.jpg,diff,diff,0.5447194
classify,vggface,5,Bob_right.jpg,Dan_front.jpg,diff,diff,0.63547033
classify,vggface,5,Bob_right.jpg,Dan_left.jpg,diff,diff,0.5874969
classify,vggface,5,Bob_right.jpg,Dan_right.jpg,diff,same,0.6928898
classify,vggface,5,Bob_right.jpg,Jim_front.jpg,diff,diff,0.6302321
classify,vggface,5,Bob_right.jpg,Jim_left.jpg,diff,diff,0.6026897
classify,vggface,5,Bob_right.jpg,Jim_right.jpg,diff,same,0.6955996
classify,vggface,5,Bob_right.jpg,Matt_front.jpg,diff,diff,0.5818669
classify,vggface,5,Bob_right.jpg,Matt_left.jpg,diff,diff,0.54233605
classify,vggface,5,Bob_right.jpg,Matt_right.jpg,diff,same,0.6610315
classify,vggface,5,Bob_right.jpg,Nate_front.jpg,diff,diff,0.61234957
classify,vggface,5,Bob_right.jpg,Nate_left.jpg,diff,diff,0.53255373
classify,vggface,5,Bob_right.jpg,Nate_right.jpg,diff,same,0.63038063
classify,vggface,5,Bob_right.jpg,Zack_front.jpg,diff,diff,0.5307559
classify,vggface,5,Bob_right.jpg,Zack_left.jpg,diff,diff,0.5190477
classify,vggface,5,Bob_right.jpg,Zack_right.jpg,diff,same,0.6118067
classify,vggface,5,Dan_front.jpg,Dan_left.jpg,same,diff,0.760675
classify,vggface,5,Dan_front.jpg,Dan_right.jpg,same,diff,0.81595176
classify,vggface,5,Dan_front.jpg,Jim_front.jpg,diff,same,0.84781075
classify,vggface,5,Dan_front.jpg,Jim_left.jpg,diff,diff,0.7184342
classify,vggface,5,Dan_front.jpg,Jim_right.jpg,diff,diff,0.7647869
classify,vggface,5,Dan_front.jpg,Matt_front.jpg,diff,same,0.84602875
classify,vggface,5,Dan_front.jpg,Matt_left.jpg,diff,diff,0.70574707
classify,vggface,5,Dan_front.jpg,Matt_right.jpg,diff,diff,0.76641643
classify,vggface,5,Dan_front.jpg,Nate_front.jpg,diff,same,0.8482145
classify,vggface,5,Dan_front.jpg,Nate_left.jpg,diff,diff,0.70036906
classify,vggface,5,Dan_front.jpg,Nate_right.jpg,diff,diff,0.7468369
