model_type,train_type,epoch,im1,im2,similarity
ae,imagenet_objects,0,h01_15.jpg,h02_06.jpg,0.99065614
ae,imagenet_objects,0,h01_15.jpg,h03_01.jpg,0.995958
ae,imagenet_objects,0,h01_15.jpg,h04_28.jpg,0.9865883
ae,imagenet_objects,0,h01_15.jpg,h07_01.jpg,0.9877794
ae,imagenet_objects,0,h01_15.jpg,h10_01.jpg,0.9737563
ae,imagenet_objects,0,h01_15.jpg,h12_20.jpg,0.9901592
ae,imagenet_objects,0,h01_15.jpg,h14_07.jpg,0.9871025
ae,imagenet_objects,0,h01_15.jpg,h15_01.jpg,0.98383254
ae,imagenet_objects,0,h01_15.jpg,h16_01.jpg,0.98124015
ae,imagenet_objects,0,h01_15.jpg,h18_14.jpg,0.9742504
ae,imagenet_objects,0,h01_15.jpg,h21_02.jpg,0.96746296
ae,imagenet_objects,0,h01_15.jpg,h27_07.jpg,0.97700214
ae,imagenet_objects,0,h01_15.jpg,h30_11.jpg,0.97457343
ae,imagenet_objects,0,h01_15.jpg,h31_01.jpg,0.98940045
ae,imagenet_objects,0,h01_15.jpg,h33_17.jpg,0.97224593
ae,imagenet_objects,0,h01_15.jpg,h34_02.jpg,0.97435236
ae,imagenet_objects,0,h02_06.jpg,h03_01.jpg,0.9911651
ae,imagenet_objects,0,h02_06.jpg,h04_28.jpg,0.9883419
ae,imagenet_objects,0,h02_06.jpg,h07_01.jpg,0.9858611
ae,imagenet_objects,0,h02_06.jpg,h10_01.jpg,0.97850955
ae,imagenet_objects,0,h02_06.jpg,h12_20.jpg,0.9881975
ae,imagenet_objects,0,h02_06.jpg,h14_07.jpg,0.98739976
ae,imagenet_objects,0,h02_06.jpg,h15_01.jpg,0.98921365
ae,imagenet_objects,0,h02_06.jpg,h16_01.jpg,0.98834324
ae,imagenet_objects,0,h02_06.jpg,h18_14.jpg,0.9747128
ae,imagenet_objects,0,h02_06.jpg,h21_02.jpg,0.9712681
ae,imagenet_objects,0,h02_06.jpg,h27_07.jpg,0.98131245
ae,imagenet_objects,0,h02_06.jpg,h30_11.jpg,0.98002064
ae,imagenet_objects,0,h02_06.jpg,h31_01.jpg,0.9905748
ae,imagenet_objects,0,h02_06.jpg,h33_17.jpg,0.9736445
ae,imagenet_objects,0,h02_06.jpg,h34_02.jpg,0.97410524
ae,imagenet_objects,0,h03_01.jpg,h04_28.jpg,0.98883873
ae,imagenet_objects,0,h03_01.jpg,h07_01.jpg,0.9893982
ae,imagenet_objects,0,h03_01.jpg,h10_01.jpg,0.9732355
ae,imagenet_objects,0,h03_01.jpg,h12_20.jpg,0.9919083
ae,imagenet_objects,0,h03_01.jpg,h14_07.jpg,0.98620296
ae,imagenet_objects,0,h03_01.jpg,h15_01.jpg,0.98422897
ae,imagenet_objects,0,h03_01.jpg,h16_01.jpg,0.9813894
ae,imagenet_objects,0,h03_01.jpg,h18_14.jpg,0.9739772
ae,imagenet_objects,0,h03_01.jpg,h21_02.jpg,0.9667442
ae,imagenet_objects,0,h03_01.jpg,h27_07.jpg,0.976362
ae,imagenet_objects,0,h03_01.jpg,h30_11.jpg,0.97383034
ae,imagenet_objects,0,h03_01.jpg,h31_01.jpg,0.9894331
ae,imagenet_objects,0,h03_01.jpg,h33_17.jpg,0.97224885
ae,imagenet_objects,0,h03_01.jpg,h34_02.jpg,0.97529626
ae,imagenet_objects,0,h04_28.jpg,h07_01.jpg,0.9898847
ae,imagenet_objects,0,h04_28.jpg,h10_01.jpg,0.9769402
ae,imagenet_objects,0,h04_28.jpg,h12_20.jpg,0.99042886
ae,imagenet_objects,0,h04_28.jpg,h14_07.jpg,0.98580927
ae,imagenet_objects,0,h04_28.jpg,h15_01.jpg,0.9869638
ae,imagenet_objects,0,h04_28.jpg,h16_01.jpg,0.98677564
ae,imagenet_objects,0,h04_28.jpg,h18_14.jpg,0.97052616
ae,imagenet_objects,0,h04_28.jpg,h21_02.jpg,0.96758527
ae,imagenet_objects,0,h04_28.jpg,h27_07.jpg,0.9691582
ae,imagenet_objects,0,h04_28.jpg,h30_11.jpg,0.9745597
ae,imagenet_objects,0,h04_28.jpg,h31_01.jpg,0.98172754
