model_type,train_type,epoch,im1,im2,similarity
ae,imagenet_objects,10,h01_15.jpg,h02_06.jpg,0.99591047
ae,imagenet_objects,10,h01_15.jpg,h03_01.jpg,0.99962723
ae,imagenet_objects,10,h01_15.jpg,h04_28.jpg,0.9930543
ae,imagenet_objects,10,h01_15.jpg,h07_01.jpg,0.9928792
ae,imagenet_objects,10,h01_15.jpg,h10_01.jpg,0.9794568
ae,imagenet_objects,10,h01_15.jpg,h12_20.jpg,0.99634665
ae,imagenet_objects,10,h01_15.jpg,h14_07.jpg,0.9930474
ae,imagenet_objects,10,h01_15.jpg,h15_01.jpg,0.9919333
ae,imagenet_objects,10,h01_15.jpg,h16_01.jpg,0.9900671
ae,imagenet_objects,10,h01_15.jpg,h18_14.jpg,0.97795945
ae,imagenet_objects,10,h01_15.jpg,h21_02.jpg,0.9665247
ae,imagenet_objects,10,h01_15.jpg,h27_07.jpg,0.9812882
ae,imagenet_objects,10,h01_15.jpg,h30_11.jpg,0.98349315
ae,imagenet_objects,10,h01_15.jpg,h31_01.jpg,0.9950016
ae,imagenet_objects,10,h01_15.jpg,h33_17.jpg,0.97599596
ae,imagenet_objects,10,h01_15.jpg,h34_02.jpg,0.97311085
ae,imagenet_objects,10,h02_06.jpg,h03_01.jpg,0.99596655
ae,imagenet_objects,10,h02_06.jpg,h04_28.jpg,0.99129945
ae,imagenet_objects,10,h02_06.jpg,h07_01.jpg,0.9898845
ae,imagenet_objects,10,h02_06.jpg,h10_01.jpg,0.98091733
ae,imagenet_objects,10,h02_06.jpg,h12_20.jpg,0.9925339
ae,imagenet_objects,10,h02_06.jpg,h14_07.jpg,0.9907273
ae,imagenet_objects,10,h02_06.jpg,h15_01.jpg,0.9933253
ae,imagenet_objects,10,h02_06.jpg,h16_01.jpg,0.99292964
ae,imagenet_objects,10,h02_06.jpg,h18_14.jpg,0.98029137
ae,imagenet_objects,10,h02_06.jpg,h21_02.jpg,0.9663108
ae,imagenet_objects,10,h02_06.jpg,h27_07.jpg,0.9886893
ae,imagenet_objects,10,h02_06.jpg,h30_11.jpg,0.98419285
ae,imagenet_objects,10,h02_06.jpg,h31_01.jpg,0.99530166
