model_type,train_type,epoch,im1,im2,similarity
ae,vggface,10,h01_15.jpg,h02_06.jpg,0.9919565
ae,vggface,10,h01_15.jpg,h03_01.jpg,0.9978378
ae,vggface,10,h01_15.jpg,h04_28.jpg,0.9874373
ae,vggface,10,h01_15.jpg,h07_01.jpg,0.9892394
ae,vggface,10,h01_15.jpg,h10_01.jpg,0.9763193
ae,vggface,10,h01_15.jpg,h12_20.jpg,0.9919113
ae,vggface,10,h01_15.jpg,h14_07.jpg,0.98777777
ae,vggface,10,h01_15.jpg,h15_01.jpg,0.9885697
ae,vggface,10,h01_15.jpg,h16_01.jpg,0.98591924
ae,vggface,10,h01_15.jpg,h18_14.jpg,0.97366947
ae,vggface,10,h01_15.jpg,h21_02.jpg,0.9691254
ae,vggface,10,h01_15.jpg,h27_07.jpg,0.9774476
ae,vggface,10,h01_15.jpg,h30_11.jpg,0.9793241
ae,vggface,10,h01_15.jpg,h31_01.jpg,0.9921106
ae,vggface,10,h01_15.jpg,h33_17.jpg,0.9724947
ae,vggface,10,h01_15.jpg,h34_02.jpg,0.97387534
ae,vggface,10,h02_06.jpg,h03_01.jpg,0.99358225
ae,vggface,10,h02_06.jpg,h04_28.jpg,0.9892506
ae,vggface,10,h02_06.jpg,h07_01.jpg,0.9874185
ae,vggface,10,h02_06.jpg,h10_01.jpg,0.98113847
ae,vggface,10,h02_06.jpg,h12_20.jpg,0.98948467
ae,vggface,10,h02_06.jpg,h14_07.jpg,0.9890441
ae,vggface,10,h02_06.jpg,h15_01.jpg,0.9924334
ae,vggface,10,h02_06.jpg,h16_01.jpg,0.99140245
ae,vggface,10,h02_06.jpg,h18_14.jpg,0.9769984
ae,vggface,10,h02_06.jpg,h21_02.jpg,0.973735
ae,vggface,10,h02_06.jpg,h27_07.jpg,0.9829158
ae,vggface,10,h02_06.jpg,h30_11.jpg,0.9833639
ae,vggface,10,h02_06.jpg,h31_01.jpg,0.9937852
ae,vggface,10,h02_06.jpg,h33_17.jpg,0.9749218
ae,vggface,10,h02_06.jpg,h34_02.jpg,0.9749643
ae,vggface,10,h03_01.jpg,h04_28.jpg,0.9914368
ae,vggface,10,h03_01.jpg,h07_01.jpg,0.9921167
ae,vggface,10,h03_01.jpg,h10_01.jpg,0.97854835
ae,vggface,10,h03_01.jpg,h12_20.jpg,0.99454695
ae,vggface,10,h03_01.jpg,h14_07.jpg,0.9901753
ae,vggface,10,h03_01.jpg,h15_01.jpg,0.99124974
ae,vggface,10,h03_01.jpg,h16_01.jpg,0.98875165
ae,vggface,10,h03_01.jpg,h18_14.jpg,0.975797
ae,vggface,10,h03_01.jpg,h21_02.jpg,0.97160435
ae,vggface,10,h03_01.jpg,h27_07.jpg,0.9785261
ae,vggface,10,h03_01.jpg,h30_11.jpg,0.9807857
ae,vggface,10,h03_01.jpg,h31_01.jpg,0.9931222
ae,vggface,10,h03_01.jpg,h33_17.jpg,0.9755603
ae,vggface,10,h03_01.jpg,h34_02.jpg,0.9757257
ae,vggface,10,h04_28.jpg,h07_01.jpg,0.9911643
ae,vggface,10,h04_28.jpg,h10_01.jpg,0.97902596
ae,vggface,10,h04_28.jpg,h12_20.jpg,0.9932018
ae,vggface,10,h04_28.jpg,h14_07.jpg,0.9875067
ae,vggface,10,h04_28.jpg,h15_01.jpg,0.99005795
ae,vggface,10,h04_28.jpg,h16_01.jpg,0.99001044
ae,vggface,10,h04_28.jpg,h18_14.jpg,0.97203296
ae,vggface,10,h04_28.jpg,h21_02.jpg,0.969172
ae,vggface,10,h04_28.jpg,h27_07.jpg,0.97124475
ae,vggface,10,h04_28.jpg,h30_11.jpg,0.97774464
ae,vggface,10,h04_28.jpg,h31_01.jpg,0.98412985
ae,vggface,10,h04_28.jpg,h33_17.jpg,0.9783353
ae,vggface,10,h04_28.jpg,h34_02.jpg,0.9740956
ae,vggface,10,h07_01.jpg,h10_01.jpg,0.9815655
ae,vggface,10,h07_01.jpg,h12_20.jpg,0.9949235
ae,vggface,10,h07_01.jpg,h14_07.jpg,0.98440295
ae,vggface,10,h07_01.jpg,h15_01.jpg,0.98970807
ae,vggface,10,h07_01.jpg,h16_01.jpg,0.9888243
ae,vggface,10,h07_01.jpg,h18_14.jpg,0.9760423
ae,vggface,10,h07_01.jpg,h21_02.jpg,0.96699643
ae,vggface,10,h07_01.jpg,h27_07.jpg,0.97062135
ae,vggface,10,h07_01.jpg,h30_11.jpg,0.9731873
ae,vggface,10,h07_01.jpg,h31_01.jpg,0.9858222
ae,vggface,10,h07_01.jpg,h33_17.jpg,0.98099
ae,vggface,10,h07_01.jpg,h34_02.jpg,0.98492014
ae,vggface,10,h10_01.jpg,h12_20.jpg,0.9813812
ae,vggface,10,h10_01.jpg,h14_07.jpg,0.9825385
ae,vggface,10,h10_01.jpg,h15_01.jpg,0.9855282
ae,vggface,10,h10_01.jpg,h16_01.jpg,0.98748386
ae,vggface,10,h10_01.jpg,h18_14.jpg,0.9906314
ae,vggface,10,h10_01.jpg,h21_02.jpg,0.98394346
ae,vggface,10,h10_01.jpg,h27_07.jpg,0.97479856
ae,vggface,10,h10_01.jpg,h30_11.jpg,0.97973233
ae,vggface,10,h10_01.jpg,h31_01.jpg,0.98185045
ae,vggface,10,h10_01.jpg,h33_17.jpg,0.99394387
ae,vggface,10,h10_01.jpg,h34_02.jpg,0.98592603
ae,vggface,10,h12_20.jpg,h14_07.jpg,0.98992
ae,vggface,10,h12_20.jpg,h15_01.jpg,0.99238735
ae,vggface,10,h12_20.jpg,h16_01.jpg,0.9916385
ae,vggface,10,h12_20.jpg,h18_14.jpg,0.976141
ae,vggface,10,h12_20.jpg,h21_02.jpg,0.97343284
ae,vggface,10,h12_20.jpg,h27_07.jpg,0.9761842
ae,vggface,10,h12_20.jpg,h30_11.jpg,0.98173517
ae,vggface,10,h12_20.jpg,h31_01.jpg,0.9900136
ae,vggface,10,h12_20.jpg,h33_17.jpg,0.98032945
ae,vggface,10,h12_20.jpg,h34_02.jpg,0.977526
ae,vggface,10,h14_07.jpg,h15_01.jpg,0.99492913
ae,vggface,10,h14_07.jpg,h16_01.jpg,0.9931701
ae,vggface,10,h14_07.jpg,h18_14.jpg,0.9737702
ae,vggface,10,h14_07.jpg,h21_02.jpg,0.9824645
ae,vggface,10,h14_07.jpg,h27_07.jpg,0.978013
ae,vggface,10,h14_07.jpg,h30_11.jpg,0.9890703
ae,vggface,10,h14_07.jpg,h31_01.jpg,0.99179614
ae,vggface,10,h14_07.jpg,h33_17.jpg,0.9798138
ae,vggface,10,h14_07.jpg,h34_02.jpg,0.97182584
ae,vggface,10,h15_01.jpg,h16_01.jpg,0.9969816
ae,vggface,10,h15_01.jpg,h18_14.jpg,0.97475964
ae,vggface,10,h15_01.jpg,h21_02.jpg,0.9794276
ae,vggface,10,h15_01.jpg,h27_07.jpg,0.9774502
ae,vggface,10,h15_01.jpg,h30_11.jpg,0.98613465
ae,vggface,10,h15_01.jpg,h31_01.jpg,0.99103785
ae,vggface,10,h15_01.jpg,h33_17.jpg,0.9810177
ae,vggface,10,h15_01.jpg,h34_02.jpg,0.9779066
ae,vggface,10,h16_01.jpg,h18_14.jpg,0.9766439
ae,vggface,10,h16_01.jpg,h21_02.jpg,0.98030156
ae,vggface,10,h16_01.jpg,h27_07.jpg,0.9773265
ae,vggface,10,h16_01.jpg,h30_11.jpg,0.98772526
ae,vggface,10,h16_01.jpg,h31_01.jpg,0.9911498
ae,vggface,10,h16_01.jpg,h33_17.jpg,0.9831596
ae,vggface,10,h16_01.jpg,h34_02.jpg,0.9779194
ae,vggface,10,h18_14.jpg,h21_02.jpg,0.9792835
ae,vggface,10,h18_14.jpg,h27_07.jpg,0.98166215
ae,vggface,10,h18_14.jpg,h30_11.jpg,0.97431606
ae,vggface,10,h18_14.jpg,h31_01.jpg,0.9809714
ae,vggface,10,h18_14.jpg,h33_17.jpg,0.98618984
ae,vggface,10,h18_14.jpg,h34_02.jpg,0.98099446
ae,vggface,10,h21_02.jpg,h27_07.jpg,0.9745946
ae,vggface,10,h21_02.jpg,h30_11.jpg,0.98834807
ae,vggface,10,h21_02.jpg,h31_01.jpg,0.97958004
ae,vggface,10,h21_02.jpg,h33_17.jpg,0.9797238
ae,vggface,10,h21_02.jpg,h34_02.jpg,0.9672355
ae,vggface,10,h27_07.jpg,h30_11.jpg,0.980074
ae,vggface,10,h27_07.jpg,h31_01.jpg,0.98679143
ae,vggface,10,h27_07.jpg,h33_17.jpg,0.9687213
ae,vggface,10,h27_07.jpg,h34_02.jpg,0.9636775
ae,vggface,10,h30_11.jpg,h31_01.jpg,0.9880574
ae,vggface,10,h30_11.jpg,h33_17.jpg,0.97250146
ae,vggface,10,h30_11.jpg,h34_02.jpg,0.9635892
ae,vggface,10,h31_01.jpg,h33_17.jpg,0.97701186
ae,vggface,10,h31_01.jpg,h34_02.jpg,0.9753088
ae,vggface,10,h33_17.jpg,h34_02.jpg,0.98654926
