model_type,train_type,epoch,im1,im2,similarity
ae,vggface,15,h01_15.jpg,h02_06.jpg,0.99373466
ae,vggface,15,h01_15.jpg,h03_01.jpg,0.99894357
ae,vggface,15,h01_15.jpg,h04_28.jpg,0.99039394
ae,vggface,15,h01_15.jpg,h07_01.jpg,0.9878138
ae,vggface,15,h01_15.jpg,h10_01.jpg,0.9675928
ae,vggface,15,h01_15.jpg,h12_20.jpg,0.99358886
ae,vggface,15,h01_15.jpg,h14_07.jpg,0.99119484
ae,vggface,15,h01_15.jpg,h15_01.jpg,0.9905503
ae,vggface,15,h01_15.jpg,h16_01.jpg,0.9877422
ae,vggface,15,h01_15.jpg,h18_14.jpg,0.96433413
ae,vggface,15,h01_15.jpg,h21_02.jpg,0.95609164
ae,vggface,15,h01_15.jpg,h27_07.jpg,0.9705299
ae,vggface,15,h01_15.jpg,h30_11.jpg,0.9756879
ae,vggface,15,h01_15.jpg,h31_01.jpg,0.99193925
ae,vggface,15,h01_15.jpg,h33_17.jpg,0.963308
ae,vggface,15,h01_15.jpg,h34_02.jpg,0.9617471
ae,vggface,15,h02_06.jpg,h03_01.jpg,0.994645
ae,vggface,15,h02_06.jpg,h04_28.jpg,0.98790526
ae,vggface,15,h02_06.jpg,h07_01.jpg,0.9850269
ae,vggface,15,h02_06.jpg,h10_01.jpg,0.9743975
ae,vggface,15,h02_06.jpg,h12_20.jpg,0.98837334
ae,vggface,15,h02_06.jpg,h14_07.jpg,0.9903914
ae,vggface,15,h02_06.jpg,h15_01.jpg,0.99309576
ae,vggface,15,h02_06.jpg,h16_01.jpg,0.9924869
ae,vggface,15,h02_06.jpg,h18_14.jpg,0.97051454
ae,vggface,15,h02_06.jpg,h21_02.jpg,0.96006525
ae,vggface,15,h02_06.jpg,h27_07.jpg,0.9783032
ae,vggface,15,h02_06.jpg,h30_11.jpg,0.97839856
ae,vggface,15,h02_06.jpg,h31_01.jpg,0.9941068
ae,vggface,15,h02_06.jpg,h33_17.jpg,0.9661064
ae,vggface,15,h02_06.jpg,h34_02.jpg,0.96679854
