model_type,train_type,epoch,im1,im2,similarity
ae,vggface,5,r01_15.jpg,r02_06.jpg,0.9849281
ae,vggface,5,r01_15.jpg,r03_01.jpg,0.979014
ae,vggface,5,r01_15.jpg,r04_28.jpg,0.98186916
ae,vggface,5,r01_15.jpg,r07_01.jpg,0.96541226
ae,vggface,5,r01_15.jpg,r10_01.jpg,0.97176635
ae,vggface,5,r01_15.jpg,r12_20.jpg,0.98545605
ae,vggface,5,r01_15.jpg,r14_07.jpg,0.98109925
ae,vggface,5,r01_15.jpg,r15_01.jpg,0.99074924
ae,vggface,5,r01_15.jpg,r16_01.jpg,0.98419154
ae,vggface,5,r01_15.jpg,r18_14.jpg,0.98334193
ae,vggface,5,r01_15.jpg,r21_02.jpg,0.96760327
ae,vggface,5,r01_15.jpg,r27_07.jpg,0.9913633
ae,vggface,5,r01_15.jpg,r30_11.jpg,0.98793614
ae,vggface,5,r01_15.jpg,r31_01.jpg,0.9806867
ae,vggface,5,r01_15.jpg,r33_17.jpg,0.97663784
ae,vggface,5,r01_15.jpg,r34_02.jpg,0.9855386
ae,vggface,5,r02_06.jpg,r03_01.jpg,0.9847804
ae,vggface,5,r02_06.jpg,r04_28.jpg,0.97903806
ae,vggface,5,r02_06.jpg,r07_01.jpg,0.96295655
ae,vggface,5,r02_06.jpg,r10_01.jpg,0.9599707
ae,vggface,5,r02_06.jpg,r12_20.jpg,0.99217606
ae,vggface,5,r02_06.jpg,r14_07.jpg,0.9945172
ae,vggface,5,r02_06.jpg,r15_01.jpg,0.9829316
ae,vggface,5,r02_06.jpg,r16_01.jpg,0.9895422
ae,vggface,5,r02_06.jpg,r18_14.jpg,0.9833044
ae,vggface,5,r02_06.jpg,r21_02.jpg,0.9476715
ae,vggface,5,r02_06.jpg,r27_07.jpg,0.9856028
ae,vggface,5,r02_06.jpg,r30_11.jpg,0.9790447
ae,vggface,5,r02_06.jpg,r31_01.jpg,0.9835518
ae,vggface,5,r02_06.jpg,r33_17.jpg,0.97204745
ae,vggface,5,r02_06.jpg,r34_02.jpg,0.98302585
ae,vggface,5,r03_01.jpg,r04_28.jpg,0.9728223
ae,vggface,5,r03_01.jpg,r07_01.jpg,0.9510861
ae,vggface,5,r03_01.jpg,r10_01.jpg,0.95231503
ae,vggface,5,r03_01.jpg,r12_20.jpg,0.99129343
ae,vggface,5,r03_01.jpg,r14_07.jpg,0.991371
ae,vggface,5,r03_01.jpg,r15_01.jpg,0.98129016
ae,vggface,5,r03_01.jpg,r16_01.jpg,0.99396217
ae,vggface,5,r03_01.jpg,r18_14.jpg,0.9915004
ae,vggface,5,r03_01.jpg,r21_02.jpg,0.94103
ae,vggface,5,r03_01.jpg,r27_07.jpg,0.97966945
ae,vggface,5,r03_01.jpg,r30_11.jpg,0.989597
ae,vggface,5,r03_01.jpg,r31_01.jpg,0.98210186
ae,vggface,5,r03_01.jpg,r33_17.jpg,0.962514
ae,vggface,5,r03_01.jpg,r34_02.jpg,0.9664046
ae,vggface,5,r04_28.jpg,r07_01.jpg,0.97902656
ae,vggface,5,r04_28.jpg,r10_01.jpg,0.97073054
ae,vggface,5,r04_28.jpg,r12_20.jpg,0.9742538
ae,vggface,5,r04_28.jpg,r14_07.jpg,0.9721231
ae,vggface,5,r04_28.jpg,r15_01.jpg,0.98648626
ae,vggface,5,r04_28.jpg,r16_01.jpg,0.97857535
ae,vggface,5,r04_28.jpg,r18_14.jpg,0.9852981
ae,vggface,5,r04_28.jpg,r21_02.jpg,0.9733392
ae,vggface,5,r04_28.jpg,r27_07.jpg,0.98124146
ae,vggface,5,r04_28.jpg,r30_11.jpg,0.9818241
ae,vggface,5,r04_28.jpg,r31_01.jpg,0.97679394
ae,vggface,5,r04_28.jpg,r33_17.jpg,0.97752017
ae,vggface,5,r04_28.jpg,r34_02.jpg,0.9790415
ae,vggface,5,r07_01.jpg,r10_01.jpg,0.9851213
ae,vggface,5,r07_01.jpg,r12_20.jpg,0.9597837
ae,vggface,5,r07_01.jpg,r14_07.jpg,0.95012283
ae,vggface,5,r07_01.jpg,r15_01.jpg,0.97832876
ae,vggface,5,r07_01.jpg,r16_01.jpg,0.9618458
ae,vggface,5,r07_01.jpg,r18_14.jpg,0.96727353
ae,vggface,5,r07_01.jpg,r21_02.jpg,0.98338246
ae,vggface,5,r07_01.jpg,r27_07.jpg,0.9661176
