model_type,train_type,epoch,im1,im2,similarity
classify,imagenet_objects,1,h01_15.jpg,h02_06.jpg,0.9787567
classify,imagenet_objects,1,h01_15.jpg,h03_01.jpg,0.98851925
classify,imagenet_objects,1,h01_15.jpg,h04_28.jpg,0.96369845
classify,imagenet_objects,1,h01_15.jpg,h07_01.jpg,0.9648032
classify,imagenet_objects,1,h01_15.jpg,h10_01.jpg,0.94666785
classify,imagenet_objects,1,h01_15.jpg,h12_20.jpg,0.9744742
classify,imagenet_objects,1,h01_15.jpg,h14_07.jpg,0.9716335
classify,imagenet_objects,1,h01_15.jpg,h15_01.jpg,0.97036254
classify,imagenet_objects,1,h01_15.jpg,h16_01.jpg,0.9695252
classify,imagenet_objects,1,h01_15.jpg,h18_14.jpg,0.9137207
classify,imagenet_objects,1,h01_15.jpg,h21_02.jpg,0.9536798
classify,imagenet_objects,1,h01_15.jpg,h27_07.jpg,0.9241859
classify,imagenet_objects,1,h01_15.jpg,h30_11.jpg,0.95656884
classify,imagenet_objects,1,h01_15.jpg,h31_01.jpg,0.9736781
classify,imagenet_objects,1,h01_15.jpg,h33_17.jpg,0.9285871
classify,imagenet_objects,1,h01_15.jpg,h34_02.jpg,0.95902646
classify,imagenet_objects,1,h02_06.jpg,h03_01.jpg,0.982337
classify,imagenet_objects,1,h02_06.jpg,h04_28.jpg,0.9811402
classify,imagenet_objects,1,h02_06.jpg,h07_01.jpg,0.9709859
classify,imagenet_objects,1,h02_06.jpg,h10_01.jpg,0.96083385
classify,imagenet_objects,1,h02_06.jpg,h12_20.jpg,0.98217607
classify,imagenet_objects,1,h02_06.jpg,h14_07.jpg,0.9653378
classify,imagenet_objects,1,h02_06.jpg,h15_01.jpg,0.9772452
classify,imagenet_objects,1,h02_06.jpg,h16_01.jpg,0.98119533
classify,imagenet_objects,1,h02_06.jpg,h18_14.jpg,0.92951035
classify,imagenet_objects,1,h02_06.jpg,h21_02.jpg,0.96232337
classify,imagenet_objects,1,h02_06.jpg,h27_07.jpg,0.94554615
classify,imagenet_objects,1,h02_06.jpg,h30_11.jpg,0.9671205
classify,imagenet_objects,1,h02_06.jpg,h31_01.jpg,0.9825906
classify,imagenet_objects,1,h02_06.jpg,h33_17.jpg,0.9338622
classify,imagenet_objects,1,h02_06.jpg,h34_02.jpg,0.9583393
classify,imagenet_objects,1,h03_01.jpg,h04_28.jpg,0.9702067
classify,imagenet_objects,1,h03_01.jpg,h07_01.jpg,0.9733567
classify,imagenet_objects,1,h03_01.jpg,h10_01.jpg,0.9566284
classify,imagenet_objects,1,h03_01.jpg,h12_20.jpg,0.9819416
classify,imagenet_objects,1,h03_01.jpg,h14_07.jpg,0.97749466
classify,imagenet_objects,1,h03_01.jpg,h15_01.jpg,0.97904503
classify,imagenet_objects,1,h03_01.jpg,h16_01.jpg,0.97628295
classify,imagenet_objects,1,h03_01.jpg,h18_14.jpg,0.92763615
classify,imagenet_objects,1,h03_01.jpg,h21_02.jpg,0.95889276
classify,imagenet_objects,1,h03_01.jpg,h27_07.jpg,0.93336785
classify,imagenet_objects,1,h03_01.jpg,h30_11.jpg,0.9630258
classify,imagenet_objects,1,h03_01.jpg,h31_01.jpg,0.9779214
classify,imagenet_objects,1,h03_01.jpg,h33_17.jpg,0.94190145
classify,imagenet_objects,1,h03_01.jpg,h34_02.jpg,0.96452814
classify,imagenet_objects,1,h04_28.jpg,h07_01.jpg,0.96504855
classify,imagenet_objects,1,h04_28.jpg,h10_01.jpg,0.9591269
classify,imagenet_objects,1,h04_28.jpg,h12_20.jpg,0.97561604
classify,imagenet_objects,1,h04_28.jpg,h14_07.jpg,0.9541506
classify,imagenet_objects,1,h04_28.jpg,h15_01.jpg,0.97002417
classify,imagenet_objects,1,h04_28.jpg,h16_01.jpg,0.9762958
classify,imagenet_objects,1,h04_28.jpg,h18_14.jpg,0.930648
classify,imagenet_objects,1,h04_28.jpg,h21_02.jpg,0.9689949
classify,imagenet_objects,1,h04_28.jpg,h27_07.jpg,0.94646376
classify,imagenet_objects,1,h04_28.jpg,h30_11.jpg,0.97234213
classify,imagenet_objects,1,h04_28.jpg,h31_01.jpg,0.96677786
classify,imagenet_objects,1,h04_28.jpg,h33_17.jpg,0.9357955
classify,imagenet_objects,1,h04_28.jpg,h34_02.jpg,0.9523406
classify,imagenet_objects,1,h07_01.jpg,h10_01.jpg,0.9710093
classify,imagenet_objects,1,h07_01.jpg,h12_20.jpg,0.98588306
classify,imagenet_objects,1,h07_01.jpg,h14_07.jpg,0.9757633
classify,imagenet_objects,1,h07_01.jpg,h15_01.jpg,0.9746277
classify,imagenet_objects,1,h07_01.jpg,h16_01.jpg,0.9797919
classify,imagenet_objects,1,h07_01.jpg,h18_14.jpg,0.9537486
classify,imagenet_objects,1,h07_01.jpg,h21_02.jpg,0.9520563
classify,imagenet_objects,1,h07_01.jpg,h27_07.jpg,0.95514643
classify,imagenet_objects,1,h07_01.jpg,h30_11.jpg,0.96118575
classify,imagenet_objects,1,h07_01.jpg,h31_01.jpg,0.9714641
classify,imagenet_objects,1,h07_01.jpg,h33_17.jpg,0.96402776
classify,imagenet_objects,1,h07_01.jpg,h34_02.jpg,0.9756853
classify,imagenet_objects,1,h10_01.jpg,h12_20.jpg,0.9719158
classify,imagenet_objects,1,h10_01.jpg,h14_07.jpg,0.95415324
classify,imagenet_objects,1,h10_01.jpg,h15_01.jpg,0.9637311
classify,imagenet_objects,1,h10_01.jpg,h16_01.jpg,0.9650168
classify,imagenet_objects,1,h10_01.jpg,h18_14.jpg,0.9646502
classify,imagenet_objects,1,h10_01.jpg,h21_02.jpg,0.96121275
classify,imagenet_objects,1,h10_01.jpg,h27_07.jpg,0.9541597
classify,imagenet_objects,1,h10_01.jpg,h30_11.jpg,0.96371263
classify,imagenet_objects,1,h10_01.jpg,h31_01.jpg,0.95940775
classify,imagenet_objects,1,h10_01.jpg,h33_17.jpg,0.9732729
classify,imagenet_objects,1,h10_01.jpg,h34_02.jpg,0.968716
classify,imagenet_objects,1,h12_20.jpg,h14_07.jpg,0.9778953
classify,imagenet_objects,1,h12_20.jpg,h15_01.jpg,0.981191
classify,imagenet_objects,1,h12_20.jpg,h16_01.jpg,0.9847576
classify,imagenet_objects,1,h12_20.jpg,h18_14.jpg,0.9434344
classify,imagenet_objects,1,h12_20.jpg,h21_02.jpg,0.96492827
classify,imagenet_objects,1,h12_20.jpg,h27_07.jpg,0.9539903
classify,imagenet_objects,1,h12_20.jpg,h30_11.jpg,0.9725399
classify,imagenet_objects,1,h12_20.jpg,h31_01.jpg,0.97873664
classify,imagenet_objects,1,h12_20.jpg,h33_17.jpg,0.9557816
classify,imagenet_objects,1,h12_20.jpg,h34_02.jpg,0.9707672
classify,imagenet_objects,1,h14_07.jpg,h15_01.jpg,0.96996593
classify,imagenet_objects,1,h14_07.jpg,h16_01.jpg,0.96965915
classify,imagenet_objects,1,h14_07.jpg,h18_14.jpg,0.9373974
classify,imagenet_objects,1,h14_07.jpg,h21_02.jpg,0.9521896
classify,imagenet_objects,1,h14_07.jpg,h27_07.jpg,0.94018096
classify,imagenet_objects,1,h14_07.jpg,h30_11.jpg,0.9606185
classify,imagenet_objects,1,h14_07.jpg,h31_01.jpg,0.97535247
classify,imagenet_objects,1,h14_07.jpg,h33_17.jpg,0.9475447
classify,imagenet_objects,1,h14_07.jpg,h34_02.jpg,0.9527742
classify,imagenet_objects,1,h15_01.jpg,h16_01.jpg,0.9857641
classify,imagenet_objects,1,h15_01.jpg,h18_14.jpg,0.91926634
classify,imagenet_objects,1,h15_01.jpg,h21_02.jpg,0.95665795
classify,imagenet_objects,1,h15_01.jpg,h27_07.jpg,0.93050766
classify,imagenet_objects,1,h15_01.jpg,h30_11.jpg,0.9661891
classify,imagenet_objects,1,h15_01.jpg,h31_01.jpg,0.96959984
classify,imagenet_objects,1,h15_01.jpg,h33_17.jpg,0.94050145
classify,imagenet_objects,1,h15_01.jpg,h34_02.jpg,0.96589017
