model_type,train_type,epoch,im1,im2,similarity
classify,imagenet_objects,20,h01_15.jpg,h02_06.jpg,0.8957496
classify,imagenet_objects,20,h01_15.jpg,h03_01.jpg,0.92035204
classify,imagenet_objects,20,h01_15.jpg,h04_28.jpg,0.8843403
classify,imagenet_objects,20,h01_15.jpg,h07_01.jpg,0.8796946
classify,imagenet_objects,20,h01_15.jpg,h10_01.jpg,0.8010726
classify,imagenet_objects,20,h01_15.jpg,h12_20.jpg,0.87562346
classify,imagenet_objects,20,h01_15.jpg,h14_07.jpg,0.8523388
classify,imagenet_objects,20,h01_15.jpg,h15_01.jpg,0.8760769
classify,imagenet_objects,20,h01_15.jpg,h16_01.jpg,0.83899784
classify,imagenet_objects,20,h01_15.jpg,h18_14.jpg,0.77023476
classify,imagenet_objects,20,h01_15.jpg,h21_02.jpg,0.80632937
classify,imagenet_objects,20,h01_15.jpg,h27_07.jpg,0.82703507
classify,imagenet_objects,20,h01_15.jpg,h30_11.jpg,0.8011503
classify,imagenet_objects,20,h01_15.jpg,h31_01.jpg,0.85781324
classify,imagenet_objects,20,h01_15.jpg,h33_17.jpg,0.7562774
classify,imagenet_objects,20,h01_15.jpg,h34_02.jpg,0.8202503
classify,imagenet_objects,20,h02_06.jpg,h03_01.jpg,0.89731264
classify,imagenet_objects,20,h02_06.jpg,h04_28.jpg,0.9056318
classify,imagenet_objects,20,h02_06.jpg,h07_01.jpg,0.91216457
classify,imagenet_objects,20,h02_06.jpg,h10_01.jpg,0.8483231
classify,imagenet_objects,20,h02_06.jpg,h12_20.jpg,0.8956585
classify,imagenet_objects,20,h02_06.jpg,h14_07.jpg,0.86872476
classify,imagenet_objects,20,h02_06.jpg,h15_01.jpg,0.8923849
classify,imagenet_objects,20,h02_06.jpg,h16_01.jpg,0.8976525
classify,imagenet_objects,20,h02_06.jpg,h18_14.jpg,0.8411888
classify,imagenet_objects,20,h02_06.jpg,h21_02.jpg,0.84371954
classify,imagenet_objects,20,h02_06.jpg,h27_07.jpg,0.8674233
classify,imagenet_objects,20,h02_06.jpg,h30_11.jpg,0.85513055
classify,imagenet_objects,20,h02_06.jpg,h31_01.jpg,0.9139799
classify,imagenet_objects,20,h02_06.jpg,h33_17.jpg,0.81182015
classify,imagenet_objects,20,h02_06.jpg,h34_02.jpg,0.85716957
classify,imagenet_objects,20,h03_01.jpg,h04_28.jpg,0.8893975
classify,imagenet_objects,20,h03_01.jpg,h07_01.jpg,0.86411595
classify,imagenet_objects,20,h03_01.jpg,h10_01.jpg,0.8242102
classify,imagenet_objects,20,h03_01.jpg,h12_20.jpg,0.87171763
classify,imagenet_objects,20,h03_01.jpg,h14_07.jpg,0.81361854
classify,imagenet_objects,20,h03_01.jpg,h15_01.jpg,0.89628226
classify,imagenet_objects,20,h03_01.jpg,h16_01.jpg,0.81512296
classify,imagenet_objects,20,h03_01.jpg,h18_14.jpg,0.7879466
classify,imagenet_objects,20,h03_01.jpg,h21_02.jpg,0.8312517
classify,imagenet_objects,20,h03_01.jpg,h27_07.jpg,0.82738674
classify,imagenet_objects,20,h03_01.jpg,h30_11.jpg,0.7944575
classify,imagenet_objects,20,h03_01.jpg,h31_01.jpg,0.8756194
classify,imagenet_objects,20,h03_01.jpg,h33_17.jpg,0.73629457
classify,imagenet_objects,20,h03_01.jpg,h34_02.jpg,0.82145256
classify,imagenet_objects,20,h04_28.jpg,h07_01.jpg,0.88308674
classify,imagenet_objects,20,h04_28.jpg,h10_01.jpg,0.8238383
classify,imagenet_objects,20,h04_28.jpg,h12_20.jpg,0.89075977
classify,imagenet_objects,20,h04_28.jpg,h14_07.jpg,0.8643291
classify,imagenet_objects,20,h04_28.jpg,h15_01.jpg,0.8768863
classify,imagenet_objects,20,h04_28.jpg,h16_01.jpg,0.8645703
classify,imagenet_objects,20,h04_28.jpg,h18_14.jpg,0.80329984
classify,imagenet_objects,20,h04_28.jpg,h21_02.jpg,0.8425027
classify,imagenet_objects,20,h04_28.jpg,h27_07.jpg,0.8305421
classify,imagenet_objects,20,h04_28.jpg,h30_11.jpg,0.82931656
classify,imagenet_objects,20,h04_28.jpg,h31_01.jpg,0.85883594
classify,imagenet_objects,20,h04_28.jpg,h33_17.jpg,0.78159237
classify,imagenet_objects,20,h04_28.jpg,h34_02.jpg,0.8375016
classify,imagenet_objects,20,h07_01.jpg,h10_01.jpg,0.857652
classify,imagenet_objects,20,h07_01.jpg,h12_20.jpg,0.9387404
classify,imagenet_objects,20,h07_01.jpg,h14_07.jpg,0.8904078
classify,imagenet_objects,20,h07_01.jpg,h15_01.jpg,0.90732956
classify,imagenet_objects,20,h07_01.jpg,h16_01.jpg,0.91488725
classify,imagenet_objects,20,h07_01.jpg,h18_14.jpg,0.8449116
classify,imagenet_objects,20,h07_01.jpg,h21_02.jpg,0.82845014
classify,imagenet_objects,20,h07_01.jpg,h27_07.jpg,0.8405109
classify,imagenet_objects,20,h07_01.jpg,h30_11.jpg,0.8634858
classify,imagenet_objects,20,h07_01.jpg,h31_01.jpg,0.9018315
classify,imagenet_objects,20,h07_01.jpg,h33_17.jpg,0.838159
classify,imagenet_objects,20,h07_01.jpg,h34_02.jpg,0.87166935
classify,imagenet_objects,20,h10_01.jpg,h12_20.jpg,0.8627124
classify,imagenet_objects,20,h10_01.jpg,h14_07.jpg,0.796909
classify,imagenet_objects,20,h10_01.jpg,h15_01.jpg,0.86674875
classify,imagenet_objects,20,h10_01.jpg,h16_01.jpg,0.84912056
classify,imagenet_objects,20,h10_01.jpg,h18_14.jpg,0.91877586
classify,imagenet_objects,20,h10_01.jpg,h21_02.jpg,0.8705744
classify,imagenet_objects,20,h10_01.jpg,h27_07.jpg,0.8384137
classify,imagenet_objects,20,h10_01.jpg,h30_11.jpg,0.8225679
classify,imagenet_objects,20,h10_01.jpg,h31_01.jpg,0.86758566
classify,imagenet_objects,20,h10_01.jpg,h33_17.jpg,0.86179423
classify,imagenet_objects,20,h10_01.jpg,h34_02.jpg,0.89533347
classify,imagenet_objects,20,h12_20.jpg,h14_07.jpg,0.9107753
classify,imagenet_objects,20,h12_20.jpg,h15_01.jpg,0.9096309
classify,imagenet_objects,20,h12_20.jpg,h16_01.jpg,0.9277217
classify,imagenet_objects,20,h12_20.jpg,h18_14.jpg,0.8531879
classify,imagenet_objects,20,h12_20.jpg,h21_02.jpg,0.8564036
classify,imagenet_objects,20,h12_20.jpg,h27_07.jpg,0.8762558
classify,imagenet_objects,20,h12_20.jpg,h30_11.jpg,0.8812028
classify,imagenet_objects,20,h12_20.jpg,h31_01.jpg,0.90024316
classify,imagenet_objects,20,h12_20.jpg,h33_17.jpg,0.84335697
classify,imagenet_objects,20,h12_20.jpg,h34_02.jpg,0.85928905
classify,imagenet_objects,20,h14_07.jpg,h15_01.jpg,0.864765
classify,imagenet_objects,20,h14_07.jpg,h16_01.jpg,0.9113989
classify,imagenet_objects,20,h14_07.jpg,h18_14.jpg,0.7875628
classify,imagenet_objects,20,h14_07.jpg,h21_02.jpg,0.85136795
classify,imagenet_objects,20,h14_07.jpg,h27_07.jpg,0.82462615
classify,imagenet_objects,20,h14_07.jpg,h30_11.jpg,0.89734936
classify,imagenet_objects,20,h14_07.jpg,h31_01.jpg,0.8638844
classify,imagenet_objects,20,h14_07.jpg,h33_17.jpg,0.84098554
classify,imagenet_objects,20,h14_07.jpg,h34_02.jpg,0.79556143
classify,imagenet_objects,20,h15_01.jpg,h16_01.jpg,0.8859042
classify,imagenet_objects,20,h15_01.jpg,h18_14.jpg,0.84557575
classify,imagenet_objects,20,h15_01.jpg,h21_02.jpg,0.86018693
classify,imagenet_objects,20,h15_01.jpg,h27_07.jpg,0.8611885
classify,imagenet_objects,20,h15_01.jpg,h30_11.jpg,0.8443049
classify,imagenet_objects,20,h15_01.jpg,h31_01.jpg,0.8869915
classify,imagenet_objects,20,h15_01.jpg,h33_17.jpg,0.79322845
classify,imagenet_objects,20,h15_01.jpg,h34_02.jpg,0.8680951
classify,imagenet_objects,20,h16_01.jpg,h18_14.jpg,0.8427013
classify,imagenet_objects,20,h16_01.jpg,h21_02.jpg,0.8280753
classify,imagenet_objects,20,h16_01.jpg,h27_07.jpg,0.84511894
classify,imagenet_objects,20,h16_01.jpg,h30_11.jpg,0.90940875
classify,imagenet_objects,20,h16_01.jpg,h31_01.jpg,0.8908072
classify,imagenet_objects,20,h16_01.jpg,h33_17.jpg,0.8619597
classify,imagenet_objects,20,h16_01.jpg,h34_02.jpg,0.8513783
classify,imagenet_objects,20,h18_14.jpg,h21_02.jpg,0.8311128
classify,imagenet_objects,20,h18_14.jpg,h27_07.jpg,0.87318456
classify,imagenet_objects,20,h18_14.jpg,h30_11.jpg,0.82245594
classify,imagenet_objects,20,h18_14.jpg,h31_01.jpg,0.83003
classify,imagenet_objects,20,h18_14.jpg,h33_17.jpg,0.8909006
classify,imagenet_objects,20,h18_14.jpg,h34_02.jpg,0.87587684
classify,imagenet_objects,20,h21_02.jpg,h27_07.jpg,0.8384294
classify,imagenet_objects,20,h21_02.jpg,h30_11.jpg,0.8699484
classify,imagenet_objects,20,h21_02.jpg,h31_01.jpg,0.86559063
classify,imagenet_objects,20,h21_02.jpg,h33_17.jpg,0.8208702
classify,imagenet_objects,20,h21_02.jpg,h34_02.jpg,0.818958
classify,imagenet_objects,20,h27_07.jpg,h30_11.jpg,0.8380018
classify,imagenet_objects,20,h27_07.jpg,h31_01.jpg,0.86311954
classify,imagenet_objects,20,h27_07.jpg,h33_17.jpg,0.80691284
classify,imagenet_objects,20,h27_07.jpg,h34_02.jpg,0.837441
classify,imagenet_objects,20,h30_11.jpg,h31_01.jpg,0.87732625
classify,imagenet_objects,20,h30_11.jpg,h33_17.jpg,0.8254936
classify,imagenet_objects,20,h30_11.jpg,h34_02.jpg,0.80750155
classify,imagenet_objects,20,h31_01.jpg,h33_17.jpg,0.7964899
classify,imagenet_objects,20,h31_01.jpg,h34_02.jpg,0.8500468
classify,imagenet_objects,20,h33_17.jpg,h34_02.jpg,0.83503073
