model_type,train_type,epoch,im1,im2,similarity
classify,imagenet_oneface,25,h01_15.jpg,h02_06.jpg,0.8189684
classify,imagenet_oneface,25,h01_15.jpg,h03_01.jpg,0.9190195
classify,imagenet_oneface,25,h01_15.jpg,h04_28.jpg,0.7372208
classify,imagenet_oneface,25,h01_15.jpg,h07_01.jpg,0.7022312
classify,imagenet_oneface,25,h01_15.jpg,h10_01.jpg,0.636346
classify,imagenet_oneface,25,h01_15.jpg,h12_20.jpg,0.81617564
classify,imagenet_oneface,25,h01_15.jpg,h14_07.jpg,0.82551396
classify,imagenet_oneface,25,h01_15.jpg,h15_01.jpg,0.8101647
classify,imagenet_oneface,25,h01_15.jpg,h16_01.jpg,0.7687647
classify,imagenet_oneface,25,h01_15.jpg,h18_14.jpg,0.59385234
classify,imagenet_oneface,25,h01_15.jpg,h21_02.jpg,0.6261313
classify,imagenet_oneface,25,h01_15.jpg,h27_07.jpg,0.66550577
classify,imagenet_oneface,25,h01_15.jpg,h30_11.jpg,0.6538982
classify,imagenet_oneface,25,h01_15.jpg,h31_01.jpg,0.7886465
classify,imagenet_oneface,25,h01_15.jpg,h33_17.jpg,0.6203766
classify,imagenet_oneface,25,h01_15.jpg,h34_02.jpg,0.5769631
classify,imagenet_oneface,25,h02_06.jpg,h03_01.jpg,0.85501325
classify,imagenet_oneface,25,h02_06.jpg,h04_28.jpg,0.78265697
classify,imagenet_oneface,25,h02_06.jpg,h07_01.jpg,0.73955494
classify,imagenet_oneface,25,h02_06.jpg,h10_01.jpg,0.6688097
classify,imagenet_oneface,25,h02_06.jpg,h12_20.jpg,0.76215094
classify,imagenet_oneface,25,h02_06.jpg,h14_07.jpg,0.7362781
classify,imagenet_oneface,25,h02_06.jpg,h15_01.jpg,0.8023885
classify,imagenet_oneface,25,h02_06.jpg,h16_01.jpg,0.7723314
classify,imagenet_oneface,25,h02_06.jpg,h18_14.jpg,0.6291711
classify,imagenet_oneface,25,h02_06.jpg,h21_02.jpg,0.62178165
classify,imagenet_oneface,25,h02_06.jpg,h27_07.jpg,0.6636744
classify,imagenet_oneface,25,h02_06.jpg,h30_11.jpg,0.6437881
classify,imagenet_oneface,25,h02_06.jpg,h31_01.jpg,0.77829003
