model_type,train_type,epoch,im1,im2,similarity
classify,imagenet_oneface,25,h01_15.jpg,h02_06.jpg,0.9006052
classify,imagenet_oneface,25,h01_15.jpg,h03_01.jpg,0.93967515
classify,imagenet_oneface,25,h01_15.jpg,h04_28.jpg,0.8557339
classify,imagenet_oneface,25,h01_15.jpg,h07_01.jpg,0.86769575
classify,imagenet_oneface,25,h01_15.jpg,h10_01.jpg,0.7994678
classify,imagenet_oneface,25,h01_15.jpg,h12_20.jpg,0.88115567
classify,imagenet_oneface,25,h01_15.jpg,h14_07.jpg,0.8667666
classify,imagenet_oneface,25,h01_15.jpg,h15_01.jpg,0.88323003
classify,imagenet_oneface,25,h01_15.jpg,h16_01.jpg,0.8522881
classify,imagenet_oneface,25,h01_15.jpg,h18_14.jpg,0.78206307
classify,imagenet_oneface,25,h01_15.jpg,h21_02.jpg,0.76948655
classify,imagenet_oneface,25,h01_15.jpg,h27_07.jpg,0.8068603
classify,imagenet_oneface,25,h01_15.jpg,h30_11.jpg,0.81610656
classify,imagenet_oneface,25,h01_15.jpg,h31_01.jpg,0.8781031
classify,imagenet_oneface,25,h01_15.jpg,h33_17.jpg,0.7351755
classify,imagenet_oneface,25,h01_15.jpg,h34_02.jpg,0.8099894
classify,imagenet_oneface,25,h02_06.jpg,h03_01.jpg,0.9168453
classify,imagenet_oneface,25,h02_06.jpg,h04_28.jpg,0.8713652
classify,imagenet_oneface,25,h02_06.jpg,h07_01.jpg,0.88902414
classify,imagenet_oneface,25,h02_06.jpg,h10_01.jpg,0.8304671
classify,imagenet_oneface,25,h02_06.jpg,h12_20.jpg,0.8807553
classify,imagenet_oneface,25,h02_06.jpg,h14_07.jpg,0.8583825
classify,imagenet_oneface,25,h02_06.jpg,h15_01.jpg,0.8907842
classify,imagenet_oneface,25,h02_06.jpg,h16_01.jpg,0.8806564
classify,imagenet_oneface,25,h02_06.jpg,h18_14.jpg,0.8325009
classify,imagenet_oneface,25,h02_06.jpg,h21_02.jpg,0.77890325
classify,imagenet_oneface,25,h02_06.jpg,h27_07.jpg,0.84256375
classify,imagenet_oneface,25,h02_06.jpg,h30_11.jpg,0.8238399
classify,imagenet_oneface,25,h02_06.jpg,h31_01.jpg,0.8994556
classify,imagenet_oneface,25,h02_06.jpg,h33_17.jpg,0.7641316
classify,imagenet_oneface,25,h02_06.jpg,h34_02.jpg,0.82174855
classify,imagenet_oneface,25,h03_01.jpg,h04_28.jpg,0.8878905
classify,imagenet_oneface,25,h03_01.jpg,h07_01.jpg,0.89241976
classify,imagenet_oneface,25,h03_01.jpg,h10_01.jpg,0.81069803
classify,imagenet_oneface,25,h03_01.jpg,h12_20.jpg,0.8989559
classify,imagenet_oneface,25,h03_01.jpg,h14_07.jpg,0.8908898
classify,imagenet_oneface,25,h03_01.jpg,h15_01.jpg,0.9032119
classify,imagenet_oneface,25,h03_01.jpg,h16_01.jpg,0.87451416
classify,imagenet_oneface,25,h03_01.jpg,h18_14.jpg,0.79737574
classify,imagenet_oneface,25,h03_01.jpg,h21_02.jpg,0.7978803
classify,imagenet_oneface,25,h03_01.jpg,h27_07.jpg,0.81000435
classify,imagenet_oneface,25,h03_01.jpg,h30_11.jpg,0.8363755
classify,imagenet_oneface,25,h03_01.jpg,h31_01.jpg,0.8978648
classify,imagenet_oneface,25,h03_01.jpg,h33_17.jpg,0.75546587
classify,imagenet_oneface,25,h03_01.jpg,h34_02.jpg,0.8205416
classify,imagenet_oneface,25,h04_28.jpg,h07_01.jpg,0.877668
classify,imagenet_oneface,25,h04_28.jpg,h10_01.jpg,0.80528086
classify,imagenet_oneface,25,h04_28.jpg,h12_20.jpg,0.878394
classify,imagenet_oneface,25,h04_28.jpg,h14_07.jpg,0.86703837
classify,imagenet_oneface,25,h04_28.jpg,h15_01.jpg,0.8731418
classify,imagenet_oneface,25,h04_28.jpg,h16_01.jpg,0.875257
classify,imagenet_oneface,25,h04_28.jpg,h18_14.jpg,0.7869953
classify,imagenet_oneface,25,h04_28.jpg,h21_02.jpg,0.7911373
classify,imagenet_oneface,25,h04_28.jpg,h27_07.jpg,0.78262115
classify,imagenet_oneface,25,h04_28.jpg,h30_11.jpg,0.818033
classify,imagenet_oneface,25,h04_28.jpg,h31_01.jpg,0.84151924
classify,imagenet_oneface,25,h04_28.jpg,h33_17.jpg,0.7695906
classify,imagenet_oneface,25,h04_28.jpg,h34_02.jpg,0.79430795
classify,imagenet_oneface,25,h07_01.jpg,h10_01.jpg,0.87576187
classify,imagenet_oneface,25,h07_01.jpg,h12_20.jpg,0.937779
classify,imagenet_oneface,25,h07_01.jpg,h14_07.jpg,0.88773966
classify,imagenet_oneface,25,h07_01.jpg,h15_01.jpg,0.9179465
classify,imagenet_oneface,25,h07_01.jpg,h16_01.jpg,0.9068663
classify,imagenet_oneface,25,h07_01.jpg,h18_14.jpg,0.86441
classify,imagenet_oneface,25,h07_01.jpg,h21_02.jpg,0.79515254
classify,imagenet_oneface,25,h07_01.jpg,h27_07.jpg,0.82093245
classify,imagenet_oneface,25,h07_01.jpg,h30_11.jpg,0.8202162
classify,imagenet_oneface,25,h07_01.jpg,h31_01.jpg,0.88670045
classify,imagenet_oneface,25,h07_01.jpg,h33_17.jpg,0.83613414
classify,imagenet_oneface,25,h07_01.jpg,h34_02.jpg,0.8838589
classify,imagenet_oneface,25,h10_01.jpg,h12_20.jpg,0.8793811
classify,imagenet_oneface,25,h10_01.jpg,h14_07.jpg,0.8306347
classify,imagenet_oneface,25,h10_01.jpg,h15_01.jpg,0.85896796
classify,imagenet_oneface,25,h10_01.jpg,h16_01.jpg,0.8732197
classify,imagenet_oneface,25,h10_01.jpg,h18_14.jpg,0.91599405
classify,imagenet_oneface,25,h10_01.jpg,h21_02.jpg,0.8352438
classify,imagenet_oneface,25,h10_01.jpg,h27_07.jpg,0.8108321
classify,imagenet_oneface,25,h10_01.jpg,h30_11.jpg,0.82806534
classify,imagenet_oneface,25,h10_01.jpg,h31_01.jpg,0.8602997
classify,imagenet_oneface,25,h10_01.jpg,h33_17.jpg,0.8785471
classify,imagenet_oneface,25,h10_01.jpg,h34_02.jpg,0.8865142
classify,imagenet_oneface,25,h12_20.jpg,h14_07.jpg,0.9148818
classify,imagenet_oneface,25,h12_20.jpg,h15_01.jpg,0.9349429
classify,imagenet_oneface,25,h12_20.jpg,h16_01.jpg,0.93304795
classify,imagenet_oneface,25,h12_20.jpg,h18_14.jpg,0.8688289
classify,imagenet_oneface,25,h12_20.jpg,h21_02.jpg,0.81959325
classify,imagenet_oneface,25,h12_20.jpg,h27_07.jpg,0.85243446
classify,imagenet_oneface,25,h12_20.jpg,h30_11.jpg,0.87127876
classify,imagenet_oneface,25,h12_20.jpg,h31_01.jpg,0.90888447
classify,imagenet_oneface,25,h12_20.jpg,h33_17.jpg,0.8426124
classify,imagenet_oneface,25,h12_20.jpg,h34_02.jpg,0.8623685
classify,imagenet_oneface,25,h14_07.jpg,h15_01.jpg,0.9160687
classify,imagenet_oneface,25,h14_07.jpg,h16_01.jpg,0.91556394
classify,imagenet_oneface,25,h14_07.jpg,h18_14.jpg,0.8203296
classify,imagenet_oneface,25,h14_07.jpg,h21_02.jpg,0.8420153
classify,imagenet_oneface,25,h14_07.jpg,h27_07.jpg,0.8163101
classify,imagenet_oneface,25,h14_07.jpg,h30_11.jpg,0.8906216
classify,imagenet_oneface,25,h14_07.jpg,h31_01.jpg,0.89725804
classify,imagenet_oneface,25,h14_07.jpg,h33_17.jpg,0.8246253
classify,imagenet_oneface,25,h14_07.jpg,h34_02.jpg,0.80842197
classify,imagenet_oneface,25,h15_01.jpg,h16_01.jpg,0.9234945
classify,imagenet_oneface,25,h15_01.jpg,h18_14.jpg,0.84705925
classify,imagenet_oneface,25,h15_01.jpg,h21_02.jpg,0.82400614
classify,imagenet_oneface,25,h15_01.jpg,h27_07.jpg,0.8310944
classify,imagenet_oneface,25,h15_01.jpg,h30_11.jpg,0.8536708
classify,imagenet_oneface,25,h15_01.jpg,h31_01.jpg,0.9000961
classify,imagenet_oneface,25,h15_01.jpg,h33_17.jpg,0.823694
classify,imagenet_oneface,25,h15_01.jpg,h34_02.jpg,0.859472
classify,imagenet_oneface,25,h16_01.jpg,h18_14.jpg,0.8580741
classify,imagenet_oneface,25,h16_01.jpg,h21_02.jpg,0.81435734
classify,imagenet_oneface,25,h16_01.jpg,h27_07.jpg,0.83510983
classify,imagenet_oneface,25,h16_01.jpg,h30_11.jpg,0.8850306
classify,imagenet_oneface,25,h16_01.jpg,h31_01.jpg,0.90816456
classify,imagenet_oneface,25,h16_01.jpg,h33_17.jpg,0.85392696
classify,imagenet_oneface,25,h16_01.jpg,h34_02.jpg,0.8580501
classify,imagenet_oneface,25,h18_14.jpg,h21_02.jpg,0.8032426
classify,imagenet_oneface,25,h18_14.jpg,h27_07.jpg,0.8609823
classify,imagenet_oneface,25,h18_14.jpg,h30_11.jpg,0.8209681
classify,imagenet_oneface,25,h18_14.jpg,h31_01.jpg,0.853879
classify,imagenet_oneface,25,h18_14.jpg,h33_17.jpg,0.88569045
classify,imagenet_oneface,25,h18_14.jpg,h34_02.jpg,0.8584308
classify,imagenet_oneface,25,h21_02.jpg,h27_07.jpg,0.7676462
classify,imagenet_oneface,25,h21_02.jpg,h30_11.jpg,0.86197543
classify,imagenet_oneface,25,h21_02.jpg,h31_01.jpg,0.8392114
