model_type,train_type,epoch,im1,im2,similarity
classify,mixed_imagenet_vggface,1,h01_15.jpg,h02_06.jpg,0.92894965
classify,mixed_imagenet_vggface,1,h01_15.jpg,h03_01.jpg,0.92818576
classify,mixed_imagenet_vggface,1,h01_15.jpg,h04_28.jpg,0.88968754
classify,mixed_imagenet_vggface,1,h01_15.jpg,h07_01.jpg,0.8864168
classify,mixed_imagenet_vggface,1,h01_15.jpg,h10_01.jpg,0.80766493
classify,mixed_imagenet_vggface,1,h01_15.jpg,h12_20.jpg,0.89894426
classify,mixed_imagenet_vggface,1,h01_15.jpg,h14_07.jpg,0.88811034
classify,mixed_imagenet_vggface,1,h01_15.jpg,h15_01.jpg,0.9075678
classify,mixed_imagenet_vggface,1,h01_15.jpg,h16_01.jpg,0.85670954
classify,mixed_imagenet_vggface,1,h01_15.jpg,h18_14.jpg,0.76846224
classify,mixed_imagenet_vggface,1,h01_15.jpg,h21_02.jpg,0.8359794
classify,mixed_imagenet_vggface,1,h01_15.jpg,h27_07.jpg,0.84106326
classify,mixed_imagenet_vggface,1,h01_15.jpg,h30_11.jpg,0.8135675
classify,mixed_imagenet_vggface,1,h01_15.jpg,h31_01.jpg,0.8152264
classify,mixed_imagenet_vggface,1,h01_15.jpg,h33_17.jpg,0.77395654
classify,mixed_imagenet_vggface,1,h01_15.jpg,h34_02.jpg,0.8411051
classify,mixed_imagenet_vggface,1,h02_06.jpg,h03_01.jpg,0.93527144
classify,mixed_imagenet_vggface,1,h02_06.jpg,h04_28.jpg,0.9291758
classify,mixed_imagenet_vggface,1,h02_06.jpg,h07_01.jpg,0.9140235
classify,mixed_imagenet_vggface,1,h02_06.jpg,h10_01.jpg,0.85684186
classify,mixed_imagenet_vggface,1,h02_06.jpg,h12_20.jpg,0.9209773
classify,mixed_imagenet_vggface,1,h02_06.jpg,h14_07.jpg,0.8487668
classify,mixed_imagenet_vggface,1,h02_06.jpg,h15_01.jpg,0.93838143
classify,mixed_imagenet_vggface,1,h02_06.jpg,h16_01.jpg,0.9020433
classify,mixed_imagenet_vggface,1,h02_06.jpg,h18_14.jpg,0.8319467
classify,mixed_imagenet_vggface,1,h02_06.jpg,h21_02.jpg,0.87047577
classify,mixed_imagenet_vggface,1,h02_06.jpg,h27_07.jpg,0.8953612
classify,mixed_imagenet_vggface,1,h02_06.jpg,h30_11.jpg,0.8390185
classify,mixed_imagenet_vggface,1,h02_06.jpg,h31_01.jpg,0.8363385
classify,mixed_imagenet_vggface,1,h02_06.jpg,h33_17.jpg,0.80538493
classify,mixed_imagenet_vggface,1,h02_06.jpg,h34_02.jpg,0.8834359
classify,mixed_imagenet_vggface,1,h03_01.jpg,h04_28.jpg,0.9063064
classify,mixed_imagenet_vggface,1,h03_01.jpg,h07_01.jpg,0.9156991
classify,mixed_imagenet_vggface,1,h03_01.jpg,h10_01.jpg,0.84167963
classify,mixed_imagenet_vggface,1,h03_01.jpg,h12_20.jpg,0.9231438
classify,mixed_imagenet_vggface,1,h03_01.jpg,h14_07.jpg,0.8908068
classify,mixed_imagenet_vggface,1,h03_01.jpg,h15_01.jpg,0.94456404
classify,mixed_imagenet_vggface,1,h03_01.jpg,h16_01.jpg,0.8739291
classify,mixed_imagenet_vggface,1,h03_01.jpg,h18_14.jpg,0.834215
classify,mixed_imagenet_vggface,1,h03_01.jpg,h21_02.jpg,0.8826452
classify,mixed_imagenet_vggface,1,h03_01.jpg,h27_07.jpg,0.8684509
classify,mixed_imagenet_vggface,1,h03_01.jpg,h30_11.jpg,0.8284794
classify,mixed_imagenet_vggface,1,h03_01.jpg,h31_01.jpg,0.7636109
classify,mixed_imagenet_vggface,1,h03_01.jpg,h33_17.jpg,0.8195735
classify,mixed_imagenet_vggface,1,h03_01.jpg,h34_02.jpg,0.84934133
classify,mixed_imagenet_vggface,1,h04_28.jpg,h07_01.jpg,0.9193345
classify,mixed_imagenet_vggface,1,h04_28.jpg,h10_01.jpg,0.85788023
classify,mixed_imagenet_vggface,1,h04_28.jpg,h12_20.jpg,0.9288413
classify,mixed_imagenet_vggface,1,h04_28.jpg,h14_07.jpg,0.85028553
