model_type,train_type,epoch,im1,im2,similarity
classify,mixed_imagenet_vggface,25,r01_15.jpg,r02_06.jpg,0.83309996
classify,mixed_imagenet_vggface,25,r01_15.jpg,r03_01.jpg,0.7453076
classify,mixed_imagenet_vggface,25,r01_15.jpg,r04_28.jpg,0.812603
classify,mixed_imagenet_vggface,25,r01_15.jpg,r07_01.jpg,0.7206005
classify,mixed_imagenet_vggface,25,r01_15.jpg,r10_01.jpg,0.61688
classify,mixed_imagenet_vggface,25,r01_15.jpg,r12_20.jpg,0.7718473
classify,mixed_imagenet_vggface,25,r01_15.jpg,r14_07.jpg,0.69953
classify,mixed_imagenet_vggface,25,r01_15.jpg,r15_01.jpg,0.7536499
classify,mixed_imagenet_vggface,25,r01_15.jpg,r16_01.jpg,0.6729197
classify,mixed_imagenet_vggface,25,r01_15.jpg,r18_14.jpg,0.7092865
classify,mixed_imagenet_vggface,25,r01_15.jpg,r21_02.jpg,0.61099267
classify,mixed_imagenet_vggface,25,r01_15.jpg,r27_07.jpg,0.72728467
classify,mixed_imagenet_vggface,25,r01_15.jpg,r30_11.jpg,0.75548244
classify,mixed_imagenet_vggface,25,r01_15.jpg,r31_01.jpg,0.697918
classify,mixed_imagenet_vggface,25,r01_15.jpg,r33_17.jpg,0.72069514
classify,mixed_imagenet_vggface,25,r01_15.jpg,r34_02.jpg,0.7834827
classify,mixed_imagenet_vggface,25,r02_06.jpg,r03_01.jpg,0.81669945
classify,mixed_imagenet_vggface,25,r02_06.jpg,r04_28.jpg,0.8543846
classify,mixed_imagenet_vggface,25,r02_06.jpg,r07_01.jpg,0.67242014
classify,mixed_imagenet_vggface,25,r02_06.jpg,r10_01.jpg,0.50427437
classify,mixed_imagenet_vggface,25,r02_06.jpg,r12_20.jpg,0.7675557
classify,mixed_imagenet_vggface,25,r02_06.jpg,r14_07.jpg,0.8245241
classify,mixed_imagenet_vggface,25,r02_06.jpg,r15_01.jpg,0.7834131
classify,mixed_imagenet_vggface,25,r02_06.jpg,r16_01.jpg,0.7851233
classify,mixed_imagenet_vggface,25,r02_06.jpg,r18_14.jpg,0.6665191
classify,mixed_imagenet_vggface,25,r02_06.jpg,r21_02.jpg,0.5162601
classify,mixed_imagenet_vggface,25,r02_06.jpg,r27_07.jpg,0.7019568
classify,mixed_imagenet_vggface,25,r02_06.jpg,r30_11.jpg,0.72216153
classify,mixed_imagenet_vggface,25,r02_06.jpg,r31_01.jpg,0.7923167
classify,mixed_imagenet_vggface,25,r02_06.jpg,r33_17.jpg,0.7487257
classify,mixed_imagenet_vggface,25,r02_06.jpg,r34_02.jpg,0.8138749
classify,mixed_imagenet_vggface,25,r03_01.jpg,r04_28.jpg,0.77792007
classify,mixed_imagenet_vggface,25,r03_01.jpg,r07_01.jpg,0.6473753
classify,mixed_imagenet_vggface,25,r03_01.jpg,r10_01.jpg,0.50110114
classify,mixed_imagenet_vggface,25,r03_01.jpg,r12_20.jpg,0.84821314
classify,mixed_imagenet_vggface,25,r03_01.jpg,r14_07.jpg,0.82553196
classify,mixed_imagenet_vggface,25,r03_01.jpg,r15_01.jpg,0.7986415
classify,mixed_imagenet_vggface,25,r03_01.jpg,r16_01.jpg,0.84187716
classify,mixed_imagenet_vggface,25,r03_01.jpg,r18_14.jpg,0.7376223
classify,mixed_imagenet_vggface,25,r03_01.jpg,r21_02.jpg,0.5336414
classify,mixed_imagenet_vggface,25,r03_01.jpg,r27_07.jpg,0.69750756
classify,mixed_imagenet_vggface,25,r03_01.jpg,r30_11.jpg,0.7828372
classify,mixed_imagenet_vggface,25,r03_01.jpg,r31_01.jpg,0.8116619
classify,mixed_imagenet_vggface,25,r03_01.jpg,r33_17.jpg,0.7581226
classify,mixed_imagenet_vggface,25,r03_01.jpg,r34_02.jpg,0.792043
classify,mixed_imagenet_vggface,25,r04_28.jpg,r07_01.jpg,0.74830484
classify,mixed_imagenet_vggface,25,r04_28.jpg,r10_01.jpg,0.62195665
classify,mixed_imagenet_vggface,25,r04_28.jpg,r12_20.jpg,0.7182646
classify,mixed_imagenet_vggface,25,r04_28.jpg,r14_07.jpg,0.69661933
classify,mixed_imagenet_vggface,25,r04_28.jpg,r15_01.jpg,0.7766811
classify,mixed_imagenet_vggface,25,r04_28.jpg,r16_01.jpg,0.68187964
classify,mixed_imagenet_vggface,25,r04_28.jpg,r18_14.jpg,0.6774311
classify,mixed_imagenet_vggface,25,r04_28.jpg,r21_02.jpg,0.5893612
classify,mixed_imagenet_vggface,25,r04_28.jpg,r27_07.jpg,0.7125993
classify,mixed_imagenet_vggface,25,r04_28.jpg,r30_11.jpg,0.7343162
classify,mixed_imagenet_vggface,25,r04_28.jpg,r31_01.jpg,0.6739954
classify,mixed_imagenet_vggface,25,r04_28.jpg,r33_17.jpg,0.7093326
classify,mixed_imagenet_vggface,25,r04_28.jpg,r34_02.jpg,0.7662341
classify,mixed_imagenet_vggface,25,r07_01.jpg,r10_01.jpg,0.9070838
classify,mixed_imagenet_vggface,25,r07_01.jpg,r12_20.jpg,0.7194344
classify,mixed_imagenet_vggface,25,r07_01.jpg,r14_07.jpg,0.599785
classify,mixed_imagenet_vggface,25,r07_01.jpg,r15_01.jpg,0.8681335
classify,mixed_imagenet_vggface,25,r07_01.jpg,r16_01.jpg,0.62011594
classify,mixed_imagenet_vggface,25,r07_01.jpg,r18_14.jpg,0.88965017
classify,mixed_imagenet_vggface,25,r07_01.jpg,r21_02.jpg,0.88472223
classify,mixed_imagenet_vggface,25,r07_01.jpg,r27_07.jpg,0.85084176
classify,mixed_imagenet_vggface,25,r07_01.jpg,r30_11.jpg,0.7941136
classify,mixed_imagenet_vggface,25,r07_01.jpg,r31_01.jpg,0.60969037
classify,mixed_imagenet_vggface,25,r07_01.jpg,r33_17.jpg,0.776591
classify,mixed_imagenet_vggface,25,r07_01.jpg,r34_02.jpg,0.7398391
classify,mixed_imagenet_vggface,25,r10_01.jpg,r12_20.jpg,0.5692009
classify,mixed_imagenet_vggface,25,r10_01.jpg,r14_07.jpg,0.45280597
classify,mixed_imagenet_vggface,25,r10_01.jpg,r15_01.jpg,0.76429814
classify,mixed_imagenet_vggface,25,r10_01.jpg,r16_01.jpg,0.44342694
classify,mixed_imagenet_vggface,25,r10_01.jpg,r18_14.jpg,0.7982604
classify,mixed_imagenet_vggface,25,r10_01.jpg,r21_02.jpg,0.91441345
classify,mixed_imagenet_vggface,25,r10_01.jpg,r27_07.jpg,0.7347446
