model_type,train_type,epoch,im1,im2,similarity
classify,vggface,0,h01_15.jpg,h02_06.jpg,0.9909563
classify,vggface,0,h01_15.jpg,h03_01.jpg,0.994711
classify,vggface,0,h01_15.jpg,h04_28.jpg,0.98654234
classify,vggface,0,h01_15.jpg,h07_01.jpg,0.99034095
classify,vggface,0,h01_15.jpg,h10_01.jpg,0.9801092
classify,vggface,0,h01_15.jpg,h12_20.jpg,0.9918345
classify,vggface,0,h01_15.jpg,h14_07.jpg,0.9883193
classify,vggface,0,h01_15.jpg,h15_01.jpg,0.9851494
classify,vggface,0,h01_15.jpg,h16_01.jpg,0.982354
classify,vggface,0,h01_15.jpg,h18_14.jpg,0.9817002
classify,vggface,0,h01_15.jpg,h21_02.jpg,0.98029244
classify,vggface,0,h01_15.jpg,h27_07.jpg,0.9827454
classify,vggface,0,h01_15.jpg,h30_11.jpg,0.9815015
classify,vggface,0,h01_15.jpg,h31_01.jpg,0.99108917
classify,vggface,0,h01_15.jpg,h33_17.jpg,0.9794093
classify,vggface,0,h01_15.jpg,h34_02.jpg,0.98190224
classify,vggface,0,h02_06.jpg,h03_01.jpg,0.99075985
classify,vggface,0,h02_06.jpg,h04_28.jpg,0.98882794
classify,vggface,0,h02_06.jpg,h07_01.jpg,0.98920923
classify,vggface,0,h02_06.jpg,h10_01.jpg,0.983488
classify,vggface,0,h02_06.jpg,h12_20.jpg,0.9901516
classify,vggface,0,h02_06.jpg,h14_07.jpg,0.9891959
classify,vggface,0,h02_06.jpg,h15_01.jpg,0.99027365
classify,vggface,0,h02_06.jpg,h16_01.jpg,0.9892609
classify,vggface,0,h02_06.jpg,h18_14.jpg,0.98136324
classify,vggface,0,h02_06.jpg,h21_02.jpg,0.9826263
classify,vggface,0,h02_06.jpg,h27_07.jpg,0.9843838
classify,vggface,0,h02_06.jpg,h30_11.jpg,0.9851654
classify,vggface,0,h02_06.jpg,h31_01.jpg,0.9904296
classify,vggface,0,h02_06.jpg,h33_17.jpg,0.9806626
classify,vggface,0,h02_06.jpg,h34_02.jpg,0.98173356
classify,vggface,0,h03_01.jpg,h04_28.jpg,0.98864126
classify,vggface,0,h03_01.jpg,h07_01.jpg,0.99118596
classify,vggface,0,h03_01.jpg,h10_01.jpg,0.97816724
classify,vggface,0,h03_01.jpg,h12_20.jpg,0.9925999
classify,vggface,0,h03_01.jpg,h14_07.jpg,0.9858464
classify,vggface,0,h03_01.jpg,h15_01.jpg,0.98378384
