model_type,train_type,epoch,im1,im2,similarity
classify,vggface,15,h01_15.jpg,h02_06.jpg,0.7515863
classify,vggface,15,h01_15.jpg,h03_01.jpg,0.75802815
classify,vggface,15,h01_15.jpg,h04_28.jpg,0.71591884
classify,vggface,15,h01_15.jpg,h07_01.jpg,0.751952
classify,vggface,15,h01_15.jpg,h10_01.jpg,0.4774027
classify,vggface,15,h01_15.jpg,h12_20.jpg,0.7289985
classify,vggface,15,h01_15.jpg,h14_07.jpg,0.6457407
classify,vggface,15,h01_15.jpg,h15_01.jpg,0.6107339
classify,vggface,15,h01_15.jpg,h16_01.jpg,0.6500746
classify,vggface,15,h01_15.jpg,h18_14.jpg,0.49322367
classify,vggface,15,h01_15.jpg,h21_02.jpg,0.53982705
classify,vggface,15,h01_15.jpg,h27_07.jpg,0.65424865
classify,vggface,15,h01_15.jpg,h30_11.jpg,0.65149903
classify,vggface,15,h01_15.jpg,h31_01.jpg,0.6822505
classify,vggface,15,h01_15.jpg,h33_17.jpg,0.5056829
classify,vggface,15,h01_15.jpg,h34_02.jpg,0.5209573
classify,vggface,15,h02_06.jpg,h03_01.jpg,0.73493475
classify,vggface,15,h02_06.jpg,h04_28.jpg,0.694374
classify,vggface,15,h02_06.jpg,h07_01.jpg,0.80067474
classify,vggface,15,h02_06.jpg,h10_01.jpg,0.6501524
classify,vggface,15,h02_06.jpg,h12_20.jpg,0.7375103
classify,vggface,15,h02_06.jpg,h14_07.jpg,0.6153831
classify,vggface,15,h02_06.jpg,h15_01.jpg,0.6825873
classify,vggface,15,h02_06.jpg,h16_01.jpg,0.63312525
classify,vggface,15,h02_06.jpg,h18_14.jpg,0.55587983
classify,vggface,15,h02_06.jpg,h21_02.jpg,0.64028895
classify,vggface,15,h02_06.jpg,h27_07.jpg,0.74612695
classify,vggface,15,h02_06.jpg,h30_11.jpg,0.7131779
classify,vggface,15,h02_06.jpg,h31_01.jpg,0.71639246
classify,vggface,15,h02_06.jpg,h33_17.jpg,0.50917965
classify,vggface,15,h02_06.jpg,h34_02.jpg,0.60058963
classify,vggface,15,h03_01.jpg,h04_28.jpg,0.8380202
classify,vggface,15,h03_01.jpg,h07_01.jpg,0.79743505
classify,vggface,15,h03_01.jpg,h10_01.jpg,0.55854416
classify,vggface,15,h03_01.jpg,h12_20.jpg,0.8024817
classify,vggface,15,h03_01.jpg,h14_07.jpg,0.8000004
