model_type,train_type,epoch,im1,im2,similarity
classify,vggface,15,h01_15.jpg,h02_06.jpg,0.8043607
classify,vggface,15,h01_15.jpg,h03_01.jpg,0.84111816
classify,vggface,15,h01_15.jpg,h04_28.jpg,0.81662005
classify,vggface,15,h01_15.jpg,h07_01.jpg,0.82514584
classify,vggface,15,h01_15.jpg,h10_01.jpg,0.55152416
classify,vggface,15,h01_15.jpg,h12_20.jpg,0.8210467
classify,vggface,15,h01_15.jpg,h14_07.jpg,0.75567657
classify,vggface,15,h01_15.jpg,h15_01.jpg,0.70613664
classify,vggface,15,h01_15.jpg,h16_01.jpg,0.7334766
classify,vggface,15,h01_15.jpg,h18_14.jpg,0.5979505
classify,vggface,15,h01_15.jpg,h21_02.jpg,0.65064985
classify,vggface,15,h01_15.jpg,h27_07.jpg,0.73989135
classify,vggface,15,h01_15.jpg,h30_11.jpg,0.73347014
classify,vggface,15,h01_15.jpg,h31_01.jpg,0.7720538
classify,vggface,15,h01_15.jpg,h33_17.jpg,0.66119605
classify,vggface,15,h01_15.jpg,h34_02.jpg,0.6131486
classify,vggface,15,h02_06.jpg,h03_01.jpg,0.79611653
classify,vggface,15,h02_06.jpg,h04_28.jpg,0.76594913
classify,vggface,15,h02_06.jpg,h07_01.jpg,0.8522864
classify,vggface,15,h02_06.jpg,h10_01.jpg,0.69572884
classify,vggface,15,h02_06.jpg,h12_20.jpg,0.805701
classify,vggface,15,h02_06.jpg,h14_07.jpg,0.7073103
classify,vggface,15,h02_06.jpg,h15_01.jpg,0.7464759
classify,vggface,15,h02_06.jpg,h16_01.jpg,0.69648004
classify,vggface,15,h02_06.jpg,h18_14.jpg,0.63030267
classify,vggface,15,h02_06.jpg,h21_02.jpg,0.73378533
classify,vggface,15,h02_06.jpg,h27_07.jpg,0.80274415
classify,vggface,15,h02_06.jpg,h30_11.jpg,0.7735893
classify,vggface,15,h02_06.jpg,h31_01.jpg,0.7809861
classify,vggface,15,h02_06.jpg,h33_17.jpg,0.6398943
classify,vggface,15,h02_06.jpg,h34_02.jpg,0.6659649
classify,vggface,15,h03_01.jpg,h04_28.jpg,0.8974482
classify,vggface,15,h03_01.jpg,h07_01.jpg,0.8586263
classify,vggface,15,h03_01.jpg,h10_01.jpg,0.6296764
classify,vggface,15,h03_01.jpg,h12_20.jpg,0.8694435
classify,vggface,15,h03_01.jpg,h14_07.jpg,0.8714905
classify,vggface,15,h03_01.jpg,h15_01.jpg,0.8242224
classify,vggface,15,h03_01.jpg,h16_01.jpg,0.7144418
