model_type,train_type,epoch,im1,im2,similarity
classify,vggface,20,h01_15.jpg,h02_06.jpg,0.87653273
classify,vggface,20,h01_15.jpg,h03_01.jpg,0.946612
classify,vggface,20,h01_15.jpg,h04_28.jpg,0.81871265
classify,vggface,20,h01_15.jpg,h07_01.jpg,0.79499334
classify,vggface,20,h01_15.jpg,h10_01.jpg,0.7221536
classify,vggface,20,h01_15.jpg,h12_20.jpg,0.86946887
classify,vggface,20,h01_15.jpg,h14_07.jpg,0.87513214
classify,vggface,20,h01_15.jpg,h15_01.jpg,0.8676347
classify,vggface,20,h01_15.jpg,h16_01.jpg,0.83368766
classify,vggface,20,h01_15.jpg,h18_14.jpg,0.6878342
classify,vggface,20,h01_15.jpg,h21_02.jpg,0.713412
classify,vggface,20,h01_15.jpg,h27_07.jpg,0.74157923
classify,vggface,20,h01_15.jpg,h30_11.jpg,0.7396692
classify,vggface,20,h01_15.jpg,h31_01.jpg,0.84857136
classify,vggface,20,h01_15.jpg,h33_17.jpg,0.70902914
classify,vggface,20,h01_15.jpg,h34_02.jpg,0.6737842
classify,vggface,20,h02_06.jpg,h03_01.jpg,0.90461874
classify,vggface,20,h02_06.jpg,h04_28.jpg,0.8464697
classify,vggface,20,h02_06.jpg,h07_01.jpg,0.809662
classify,vggface,20,h02_06.jpg,h10_01.jpg,0.751599
classify,vggface,20,h02_06.jpg,h12_20.jpg,0.82642174
classify,vggface,20,h02_06.jpg,h14_07.jpg,0.8135363
classify,vggface,20,h02_06.jpg,h15_01.jpg,0.8573228
classify,vggface,20,h02_06.jpg,h16_01.jpg,0.83949906
classify,vggface,20,h02_06.jpg,h18_14.jpg,0.71992534
classify,vggface,20,h02_06.jpg,h21_02.jpg,0.7107555
classify,vggface,20,h02_06.jpg,h27_07.jpg,0.7424412
classify,vggface,20,h02_06.jpg,h30_11.jpg,0.73517096
classify,vggface,20,h02_06.jpg,h31_01.jpg,0.8421074
classify,vggface,20,h02_06.jpg,h33_17.jpg,0.7177556
classify,vggface,20,h02_06.jpg,h34_02.jpg,0.6758478
classify,vggface,20,h03_01.jpg,h04_28.jpg,0.84718806
classify,vggface,20,h03_01.jpg,h07_01.jpg,0.8117795
classify,vggface,20,h03_01.jpg,h10_01.jpg,0.71419615
classify,vggface,20,h03_01.jpg,h12_20.jpg,0.87875676
classify,vggface,20,h03_01.jpg,h14_07.jpg,0.86782885
classify,vggface,20,h03_01.jpg,h15_01.jpg,0.88394207
classify,vggface,20,h03_01.jpg,h16_01.jpg,0.84804636
classify,vggface,20,h03_01.jpg,h18_14.jpg,0.6811403
classify,vggface,20,h03_01.jpg,h21_02.jpg,0.70316386
classify,vggface,20,h03_01.jpg,h27_07.jpg,0.72722787
