model_type,train_type,epoch,im1,im2,similarity
classify,vggface,30,r01_15.jpg,r02_06.jpg,0.7578717
classify,vggface,30,r01_15.jpg,r03_01.jpg,0.7932345
classify,vggface,30,r01_15.jpg,r04_28.jpg,0.7524277
classify,vggface,30,r01_15.jpg,r07_01.jpg,0.75024045
classify,vggface,30,r01_15.jpg,r10_01.jpg,0.72175926
classify,vggface,30,r01_15.jpg,r12_20.jpg,0.76296455
classify,vggface,30,r01_15.jpg,r14_07.jpg,0.71764916
classify,vggface,30,r01_15.jpg,r15_01.jpg,0.7825946
classify,vggface,30,r01_15.jpg,r16_01.jpg,0.76143026
classify,vggface,30,r01_15.jpg,r18_14.jpg,0.7975458
classify,vggface,30,r01_15.jpg,r21_02.jpg,0.7137251
classify,vggface,30,r01_15.jpg,r27_07.jpg,0.77162045
classify,vggface,30,r01_15.jpg,r30_11.jpg,0.81300163
classify,vggface,30,r01_15.jpg,r31_01.jpg,0.78208816
classify,vggface,30,r01_15.jpg,r33_17.jpg,0.7323633
classify,vggface,30,r01_15.jpg,r34_02.jpg,0.79781
classify,vggface,30,r02_06.jpg,r03_01.jpg,0.845206
classify,vggface,30,r02_06.jpg,r04_28.jpg,0.7326006
classify,vggface,30,r02_06.jpg,r07_01.jpg,0.75345933
classify,vggface,30,r02_06.jpg,r10_01.jpg,0.70128876
classify,vggface,30,r02_06.jpg,r12_20.jpg,0.8575377
classify,vggface,30,r02_06.jpg,r14_07.jpg,0.8027714
classify,vggface,30,r02_06.jpg,r15_01.jpg,0.8192019
classify,vggface,30,r02_06.jpg,r16_01.jpg,0.837093
classify,vggface,30,r02_06.jpg,r18_14.jpg,0.77888477
classify,vggface,30,r02_06.jpg,r21_02.jpg,0.6722296
classify,vggface,30,r02_06.jpg,r27_07.jpg,0.8184781
classify,vggface,30,r02_06.jpg,r30_11.jpg,0.78456646
classify,vggface,30,r02_06.jpg,r31_01.jpg,0.79115444
classify,vggface,30,r02_06.jpg,r33_17.jpg,0.72216636
classify,vggface,30,r02_06.jpg,r34_02.jpg,0.7984682
classify,vggface,30,r03_01.jpg,r04_28.jpg,0.75683564
classify,vggface,30,r03_01.jpg,r07_01.jpg,0.7725994
classify,vggface,30,r03_01.jpg,r10_01.jpg,0.7541928
classify,vggface,30,r03_01.jpg,r12_20.jpg,0.87905085
