model_type,train_type,epoch,im1,im2,similarity
classify,vggface,30,r01_15.jpg,r02_06.jpg,0.7708334
classify,vggface,30,r01_15.jpg,r03_01.jpg,0.6796269
classify,vggface,30,r01_15.jpg,r04_28.jpg,0.7755215
classify,vggface,30,r01_15.jpg,r07_01.jpg,0.60456383
classify,vggface,30,r01_15.jpg,r10_01.jpg,0.52519464
classify,vggface,30,r01_15.jpg,r12_20.jpg,0.7240303
classify,vggface,30,r01_15.jpg,r14_07.jpg,0.68357044
classify,vggface,30,r01_15.jpg,r15_01.jpg,0.6372262
classify,vggface,30,r01_15.jpg,r16_01.jpg,0.7055805
classify,vggface,30,r01_15.jpg,r18_14.jpg,0.6334709
classify,vggface,30,r01_15.jpg,r21_02.jpg,0.57634
classify,vggface,30,r01_15.jpg,r27_07.jpg,0.5968537
classify,vggface,30,r01_15.jpg,r30_11.jpg,0.6798471
classify,vggface,30,r01_15.jpg,r31_01.jpg,0.65525025
classify,vggface,30,r01_15.jpg,r33_17.jpg,0.54755706
classify,vggface,30,r01_15.jpg,r34_02.jpg,0.8930619
classify,vggface,30,r02_06.jpg,r03_01.jpg,0.42732042
classify,vggface,30,r02_06.jpg,r04_28.jpg,0.5402688
classify,vggface,30,r02_06.jpg,r07_01.jpg,0.30315247
classify,vggface,30,r02_06.jpg,r10_01.jpg,0.4136769
classify,vggface,30,r02_06.jpg,r12_20.jpg,0.41507748
classify,vggface,30,r02_06.jpg,r14_07.jpg,0.49929628
classify,vggface,30,r02_06.jpg,r15_01.jpg,0.36461362
classify,vggface,30,r02_06.jpg,r16_01.jpg,0.5971582
classify,vggface,30,r02_06.jpg,r18_14.jpg,0.4221999
classify,vggface,30,r02_06.jpg,r21_02.jpg,0.27561134
classify,vggface,30,r02_06.jpg,r27_07.jpg,0.5089287
classify,vggface,30,r02_06.jpg,r30_11.jpg,0.42145497
classify,vggface,30,r02_06.jpg,r31_01.jpg,0.42947337
classify,vggface,30,r02_06.jpg,r33_17.jpg,0.2728696
classify,vggface,30,r02_06.jpg,r34_02.jpg,0.7226587
classify,vggface,30,r03_01.jpg,r04_28.jpg,0.8666992
classify,vggface,30,r03_01.jpg,r07_01.jpg,0.70342207
classify,vggface,30,r03_01.jpg,r10_01.jpg,0.5525114
classify,vggface,30,r03_01.jpg,r12_20.jpg,0.9207108
classify,vggface,30,r03_01.jpg,r14_07.jpg,0.9401369
classify,vggface,30,r03_01.jpg,r15_01.jpg,0.8093612
classify,vggface,30,r03_01.jpg,r16_01.jpg,0.802922
classify,vggface,30,r03_01.jpg,r18_14.jpg,0.79870015
classify,vggface,30,r03_01.jpg,r21_02.jpg,0.75263435
classify,vggface,30,r03_01.jpg,r27_07.jpg,0.78915405
classify,vggface,30,r03_01.jpg,r30_11.jpg,0.8615241
classify,vggface,30,r03_01.jpg,r31_01.jpg,0.8754386
classify,vggface,30,r03_01.jpg,r33_17.jpg,0.80338997
classify,vggface,30,r03_01.jpg,r34_02.jpg,0.69375163
classify,vggface,30,r04_28.jpg,r07_01.jpg,0.7335761
classify,vggface,30,r04_28.jpg,r10_01.jpg,0.5845462
classify,vggface,30,r04_28.jpg,r12_20.jpg,0.8371889
classify,vggface,30,r04_28.jpg,r14_07.jpg,0.87739074
classify,vggface,30,r04_28.jpg,r15_01.jpg,0.8280877
classify,vggface,30,r04_28.jpg,r16_01.jpg,0.8024512
classify,vggface,30,r04_28.jpg,r18_14.jpg,0.83030486
classify,vggface,30,r04_28.jpg,r21_02.jpg,0.784491
classify,vggface,30,r04_28.jpg,r27_07.jpg,0.82673466
classify,vggface,30,r04_28.jpg,r30_11.jpg,0.8845327
classify,vggface,30,r04_28.jpg,r31_01.jpg,0.8964268
classify,vggface,30,r04_28.jpg,r33_17.jpg,0.7852863
classify,vggface,30,r04_28.jpg,r34_02.jpg,0.77665025
classify,vggface,30,r07_01.jpg,r10_01.jpg,0.8386054
classify,vggface,30,r07_01.jpg,r12_20.jpg,0.74257654
classify,vggface,30,r07_01.jpg,r14_07.jpg,0.6770394
classify,vggface,30,r07_01.jpg,r15_01.jpg,0.92205787
classify,vggface,30,r07_01.jpg,r16_01.jpg,0.6949188
classify,vggface,30,r07_01.jpg,r18_14.jpg,0.87767166
classify,vggface,30,r07_01.jpg,r21_02.jpg,0.9078151
classify,vggface,30,r07_01.jpg,r27_07.jpg,0.67810065
classify,vggface,30,r07_01.jpg,r30_11.jpg,0.7927817
classify,vggface,30,r07_01.jpg,r31_01.jpg,0.7245191
classify,vggface,30,r07_01.jpg,r33_17.jpg,0.917231
classify,vggface,30,r07_01.jpg,r34_02.jpg,0.6913439
classify,vggface,30,r10_01.jpg,r12_20.jpg,0.5588976
classify,vggface,30,r10_01.jpg,r14_07.jpg,0.5585641
classify,vggface,30,r10_01.jpg,r15_01.jpg,0.76805496
classify,vggface,30,r10_01.jpg,r16_01.jpg,0.5495603
classify,vggface,30,r10_01.jpg,r18_14.jpg,0.70243996
classify,vggface,30,r10_01.jpg,r21_02.jpg,0.76710457
classify,vggface,30,r10_01.jpg,r27_07.jpg,0.5876132
classify,vggface,30,r10_01.jpg,r30_11.jpg,0.60743225
classify,vggface,30,r10_01.jpg,r31_01.jpg,0.5155895
classify,vggface,30,r10_01.jpg,r33_17.jpg,0.7433831
classify,vggface,30,r10_01.jpg,r34_02.jpg,0.5640751
classify,vggface,30,r12_20.jpg,r14_07.jpg,0.9068407
classify,vggface,30,r12_20.jpg,r15_01.jpg,0.8063679
classify,vggface,30,r12_20.jpg,r16_01.jpg,0.73470503
classify,vggface,30,r12_20.jpg,r18_14.jpg,0.7533638
classify,vggface,30,r12_20.jpg,r21_02.jpg,0.7759045
classify,vggface,30,r12_20.jpg,r27_07.jpg,0.7102189
classify,vggface,30,r12_20.jpg,r30_11.jpg,0.83434904
classify,vggface,30,r12_20.jpg,r31_01.jpg,0.8454555
classify,vggface,30,r12_20.jpg,r33_17.jpg,0.8083811
classify,vggface,30,r12_20.jpg,r34_02.jpg,0.7334174
classify,vggface,30,r14_07.jpg,r15_01.jpg,0.80039954
classify,vggface,30,r14_07.jpg,r16_01.jpg,0.81510633
classify,vggface,30,r14_07.jpg,r18_14.jpg,0.77114093
classify,vggface,30,r14_07.jpg,r21_02.jpg,0.740993
classify,vggface,30,r14_07.jpg,r27_07.jpg,0.8106827
classify,vggface,30,r14_07.jpg,r30_11.jpg,0.8554944
classify,vggface,30,r14_07.jpg,r31_01.jpg,0.88420516
classify,vggface,30,r14_07.jpg,r33_17.jpg,0.77653605
classify,vggface,30,r14_07.jpg,r34_02.jpg,0.69991744
classify,vggface,30,r15_01.jpg,r16_01.jpg,0.7465204
classify,vggface,30,r15_01.jpg,r18_14.jpg,0.89542687
classify,vggface,30,r15_01.jpg,r21_02.jpg,0.8954177
classify,vggface,30,r15_01.jpg,r27_07.jpg,0.7378958
classify,vggface,30,r15_01.jpg,r30_11.jpg,0.86894846
classify,vggface,30,r15_01.jpg,r31_01.jpg,0.8169211
classify,vggface,30,r15_01.jpg,r33_17.jpg,0.908654
classify,vggface,30,r15_01.jpg,r34_02.jpg,0.69425327
classify,vggface,30,r16_01.jpg,r18_14.jpg,0.85050887
classify,vggface,30,r16_01.jpg,r21_02.jpg,0.73498464
classify,vggface,30,r16_01.jpg,r27_07.jpg,0.83924997
classify,vggface,30,r16_01.jpg,r30_11.jpg,0.8741917
classify,vggface,30,r16_01.jpg,r31_01.jpg,0.83497024
classify,vggface,30,r16_01.jpg,r33_17.jpg,0.7713583
classify,vggface,30,r16_01.jpg,r34_02.jpg,0.7916867
classify,vggface,30,r18_14.jpg,r21_02.jpg,0.8408197
