images transferred
everything loaded
cornet_z_imagenet_vggface
runs created?
=> creating model 'cornet_z'
cornet_z
normalization constant Z is set to 1690185.6
Epoch: [0][0/2988]	Time 12.001 (12.001)	Data 6.224 (6.224)	Loss 10.1509 (10.1509)	
Epoch: [0][10/2988]	Time 1.362 (1.610)	Data 1.217 (0.949)	Loss 10.8223 (10.5519)	
Epoch: [0][20/2988]	Time 1.064 (1.381)	Data 0.883 (0.962)	Loss 11.3823 (10.9628)	
Epoch: [0][30/2988]	Time 1.490 (1.320)	Data 1.347 (0.990)	Loss 12.3366 (11.2781)	
Epoch: [0][40/2988]	Time 0.144 (1.235)	Data 0.000 (0.950)	Loss 13.0943 (11.6800)	
Epoch: [0][50/2988]	Time 3.103 (1.265)	Data 2.945 (1.007)	Loss 13.6160 (12.0557)	
Epoch: [0][60/2988]	Time 0.144 (1.174)	Data 0.000 (0.935)	Loss 13.3482 (12.2824)	
Epoch: [0][70/2988]	Time 0.144 (1.224)	Data 0.000 (0.998)	Loss 13.6429 (12.4510)	
Epoch: [0][80/2988]	Time 0.145 (1.161)	Data 0.000 (0.944)	Loss 13.7685 (12.6329)	
Epoch: [0][90/2988]	Time 0.144 (1.190)	Data 0.000 (0.981)	Loss 13.5433 (12.7621)	
Epoch: [0][100/2988]	Time 0.144 (1.145)	Data 0.000 (0.942)	Loss 12.8717 (12.8010)	
Epoch: [0][110/2988]	Time 0.145 (1.156)	Data 0.000 (0.959)	Loss 13.6854 (12.8516)	
Epoch: [0][120/2988]	Time 0.143 (1.139)	Data 0.000 (0.945)	Loss 12.3848 (12.8938)	
Epoch: [0][130/2988]	Time 0.144 (1.153)	Data 0.000 (0.963)	Loss 13.0869 (12.8751)	
Epoch: [0][140/2988]	Time 0.158 (1.135)	Data 0.001 (0.949)	Loss 13.9298 (12.9058)	
Epoch: [0][150/2988]	Time 0.144 (1.145)	Data 0.000 (0.961)	Loss 13.4150 (12.9332)	
Epoch: [0][160/2988]	Time 0.144 (1.132)	Data 0.000 (0.950)	Loss 13.9281 (12.9846)	
Epoch: [0][170/2988]	Time 0.238 (1.128)	Data 0.094 (0.948)	Loss 13.1406 (13.0071)	
Epoch: [0][180/2988]	Time 0.146 (1.116)	Data 0.000 (0.938)	Loss 13.4728 (13.0140)	
Epoch: [0][190/2988]	Time 1.794 (1.120)	Data 1.650 (0.943)	Loss 13.9734 (13.0665)	
Epoch: [0][200/2988]	Time 3.873 (1.130)	Data 3.728 (0.954)	Loss 13.5971 (13.1092)	
Epoch: [0][210/2988]	Time 0.145 (1.118)	Data 0.000 (0.944)	Loss 14.4013 (13.1411)	
Epoch: [0][220/2988]	Time 4.921 (1.126)	Data 4.776 (0.953)	Loss 12.9772 (13.1721)	
Epoch: [0][230/2988]	Time 0.144 (1.116)	Data 0.000 (0.945)	Loss 12.7632 (13.1624)	
