seed_age,target_age,seed_roi,target_roi,age_cond,roi_cond,isc_mean,isc_se
infant,infant,FFA,FFA,within,within,0.3301272315179016,0.07347278979344338
infant,infant,FFA,A1,within,between,-0.12817645139276293,0.08270713868947377
infant,infant,FFA,EVC,within,between,0.38933514474981856,0.07725864678233937
infant,infant,A1,FFA,within,between,-0.09338051292919707,0.10024457066425024
infant,infant,A1,A1,within,within,0.10719334981881376,0.08314764771568564
infant,infant,A1,EVC,within,between,-0.1735144368880631,0.10757642341584099
infant,infant,EVC,FFA,within,between,0.3689465984084147,0.08278263911970625
infant,infant,EVC,A1,within,between,-0.15842500749966087,0.12832692667474796
infant,infant,EVC,EVC,within,within,0.5765461446791736,0.0737420567972452
infant,adult,FFA,FFA,between,within,-0.05283858110647329,0.10778765453298543
infant,adult,FFA,A1,between,between,0.2163027258014921,0.10429115885284435
infant,adult,FFA,EVC,between,between,-0.06514717784298851,0.0693859176617282
infant,adult,A1,FFA,between,between,0.08900000283741161,0.10021497569368562
infant,adult,A1,A1,between,within,-0.18546246655512838,0.07393550746359538
infant,adult,A1,EVC,between,between,0.0802737436074757,0.10487793638594105
infant,adult,EVC,FFA,between,between,0.07341142825829984,0.1094539408203626
infant,adult,EVC,A1,between,between,0.17527304659507234,0.1005576417950022
infant,adult,EVC,EVC,between,within,0.2806608847058658,0.06857495447998285
adult,infant,FFA,FFA,between,within,-0.01311170991465831,0.11412088218412363
adult,infant,FFA,A1,between,between,0.04286574783815345,0.1049084985697832
adult,infant,FFA,EVC,between,between,0.09445525746975675,0.10969508997247998
adult,infant,A1,FFA,between,between,0.23229983582985736,0.0899541423396879
adult,infant,A1,A1,between,within,-0.1734114136368757,0.08301595814609349
adult,infant,A1,EVC,between,between,0.16349639468043903,0.08873769713542334
adult,infant,EVC,FFA,between,between,-0.06685673106428537,0.07153580737923323
adult,infant,EVC,A1,between,between,0.10652195479884309,0.10011992392981282
adult,infant,EVC,EVC,between,within,0.27917849551663815,0.06779113597116354
adult,adult,FFA,FFA,within,within,0.7627197651563656,0.037366687822017394
adult,adult,FFA,A1,within,between,-0.55110489501085,0.04960964552090171
adult,adult,FFA,EVC,within,between,0.33694206937083904,0.07977138623784719
adult,adult,A1,FFA,within,between,-0.5420680336446675,0.054446257019088534
adult,adult,A1,A1,within,within,0.6980727761750529,0.04857301928075553
adult,adult,A1,EVC,within,between,-0.2428874850046603,0.061669499076602276
adult,adult,EVC,FFA,within,between,0.3305765766662347,0.0772525377906422
adult,adult,EVC,A1,within,between,-0.24529640076074152,0.059575934111131844
adult,adult,EVC,EVC,within,within,0.8937376516448833,0.01906448966907531
