,seed_age,target_age,seed_roi,target_roi,age_cond,roi_cond,isc_mean,isc_se
0,infant,infant,LOC,LOC,within,within,0.1836653872706638,0.2015132472360042
1,infant,infant,LOC,FFA,within,between,0.15612021631041448,0.15811130420994848
2,infant,infant,LOC,A1,within,between,-0.03406977257809244,0.16877898739107705
3,infant,infant,LOC,EVC,within,between,0.22491256757521702,0.20983875694666376
4,infant,infant,LOC,lLOC,within,between,0.1614362208421915,0.17293024728036493
5,infant,infant,LOC,lFFA,within,between,0.1324684587286931,0.1699577728127749
6,infant,infant,LOC,lA1,within,between,-0.0524286599622551,0.16148578904562183
7,infant,infant,LOC,lEVC,within,between,0.22172852264015594,0.22249287866542972
8,infant,infant,LOC,rLOC,within,between,0.15812067527333473,0.21140334930705154
9,infant,infant,LOC,rFFA,within,between,0.13766888167154892,0.16564730820810025
10,infant,infant,LOC,rA1,within,between,-0.0005158613940843172,0.14492313228148698
11,infant,infant,LOC,rEVC,within,between,0.21251586092929706,0.1930139618184391
12,infant,infant,FFA,LOC,within,between,0.1716951589469161,0.19531678804931996
13,infant,infant,FFA,FFA,within,within,0.14517638842459182,0.14442304437458708
14,infant,infant,FFA,A1,within,between,-0.0378105336072122,0.13823236905946842
15,infant,infant,FFA,EVC,within,between,0.20549935133016403,0.18474383772932124
16,infant,infant,FFA,lLOC,within,between,0.14356408721458191,0.17214801638349372
17,infant,infant,FFA,lFFA,within,between,0.10686736105908927,0.16165724108329502
18,infant,infant,FFA,lA1,within,between,-0.06361397092292811,0.1420140537356047
19,infant,infant,FFA,lEVC,within,between,0.20307037946079887,0.1955329270215402
20,infant,infant,FFA,rLOC,within,between,0.15278799889090425,0.20703559645627434
21,infant,infant,FFA,rFFA,within,between,0.13748134308212268,0.15790042593944176
22,infant,infant,FFA,rA1,within,between,0.002426715830037987,0.14168777654396
23,infant,infant,FFA,rEVC,within,between,0.1921217472081543,0.17506911095789576
24,infant,infant,A1,LOC,within,between,-0.02951425124523427,0.1613437902378897
25,infant,infant,A1,FFA,within,between,-0.03903715729032252,0.16000782344833964
26,infant,infant,A1,A1,within,within,0.06268864890751652,0.12623335983839035
27,infant,infant,A1,EVC,within,between,-0.09132443330739803,0.18401229816884535
28,infant,infant,A1,lLOC,within,between,-0.020005144840619105,0.16942242546661992
29,infant,infant,A1,lFFA,within,between,-0.02749769615089047,0.16630207484002404
30,infant,infant,A1,lA1,within,between,0.07167956613921808,0.15052422576554234
31,infant,infant,A1,lEVC,within,between,-0.08574850734785001,0.1866732159190945
32,infant,infant,A1,rLOC,within,between,-0.03478854469605867,0.17407436011293226
33,infant,infant,A1,rFFA,within,between,-0.03903596877465113,0.16853368154723003
34,infant,infant,A1,rA1,within,between,0.02716697906680413,0.13344041109350943
35,infant,infant,A1,rEVC,within,between,-0.08673714584311716,0.18057388215607137
36,infant,infant,EVC,LOC,within,between,0.184793152505817,0.2135780740051513
37,infant,infant,EVC,FFA,within,between,0.15388238662107065,0.1645857410384494
38,infant,infant,EVC,A1,within,between,-0.05598658440046291,0.1779873802640845
39,infant,infant,EVC,EVC,within,within,0.2795320162561446,0.23138672004538283
40,infant,infant,EVC,lLOC,within,between,0.14656745377537864,0.1882202265856783
41,infant,infant,EVC,lFFA,within,between,0.11208946249809738,0.17466052431311493
42,infant,infant,EVC,lA1,within,between,-0.08633567623806916,0.15091253629031703
43,infant,infant,EVC,lEVC,within,between,0.2664928398362802,0.24375287387575206
44,infant,infant,EVC,rLOC,within,between,0.1748136860788304,0.23395437952683526
45,infant,infant,EVC,rFFA,within,between,0.14770316839831485,0.18125071890377226
46,infant,infant,EVC,rA1,within,between,-0.004601393890624823,0.16220752635895833
47,infant,infant,EVC,rEVC,within,between,0.2736800256648921,0.2146536039192305
48,infant,infant,lLOC,LOC,within,between,0.17081685339141514,0.1928701141454955
49,infant,infant,lLOC,FFA,within,between,0.13929476081256356,0.17292181063725806
50,infant,infant,lLOC,A1,within,between,-0.028320320715104434,0.16483401070007367
51,infant,infant,lLOC,EVC,within,between,0.19129486236157647,0.20037350174273302
52,infant,infant,lLOC,lLOC,within,within,0.16398429874514323,0.1888339278996761
53,infant,infant,lLOC,lFFA,within,between,0.12216444452845514,0.1796653164832115
54,infant,infant,lLOC,lA1,within,between,-0.04980580512738664,0.16163286616295242
55,infant,infant,lLOC,lEVC,within,between,0.18985713696110962,0.21453448152794408
56,infant,infant,lLOC,rLOC,within,between,0.14182631931770304,0.19818185775592448
57,infant,infant,lLOC,rFFA,within,between,0.1184913636748972,0.1766798948766154
58,infant,infant,lLOC,rA1,within,between,0.007082975888352311,0.1394876179575251
59,infant,infant,lLOC,rEVC,within,between,0.17978735406896681,0.18368428177854979
60,infant,infant,lFFA,LOC,within,between,0.16266109186483813,0.18327054938071796
61,infant,infant,lFFA,FFA,within,between,0.12376011729941742,0.15499001121802514
62,infant,infant,lFFA,A1,within,between,-0.03159762669397944,0.14521286928841876
63,infant,infant,lFFA,EVC,within,between,0.1659195871531922,0.1808174350303169
64,infant,infant,lFFA,lLOC,within,between,0.14825979404773215,0.1713810978066741
65,infant,infant,lFFA,lFFA,within,within,0.09817578537632987,0.17725365945366348
66,infant,infant,lFFA,lA1,within,between,-0.05731172195072942,0.14096463018126235
67,infant,infant,lFFA,lEVC,within,between,0.16546072667332234,0.19342936334166203
68,infant,infant,lFFA,rLOC,within,between,0.1415990999175236,0.1896046097810956
69,infant,infant,lFFA,rFFA,within,between,0.10962093505629615,0.15724692260546053
70,infant,infant,lFFA,rA1,within,between,0.007203299009450638,0.14702812738018384
71,infant,infant,lFFA,rEVC,within,between,0.15409128825016086,0.16684271478890086
72,infant,infant,lA1,LOC,within,between,-0.057488907232440566,0.18480749065779067
73,infant,infant,lA1,FFA,within,between,-0.06961277527857838,0.1516796325870159
74,infant,infant,lA1,A1,within,between,0.06888629206736875,0.14622292141663615
75,infant,infant,lA1,EVC,within,between,-0.13961605554407766,0.20512612497137006
76,infant,infant,lA1,lLOC,within,between,-0.05217892627915693,0.17811526704334518
77,infant,infant,lA1,lFFA,within,between,-0.05809369609957222,0.16338655996128013
78,infant,infant,lA1,lA1,within,within,0.07901932227663272,0.15822891232961858
79,infant,infant,lA1,lEVC,within,between,-0.13739227910202415,0.20808714101146336
80,infant,infant,lA1,rLOC,within,between,-0.05500160610060433,0.20486749144722435
81,infant,infant,lA1,rFFA,within,between,-0.06366876398376507,0.1637996175624084
82,infant,infant,lA1,rA1,within,between,0.02861494570150074,0.1400201967785635
83,infant,infant,lA1,rEVC,within,between,-0.12877089518983306,0.19629241634591207
84,infant,infant,lEVC,LOC,within,between,0.18707477906461653,0.214322305604177
85,infant,infant,lEVC,FFA,within,between,0.15790475597531253,0.1703992798513633
86,infant,infant,lEVC,A1,within,between,-0.05608999996902181,0.17804316229242662
87,infant,infant,lEVC,EVC,within,between,0.2754625978877469,0.23025501234450277
88,infant,infant,lEVC,lLOC,within,between,0.14974175507306664,0.19429693702500872
89,infant,infant,lEVC,lFFA,within,between,0.11547380353029461,0.1777579268490523
90,infant,infant,lEVC,lA1,within,between,-0.08940150192898,0.15330911346791934
91,infant,infant,lEVC,lEVC,within,within,0.2640797200594441,0.24398901613760499
92,infant,infant,lEVC,rLOC,within,between,0.1766823863893124,0.23371188215725555
93,infant,infant,lEVC,rFFA,within,between,0.1510701021673095,0.1858351224783648
94,infant,infant,lEVC,rA1,within,between,-0.001069644537636807,0.16040171429016464
95,infant,infant,lEVC,rEVC,within,between,0.26828685116509793,0.2118157033892494
96,infant,infant,rLOC,LOC,within,between,0.17491132411950416,0.201292347823635
97,infant,infant,rLOC,FFA,within,between,0.15297905696929648,0.14387054942238778
98,infant,infant,rLOC,A1,within,between,-0.035098843847640386,0.16282095191178736
99,infant,infant,rLOC,EVC,within,between,0.22776557449495086,0.20427917353732586
100,infant,infant,rLOC,lLOC,within,between,0.14294234227770827,0.1574170760287907
101,infant,infant,rLOC,lFFA,within,between,0.1267542040865991,0.15580572960653244
102,infant,infant,rLOC,lA1,within,between,-0.04917996522683548,0.1570602072314869
103,infant,infant,rLOC,lEVC,within,between,0.2234826501412637,0.21353760203939928
104,infant,infant,rLOC,rLOC,within,within,0.1544162770400511,0.21760220138597233
105,infant,infant,rLOC,rFFA,within,between,0.1382625057683586,0.15263211428616508
106,infant,infant,rLOC,rA1,within,between,-0.0062761706413302495,0.14180090248931354
107,infant,infant,rLOC,rEVC,within,between,0.21601199301809892,0.1903601396473363
108,infant,infant,rFFA,LOC,within,between,0.15646035058574467,0.186295615853813
109,infant,infant,rFFA,FFA,within,between,0.14025255195897945,0.1361346877930151
110,infant,infant,rFFA,A1,within,between,-0.03695377190514462,0.13472151391413423
111,infant,infant,rFFA,EVC,within,between,0.20276139181321148,0.1704697986542061
112,infant,infant,rFFA,lLOC,within,between,0.12389868147273152,0.16040203930345892
113,infant,infant,rFFA,lFFA,within,between,0.09954911669737687,0.14529623020189228
114,infant,infant,rFFA,lA1,within,between,-0.05975725231972077,0.14110145806456836
115,infant,infant,rFFA,lEVC,within,between,0.19967194329726742,0.17974785998162318
116,infant,infant,rFFA,rLOC,within,between,0.14122769087604972,0.19929524431369308
117,infant,infant,rFFA,rFFA,within,within,0.13680272578960828,0.1558660476759349
118,infant,infant,rFFA,rA1,within,between,-0.0005540912040311545,0.13410847935765555
119,infant,infant,rFFA,rEVC,within,between,0.18999595191944332,0.16424235645526658
120,infant,infant,rA1,LOC,within,between,0.01702377928735721,0.11534232483884073
121,infant,infant,rA1,FFA,within,between,0.014553615089148117,0.14352969925910952
122,infant,infant,rA1,A1,within,between,0.02988832117373552,0.08913918504439311
123,infant,infant,rA1,EVC,within,between,0.004322144382038429,0.12254945897960837
124,infant,infant,rA1,lLOC,within,between,0.02758303589636067,0.1269649030876028
125,infant,infant,rA1,lFFA,within,between,0.019769281731634277,0.1469260782456316
126,infant,infant,rA1,lA1,within,between,0.03385393795046688,0.11192150034296312
127,infant,infant,rA1,lEVC,within,between,0.011252500475261681,0.12815714278270962
128,infant,infant,rA1,rLOC,within,between,0.0046148800628188075,0.11493248316098617
