age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,-0.0030170825691114,0.0308432243815916,-0.3801366691154426,0.3329808899540157,cornet_z_sl,imagenet_noface,V1
infant,FFA,0.2478188318420768,0.0301463947255621,-0.1195295247663236,0.5273481923018232,cornet_z_sl,imagenet_noface,V1
infant,A1,-0.0363317398274122,0.0260070610305983,-0.3278471598772597,0.3151114990816356,cornet_z_sl,imagenet_noface,V1
infant,EVC,0.2782049641519119,0.023998007124459,-0.0854601107602138,0.498283127407177,cornet_z_sl,imagenet_noface,V1
adult,LOC,0.3657415227564321,0.0212103601499771,0.0777573001248193,0.5698409795923401,cornet_z_sl,imagenet_noface,V1
adult,FFA,0.2409629063795803,0.0233680662685977,-0.1079482458732048,0.4782201722482465,cornet_z_sl,imagenet_noface,V1
adult,A1,0.1087268493517684,0.0207123323440066,-0.1489998215182683,0.3163371960189838,cornet_z_sl,imagenet_noface,V1
adult,EVC,0.2126866940702061,0.0176109553678928,0.0299358138562653,0.4118616797542599,cornet_z_sl,imagenet_noface,V1
infant,LOC,0.0997853766591077,0.0331446970381211,-0.3092695261718793,0.4763100275582388,cornet_z_sl,imagenet_noface,V2
infant,FFA,0.2037227181541753,0.0326896870587171,-0.2054629369175776,0.5209561839547381,cornet_z_sl,imagenet_noface,V2
infant,A1,0.0267477047986693,0.0279132043102979,-0.2884004419270836,0.3201612992484398,cornet_z_sl,imagenet_noface,V2
infant,EVC,0.3848512680006035,0.0258995634053842,-0.0122830385235359,0.5906495291340672,cornet_z_sl,imagenet_noface,V2
adult,LOC,0.3523503510784156,0.0189276880815156,0.1350880141779089,0.5299465257227245,cornet_z_sl,imagenet_noface,V2
adult,FFA,0.1375939953757841,0.0238043994212987,-0.1754093177428885,0.3957470129437049,cornet_z_sl,imagenet_noface,V2
adult,A1,0.056150381255002,0.0288286886714355,-0.3634074602589174,0.3251133184967779,cornet_z_sl,imagenet_noface,V2
adult,EVC,0.5995553597146209,0.0108787843493459,0.4472932300309564,0.7007157118868729,cornet_z_sl,imagenet_noface,V2
infant,LOC,0.0999381219886105,0.0305044420505088,-0.2649627416407118,0.4554126165866257,cornet_z_sl,imagenet_noface,V4
infant,FFA,0.202844691822962,0.0250440685503811,-0.0722956565560172,0.4363871551675884,cornet_z_sl,imagenet_noface,V4
infant,A1,0.047128208426375,0.0238391804618882,-0.2072152256061633,0.3042127347698556,cornet_z_sl,imagenet_noface,V4
infant,EVC,0.1645947182148759,0.0271881685054962,-0.1771561677601168,0.4662460276580146,cornet_z_sl,imagenet_noface,V4
adult,LOC,0.3009920709783709,0.022495417818003,0.0420959463795665,0.5271113484340637,cornet_z_sl,imagenet_noface,V4
adult,FFA,0.115922136789984,0.0285517416237818,-0.2547297525504953,0.4215617791079781,cornet_z_sl,imagenet_noface,V4
adult,A1,0.2590672704111982,0.0176568237706623,0.043465186584437,0.4564765363715314,cornet_z_sl,imagenet_noface,V4
adult,EVC,0.434459554743863,0.023959123488216,0.0635527961507259,0.6376516357821739,cornet_z_sl,imagenet_noface,V4
infant,LOC,0.0330193319097525,0.0289505273791167,-0.2402604804398176,0.3709174012319611,cornet_z_sl,imagenet_noface,pIT
infant,FFA,0.062474296366488,0.0304060635727357,-0.2914093106092023,0.4037533331937766,cornet_z_sl,imagenet_noface,pIT
infant,A1,-0.0043344305916358,0.0206858561690489,-0.2382646825380049,0.215803710686472,cornet_z_sl,imagenet_noface,pIT
infant,EVC,0.064016700586861,0.0245366972427288,-0.2202282408170322,0.3450823385340081,cornet_z_sl,imagenet_noface,pIT
adult,LOC,0.3224394226783322,0.0289588245909724,-0.0579948420728362,0.5643145323777834,cornet_z_sl,imagenet_noface,pIT
adult,FFA,0.301734541364488,0.0230308815047414,-0.0419699501309194,0.5282241426770151,cornet_z_sl,imagenet_noface,pIT
adult,A1,0.2865569957429555,0.0198959821564161,0.0101214169079019,0.4859448595736375,cornet_z_sl,imagenet_noface,pIT
adult,EVC,0.3868869497107522,0.0139934599015261,0.2291833966340324,0.562409029828022,cornet_z_sl,imagenet_noface,pIT
infant,LOC,-0.0464499979401935,0.0238082878586475,-0.3217689775485201,0.2340978291409387,cornet_z_sl,imagenet_noface,aIT
infant,FFA,0.0226309036808568,0.0292813057177794,-0.3146374069635246,0.3626908358805899,cornet_z_sl,imagenet_noface,aIT
infant,A1,0.0080011646084702,0.022643807861873,-0.2543382397790626,0.2641370625975316,cornet_z_sl,imagenet_noface,aIT
infant,EVC,0.127842487925214,0.0300548483540448,-0.2473119298382636,0.489347672390034,cornet_z_sl,imagenet_noface,aIT
adult,LOC,0.4163709220656724,0.0241148975678973,0.0542449702847477,0.6433854220726204,cornet_z_sl,imagenet_noface,aIT
adult,FFA,0.3715192807344508,0.0242074113179467,-0.0194199381682129,0.5683008683694282,cornet_z_sl,imagenet_noface,aIT
adult,A1,0.0979392238404344,0.0172742267565628,-0.1359320021806861,0.2759718071402001,cornet_z_sl,imagenet_noface,aIT
adult,EVC,0.5349936938653241,0.0251157631336607,0.2384913832132661,0.7526186041985391,cornet_z_sl,imagenet_noface,aIT
infant,LOC,-0.0886268016522802,0.0342997707782453,-0.4360670558086246,0.3268521520525757,cornet_z_sl,imagenet_noface,decoder
infant,FFA,0.0253304512942663,0.0332807182179593,-0.3639346656178205,0.3931309074322867,cornet_z_sl,imagenet_noface,decoder
infant,A1,0.082347936881449,0.0243906952641158,-0.1852258864193185,0.3417533040047604,cornet_z_sl,imagenet_noface,decoder
infant,EVC,0.1180996238493587,0.0239439672814295,-0.1109983464814806,0.4312904410338132,cornet_z_sl,imagenet_noface,decoder
adult,LOC,0.2077322784320982,0.0315850507145823,-0.2200047177606378,0.4700339638586922,cornet_z_sl,imagenet_noface,decoder
adult,FFA,0.4608100640185164,0.026873279223135,0.2146841311275429,0.6730218824192105,cornet_z_sl,imagenet_noface,decoder
adult,A1,0.1541248912278185,0.0191840916670031,-0.0729374732204239,0.3278100567757245,cornet_z_sl,imagenet_noface,decoder
adult,EVC,0.18203512376825,0.0232371605368191,-0.0561866664203796,0.4271171256208431,cornet_z_sl,imagenet_noface,decoder
infant,LOC,0.0190589607380629,0.0335441579470809,-0.3909299040041852,0.3371063022445348,cornet_z_sl,imagenet_oneface,V1
infant,FFA,0.2532740913628605,0.0332818414888925,-0.2111922643688888,0.5560898235648067,cornet_z_sl,imagenet_oneface,V1
infant,A1,-0.0203662933807906,0.0235834906659547,-0.3302414853773669,0.2073469237586345,cornet_z_sl,imagenet_oneface,V1
infant,EVC,0.3245491092207297,0.0249845965536847,0.0580490319269911,0.544878450724996,cornet_z_sl,imagenet_oneface,V1
adult,LOC,0.4417061888484312,0.0243540910067829,0.100381088081146,0.6862582358874987,cornet_z_sl,imagenet_oneface,V1
adult,FFA,0.3480684317913164,0.0304756155614713,-0.0703795672993819,0.6156172680488267,cornet_z_sl,imagenet_oneface,V1
adult,A1,0.0538599971120779,0.0280389096389708,-0.3120964359731585,0.3111868772906566,cornet_z_sl,imagenet_oneface,V1
adult,EVC,0.343772396631706,0.0247030083458885,0.0590072459767152,0.5928521000403081,cornet_z_sl,imagenet_oneface,V1
infant,LOC,0.0232095982477008,0.0254959528747842,-0.2682002824396622,0.3114339967383303,cornet_z_sl,imagenet_oneface,V2
infant,FFA,0.1760497269406924,0.0323250402738179,-0.2386205966106457,0.4749477263757424,cornet_z_sl,imagenet_oneface,V2
infant,A1,0.0394590182891099,0.0228893306179937,-0.240728964011008,0.2807933983295927,cornet_z_sl,imagenet_oneface,V2
infant,EVC,0.3318568437578406,0.0230268323096053,0.0999960390842333,0.5326936317092464,cornet_z_sl,imagenet_oneface,V2
adult,LOC,0.2920514357546901,0.0181324376856671,0.0697933853889629,0.4478993653584962,cornet_z_sl,imagenet_oneface,V2
adult,FFA,0.151685694381741,0.0221091240753304,-0.1618080830990756,0.3750548624584616,cornet_z_sl,imagenet_oneface,V2
