age,roi,corr,architecture,train_type,layer,se
infant,LOC,0.17173713931074702,cornet_z_sl,imagenet_noface,aIT,0.04080509136156911
infant,FFA,0.019840018010598426,cornet_z_sl,imagenet_noface,aIT,0.035945857981370226
infant,A1,-0.017054716643553403,cornet_z_sl,imagenet_noface,aIT,0.0457945844722341
infant,EVC,0.13732143810264266,cornet_z_sl,imagenet_noface,aIT,0.04151483156902169
infant,lLOC,0.19824739186288912,cornet_z_sl,imagenet_noface,aIT,0.04460416620666578
infant,lFFA,-0.14074191954635545,cornet_z_sl,imagenet_noface,aIT,0.030810549198446165
infant,lA1,0.06015947555917052,cornet_z_sl,imagenet_noface,aIT,0.045314306828010464
infant,lEVC,0.12706978650368597,cornet_z_sl,imagenet_noface,aIT,0.02975791984044877
infant,rLOC,0.12347111428530518,cornet_z_sl,imagenet_noface,aIT,0.03933946666098089
infant,rFFA,0.10412786559074863,cornet_z_sl,imagenet_noface,aIT,0.040315420641685695
infant,rA1,-0.027128766871835207,cornet_z_sl,imagenet_noface,aIT,0.03655037081895476
infant,rEVC,0.10330428943280728,cornet_z_sl,imagenet_noface,aIT,0.03354275950631125
adult,LOC,-0.010184953841338516,cornet_z_sl,imagenet_noface,aIT,0.026833172278372425
adult,FFA,-0.03908513346688536,cornet_z_sl,imagenet_noface,aIT,0.045364497327957096
adult,A1,0.17494139804938952,cornet_z_sl,imagenet_noface,aIT,0.0234036268337005
adult,EVC,-0.1715697804557236,cornet_z_sl,imagenet_noface,aIT,0.023938207290978994
adult,lLOC,-0.04151235899553579,cornet_z_sl,imagenet_noface,aIT,0.03143387703932386
adult,lFFA,-0.029180313877057815,cornet_z_sl,imagenet_noface,aIT,0.0348293817637107
adult,lA1,0.18099983873506495,cornet_z_sl,imagenet_noface,aIT,0.030293398904232584
adult,lEVC,-0.17549341181970954,cornet_z_sl,imagenet_noface,aIT,0.020555858902315625
adult,rLOC,0.041274424252008626,cornet_z_sl,imagenet_noface,aIT,0.025086621758545636
adult,rFFA,-0.03929481387063786,cornet_z_sl,imagenet_noface,aIT,0.04120210606743071
adult,rA1,0.1571009133182798,cornet_z_sl,imagenet_noface,aIT,0.034396260893893194
adult,rEVC,-0.15903738921030716,cornet_z_sl,imagenet_noface,aIT,0.031236607751691185
infant,LOC,0.032898063000251304,cornet_z_sl,imagenet_oneface,aIT,0.048697618951237524
infant,FFA,-0.11095013370341994,cornet_z_sl,imagenet_oneface,aIT,0.05139980554358532
infant,A1,0.09266123715088011,cornet_z_sl,imagenet_oneface,aIT,0.04075838562233919
infant,EVC,0.06756605867592418,cornet_z_sl,imagenet_oneface,aIT,0.04970828378083094
infant,lLOC,0.033148125486034005,cornet_z_sl,imagenet_oneface,aIT,0.049473736401722
infant,lFFA,0.025764519939312266,cornet_z_sl,imagenet_oneface,aIT,0.040577731455921404
infant,lA1,0.03887548874135052,cornet_z_sl,imagenet_oneface,aIT,0.04447384816173651
infant,lEVC,0.04888797595877714,cornet_z_sl,imagenet_oneface,aIT,0.06209371012573263
infant,rLOC,-0.12491532781122791,cornet_z_sl,imagenet_oneface,aIT,0.044673204064489755
infant,rFFA,-0.22698394695483612,cornet_z_sl,imagenet_oneface,aIT,0.046873623159079295
infant,rA1,0.026749349170374158,cornet_z_sl,imagenet_oneface,aIT,0.04277471299214724
infant,rEVC,0.09721104811541546,cornet_z_sl,imagenet_oneface,aIT,0.05505355595023926
adult,LOC,0.05616966762917089,cornet_z_sl,imagenet_oneface,aIT,0.0397255566171237
adult,FFA,0.08071693059273884,cornet_z_sl,imagenet_oneface,aIT,0.029221612725536084
adult,A1,0.022961492057755592,cornet_z_sl,imagenet_oneface,aIT,0.05411202402748534
adult,EVC,0.0033172722846395997,cornet_z_sl,imagenet_oneface,aIT,0.04991217686265941
adult,lLOC,0.09114817134102471,cornet_z_sl,imagenet_oneface,aIT,0.04120445450857634
adult,lFFA,0.1348050640280047,cornet_z_sl,imagenet_oneface,aIT,0.0292927202210708
adult,lA1,0.006599127040869748,cornet_z_sl,imagenet_oneface,aIT,0.05176210968809495
adult,lEVC,-0.021674335162315858,cornet_z_sl,imagenet_oneface,aIT,0.054053543487770576
adult,rLOC,0.014134734289422319,cornet_z_sl,imagenet_oneface,aIT,0.0485982185241179
adult,rFFA,0.031927601767362736,cornet_z_sl,imagenet_oneface,aIT,0.03745382807564558
adult,rA1,0.03665201262052889,cornet_z_sl,imagenet_oneface,aIT,0.0708537201266076
adult,rEVC,0.030773402599929806,cornet_z_sl,imagenet_oneface,aIT,0.047947729587438294
infant,LOC,-0.033257569031378165,cornet_z_sl,imagenet_vggface,aIT,0.04948797839320618
infant,FFA,-0.16956474114105918,cornet_z_sl,imagenet_vggface,aIT,0.043593940351561396
infant,A1,-0.002927985386918769,cornet_z_sl,imagenet_vggface,aIT,0.04935287352254589
infant,EVC,0.11944413137224319,cornet_z_sl,imagenet_vggface,aIT,0.05212672441622331
infant,lLOC,-0.1795444061780151,cornet_z_sl,imagenet_vggface,aIT,0.0497279295842091
infant,lFFA,-0.270677471256691,cornet_z_sl,imagenet_vggface,aIT,0.04259357945032423
infant,lA1,0.0400645546590328,cornet_z_sl,imagenet_vggface,aIT,0.035991037538495585
