age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.272921745790439,0.022783700972783733,-0.008395158041164086,0.46264027628408305,0.34749980132836766,cornet_z_sl,imagenet_noface,V1
infant,A1,0.0032110880539982407,0.02300044265589799,-0.21854078541639654,0.21426825787602002,0.15108172734388306,cornet_z_sl,imagenet_noface,V1
infant,EVC,0.3096848321350528,0.020162382584660597,0.017671751280851092,0.4574876434530876,0.5819103855910628,cornet_z_sl,imagenet_noface,V1
infant,lFFA,0.13703894172741488,0.018666993603972486,-0.0965984948047366,0.33993901886229383,0.24757086719914276,cornet_z_sl,imagenet_noface,V1
infant,lA1,0.1589367172627763,0.025782552312571056,-0.15465748970903423,0.3865200196432895,0.2039300717608204,cornet_z_sl,imagenet_noface,V1
infant,lEVC,0.31623524483343,0.021028375548246988,0.046908427495730466,0.4708665052632317,0.559752934165364,cornet_z_sl,imagenet_noface,V1
infant,rFFA,0.2058557326142951,0.030030399062485433,-0.12561483409742766,0.46094289721191645,0.33746189639166124,cornet_z_sl,imagenet_noface,V1
infant,rA1,-0.002145801429944299,0.019201268591077496,-0.20030766095829372,0.21988983310040672,0.03483094415650644,cornet_z_sl,imagenet_noface,V1
infant,rEVC,0.25177030106645754,0.023130398430603417,-0.08329481360608612,0.4375842680361251,0.5717085979846764,cornet_z_sl,imagenet_noface,V1
adult,FFA,0.16775663209527916,0.018348290275084406,-0.07099392700111984,0.3408364070781555,0.7648109624798433,cornet_z_sl,imagenet_noface,V1
adult,A1,0.06584004556885939,0.022973504440061954,-0.24791453491272972,0.2881406690361175,0.6981748819181509,cornet_z_sl,imagenet_noface,V1
adult,EVC,0.21235594409186662,0.010220983455053541,0.08080037237727869,0.31034533876445075,0.8959317863256611,cornet_z_sl,imagenet_noface,V1
adult,lFFA,0.1598896147743026,0.01538607711559758,-0.05166849669337929,0.29552304088052583,0.7495346946605694,cornet_z_sl,imagenet_noface,V1
adult,lA1,0.05740231949781143,0.02341227028155006,-0.288518856935263,0.2804131467718979,0.6673124471914406,cornet_z_sl,imagenet_noface,V1
adult,lEVC,0.24946023706146508,0.01216920451631378,0.09791257134837696,0.3673413352504215,0.9037720916318753,cornet_z_sl,imagenet_noface,V1
adult,rFFA,0.05415737049827918,0.020121153964469094,-0.21779918807324078,0.29976773129809337,0.7302893613089342,cornet_z_sl,imagenet_noface,V1
adult,rA1,0.043982009691662285,0.0208311661039677,-0.14473693975323468,0.2563864006247448,0.6643228825871261,cornet_z_sl,imagenet_noface,V1
adult,rEVC,0.25256565221187943,0.011285383322927821,0.08592614828648984,0.36735069367568374,0.8710007968342258,cornet_z_sl,imagenet_noface,V1
