age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,-0.02983214103492288,0.021433668402361914,-0.29637498475475377,0.18120878893746978,0.3474998020218048,cornet_z_sl,imagenet_noface,decoder
infant,A1,0.04959294626527622,0.022894446415397902,-0.2582687026112972,0.296598317775478,0.15108172806995487,cornet_z_sl,imagenet_noface,decoder
infant,EVC,0.0862604402023747,0.02055840811011909,-0.20691533373169646,0.2815767617566205,0.5819103859258942,cornet_z_sl,imagenet_noface,decoder
infant,lFFA,-0.0731744689569867,0.022677699342310842,-0.3500535400028095,0.1516546629179666,0.24757086602677889,cornet_z_sl,imagenet_noface,decoder
infant,lA1,0.10500813802760332,0.02100339847988978,-0.13148601498266868,0.3246065184931151,0.20393007230879973,cornet_z_sl,imagenet_noface,decoder
infant,lEVC,0.05437383273148675,0.019403895608744306,-0.17856694297587428,0.26939845877877217,0.559752934155779,cornet_z_sl,imagenet_noface,decoder
infant,rFFA,0.006526369536178384,0.02286851076548149,-0.2347549413604727,0.2572143735159031,0.33746189592234965,cornet_z_sl,imagenet_noface,decoder
infant,rA1,-0.04601880206749872,0.02022181906084977,-0.26546380958995275,0.20746817774432516,0.03483094445709611,cornet_z_sl,imagenet_noface,decoder
infant,rEVC,0.12820948885900466,0.016372093374913417,-0.05107086410588452,0.2939286269341512,0.5717085991418562,cornet_z_sl,imagenet_noface,decoder
adult,FFA,0.5318888813790065,0.013315827880369752,0.38973533272216054,0.60509936304329,0.7648109625504194,cornet_z_sl,imagenet_noface,decoder
adult,A1,0.09732442876364816,0.014013958877814594,-0.1088671568656217,0.2413958341677294,0.6981748820957201,cornet_z_sl,imagenet_noface,decoder
adult,EVC,0.2080632650457304,0.01090427523369156,0.02946847069999995,0.30379693546904324,0.8959317862564882,cornet_z_sl,imagenet_noface,decoder
adult,lFFA,0.42122209071343725,0.01671975126670906,0.20205518560729588,0.568579394421823,0.7495346941290993,cornet_z_sl,imagenet_noface,decoder
adult,lA1,0.11722665633943224,0.0161296431161557,-0.08713786293839297,0.2875090767711783,0.6673124471914406,cornet_z_sl,imagenet_noface,decoder
adult,lEVC,0.27245740561685866,0.007635702936347231,0.1901533835639452,0.3654624504504523,0.9037720916711163,cornet_z_sl,imagenet_noface,decoder
adult,rFFA,0.49625656662690654,0.017148671837585262,0.16075974132267162,0.5927662161776677,0.7302893612286914,cornet_z_sl,imagenet_noface,decoder
adult,rA1,0.08170589452985681,0.013574112227397116,-0.03777136011961376,0.2119661177612341,0.6643228842525501,cornet_z_sl,imagenet_noface,decoder
adult,rEVC,0.18878047000358772,0.01174890762663034,0.06309568271503105,0.311700873750704,0.8710007967426356,cornet_z_sl,imagenet_noface,decoder
