age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,-0.05215226132855132,0.022348079069054345,-0.29035604670443665,0.19409341828904897,cornet_z_sl,imagenet_noface,decoder
infant,FFA,-0.0038018682396761287,0.022982525792157676,-0.2578580781028188,0.23724168403253362,cornet_z_sl,imagenet_noface,decoder
infant,A1,0.08830068649753585,0.027041058113443373,-0.2791412614023134,0.38176318643965834,cornet_z_sl,imagenet_noface,decoder
infant,EVC,0.10135629262980278,0.019970717811119074,-0.17429461010314218,0.28546106944817135,cornet_z_sl,imagenet_noface,decoder
infant,lLOC,-0.12105186429149846,0.022750152442068614,-0.36745778320566597,0.10168517074554403,cornet_z_sl,imagenet_noface,decoder
infant,lFFA,-0.04909906143816364,0.023254621906537487,-0.34226768834333393,0.17988789694446417,cornet_z_sl,imagenet_noface,decoder
infant,lA1,0.0668583215560257,0.02252635635967664,-0.19829895644478993,0.3118257385271232,cornet_z_sl,imagenet_noface,decoder
infant,lEVC,0.05639792657751503,0.02083095975033927,-0.18221583957596735,0.2831594234532296,cornet_z_sl,imagenet_noface,decoder
infant,rLOC,0.0005429326197425887,0.020464565490714477,-0.2348966608011227,0.18808582926396109,cornet_z_sl,imagenet_noface,decoder
infant,rFFA,0.03430038879421724,0.022240322280919947,-0.22429059995239606,0.2392494962785683,cornet_z_sl,imagenet_noface,decoder
infant,rA1,-0.019982599576378032,0.02458426200123501,-0.2642960116475082,0.26818198854628295,cornet_z_sl,imagenet_noface,decoder
infant,rEVC,0.14291758539234456,0.018325703148512548,-0.13011699616789701,0.3053385030549046,cornet_z_sl,imagenet_noface,decoder
adult,LOC,0.1862790587849849,0.019033972600216997,-0.006352849691636009,0.4093609949908991,cornet_z_sl,imagenet_noface,decoder
adult,FFA,0.5034483717289169,0.014332511809971263,0.3571716746502276,0.591562428412675,cornet_z_sl,imagenet_noface,decoder
adult,A1,0.11050111922441143,0.01701348304048923,-0.1403102409525638,0.2809805039501104,cornet_z_sl,imagenet_noface,decoder
adult,EVC,0.2098574293517967,0.01013409521589515,0.07125765678759438,0.2959548655737357,cornet_z_sl,imagenet_noface,decoder
adult,lLOC,0.047704516246264435,0.01683270817787842,-0.14660172282456901,0.22406598288467586,cornet_z_sl,imagenet_noface,decoder
adult,lFFA,0.4161197480328106,0.015842651270000504,0.224977163692713,0.5406367775430106,cornet_z_sl,imagenet_noface,decoder
adult,lA1,0.14694712140075425,0.013897881959297937,-0.0013024646458049353,0.276926058286191,cornet_z_sl,imagenet_noface,decoder
adult,lEVC,0.2899435224677714,0.009745187051678567,0.1953629977747172,0.40009158537081163,cornet_z_sl,imagenet_noface,decoder
adult,rLOC,0.29368389104215653,0.017990378888451387,0.0852207916682095,0.48090473874668155,cornet_z_sl,imagenet_noface,decoder
adult,rFFA,0.5142348190979873,0.012153743663923851,0.44303529977106804,0.5933556639653181,cornet_z_sl,imagenet_noface,decoder
adult,rA1,0.08914805774631511,0.018187184700985983,-0.1506224940453387,0.27968487624847976,cornet_z_sl,imagenet_noface,decoder
adult,rEVC,0.18400274053561536,0.009166540599579692,0.08769467598384492,0.2915041897122828,cornet_z_sl,imagenet_noface,decoder
