age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.326254317674984,0.02413405846460586,0.09297593201607565,0.5652950102148647,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,FFA,0.1953429670592081,0.016947474098229498,0.0022278530326454915,0.38062697328792167,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,A1,-0.016070597242355412,0.022230216046301893,-0.23045125958233925,0.23781760697974363,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,EVC,0.16894231387912353,0.017302686942759205,-0.03904986221227036,0.33614706202457695,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,lLOC,0.21717936313261307,0.021377813110398252,-0.047134647950447646,0.4469978267464696,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,lFFA,0.11413438574692551,0.013980991271129804,-0.06786541882513618,0.26610390325024097,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,lA1,0.1282554061446474,0.022213625187938624,-0.0921241475958113,0.3747017276333261,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,lEVC,0.11481557902253597,0.018084042820947225,-0.11003385710299188,0.2987753475177284,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,rLOC,0.2629458809614383,0.024872126063234763,-0.026948943873418993,0.5063514506045074,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,rFFA,0.17802211894069342,0.017929820012155366,-0.05576507587997304,0.3676303971211589,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,rA1,-0.06243333364958871,0.02140013726407806,-0.2559685609170959,0.19921789609859492,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
infant,rEVC,0.1583689400632296,0.018704977452814693,-0.04582607262064398,0.3353008114088211,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,LOC,0.30800648743758063,0.012659778414080489,0.12961230606281182,0.3858285084676008,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,FFA,0.29441181631773555,0.01366581362407348,0.13026064346974922,0.43046004675907,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,A1,0.15295972739633654,0.012498310693848528,-0.010057033490933565,0.27705228122492764,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,EVC,0.3198390898189434,0.00780242331950074,0.23052697504099218,0.40049258866910215,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,lLOC,0.2330893324688328,0.01759175532976968,-0.03788479164277808,0.35841161703978497,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,lFFA,0.241482542103967,0.013014520377156514,0.09467827239244309,0.3751513243717854,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,lA1,0.16219438926154647,0.013615032701103523,-0.01772707030871626,0.3319743916267259,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,lEVC,0.3802888569967309,0.009775906150461413,0.277924411235745,0.4618443026185468,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,rLOC,0.3371327786058418,0.007787044483063109,0.24725968795643655,0.40289712234776603,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,rFFA,0.31273562388775833,0.016616994568429407,0.08100277488788352,0.45648598830315856,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,rA1,0.06410197965983727,0.02168763179597034,-0.31079710064447746,0.22781587378165014,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
adult,rEVC,0.31043019716732656,0.010684335284627693,0.18920771418318366,0.42258464726225614,cornet_z_sl,imagenet_noface,imagenet_noface,aIT,aIT
