age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.08875085914333913,0.018332093586363275,-0.14875763739168163,0.25665860823362885,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,FFA,0.10684964499869971,0.01939933383404891,-0.13022516438079232,0.3025191917064553,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,A1,0.0012625432023721072,0.019986157857985156,-0.21718657171354322,0.2218951300527346,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,EVC,0.13248528746113414,0.014790014892674945,-0.030963606724183614,0.28786381064638944,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,lLOC,0.1508032672676049,0.020778648693659117,-0.08592614456834073,0.3820499443936674,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,lFFA,0.1004322923999706,0.024020765547867036,-0.2510177608907538,0.34911076613233155,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,lA1,0.08975519907206571,0.02043124211443925,-0.14590807676202747,0.29017736424961854,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,lEVC,0.12539051281730035,0.0145753371793175,-0.048199372081691214,0.27749040646563755,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,rLOC,-0.0009752852276745942,0.022038364477247052,-0.23062810433252517,0.2531279883461123,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,rFFA,0.08622309293081352,0.021789079797441196,-0.22741351128343226,0.31021377686191554,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,rA1,-0.07558659259790329,0.02136890702632321,-0.2580228870520059,0.21090568209376187,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
infant,rEVC,0.13090366556155109,0.017735845209033756,-0.048205529002000945,0.29549591713912615,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,LOC,0.2076905642912222,0.01784426903563228,-0.03916758001595991,0.3958680519376984,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,FFA,0.44519779385431774,0.007717342173055374,0.3584255760950025,0.5180134815374667,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,A1,-0.008514710986774596,0.013175523352841577,-0.1490976778564632,0.13754815094262787,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,EVC,0.46141353876244506,0.016761594899609905,0.27370962713156066,0.6254607805865438,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,lLOC,0.04944141347707402,0.020805656173120902,-0.20518627841692963,0.25780179034641537,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,lFFA,0.34440388642244346,0.01643954837929602,0.07049856143343623,0.4824362895848848,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,lA1,0.024113387114841983,0.01200223517319323,-0.10421396699746847,0.15040340313662923,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,lEVC,0.4383232660718053,0.016553401377547818,0.26428350970743514,0.6123762360424228,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,rLOC,0.3291395625895468,0.019076089967593413,0.12090344247516567,0.5426802485270126,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,rFFA,0.4610646099928881,0.006687682476968377,0.3569923014491174,0.5218665742404418,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,rA1,-0.04525404043610719,0.017218378374045794,-0.30647790601866215,0.11948371017961819,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
adult,rEVC,0.4748191292231081,0.01675177286143235,0.25279620819371906,0.6276061190311729,cornet_z_sl,imagenet_noface,imagenet_noface,decoder,pIT
