age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.12300034590976355,0.027316683025622478,-0.205328313500149,0.404421664449012,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,FFA,0.33321583113308456,0.02452263568503655,-0.039482451777243334,0.5425316323867281,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,A1,0.027785766214301396,0.0276131409040474,-0.28576287496729375,0.2998599802064069,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,EVC,0.37609054164556727,0.019116211111338433,0.16528604083533405,0.5395319155146634,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,lLOC,0.17476704187999725,0.02310314474515576,-0.12087422547917258,0.4128959631203744,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,lFFA,0.2680633814627919,0.025117934491121773,-0.14196345715100792,0.49135089640048585,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,lA1,0.19050437073193077,0.03163545101204185,-0.23690032451134133,0.4433754781428087,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,lEVC,0.36579877216562645,0.020510205537945816,0.08357304748486322,0.5319461413747847,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,rLOC,0.03625027054354609,0.0272234975859945,-0.24941591171202476,0.3105750562100025,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,rFFA,0.268785924025577,0.02547966819401792,-0.0866405582194894,0.49029057412576893,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,rA1,-0.03822109511605706,0.024176124799937627,-0.28555114963776296,0.2749480453627531,cornet_z_sl,imagenet_noface,vggface,V2,aIT
infant,rEVC,0.3165188861213166,0.024649163158098213,-0.10709978289724406,0.4992536236831158,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,LOC,0.4515418834718834,0.018041236285337964,0.13147165699181657,0.6112782423465681,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,FFA,0.16978407415695107,0.01774537399472914,-0.04618481841286663,0.3395268959035595,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,A1,0.24141278282776849,0.02497019068620756,0.018639874905606327,0.4409094599951028,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,EVC,0.1622260343648659,0.009552993535784675,0.03853656638050859,0.2537409949741504,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,lLOC,0.4284347202913906,0.016348347042499788,0.26093940430452006,0.5929621345967191,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,lFFA,0.10906626059511279,0.022063176047370636,-0.27756632700034023,0.3002863125576871,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,lA1,0.21205213326425418,0.02672834045814963,-0.20433759893182094,0.42087377073742943,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,lEVC,0.05395198808594845,0.0076908168448743775,-0.04077620165478429,0.1341288568926509,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,rLOC,0.29517726470188543,0.0144939165488021,0.11653503444647154,0.46115976506005446,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,rFFA,0.17908362705409228,0.016783255558163932,-0.020560321487864353,0.3348379722171554,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,rA1,0.2417535436020795,0.02575122377696468,-0.045346295679441324,0.4573961648742521,cornet_z_sl,imagenet_noface,vggface,V2,aIT
adult,rEVC,0.24047603417287813,0.012654100196803667,0.07554398109697437,0.3529737117752557,cornet_z_sl,imagenet_noface,vggface,V2,aIT
