age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,-0.15699451978334622,0.016634303538669865,-0.3231422168124422,0.019460931025670588,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,FFA,-0.22572492748139664,0.015000394217254994,-0.3520317499598964,-0.03593750770057461,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,A1,-0.07760522773901378,0.0208049996348767,-0.271634579873089,0.15987222516703467,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,EVC,-0.18543954709709765,0.017131235385156835,-0.37134555324236757,-0.03631048738208321,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,lLOC,-0.11252065388902906,0.025361196148523737,-0.38176712202648,0.1476474136059586,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,lFFA,-0.07135639636838609,0.023623890465581564,-0.36419532254011705,0.18500308278287733,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,lA1,-0.08198889802259833,0.02210290253262846,-0.2962043228839462,0.14664551132816,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,lEVC,-0.21164714618210417,0.016323667680468865,-0.37897390465935143,-0.03097547360971131,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,rLOC,-0.20594000061293158,0.01737870027502776,-0.41778756695311875,-0.02112760174777516,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,rFFA,-0.2055069713335471,0.014330031145777938,-0.3715190348284513,-0.021505516378292035,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,rA1,-0.13432584998497277,0.023616291956746017,-0.3195979407468342,0.1932196488000217,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
infant,rEVC,-0.15325202596123744,0.019732819267264307,-0.3759776896881615,0.11136184613966608,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,LOC,0.21636839274584138,0.01708167557846618,-0.012057194629260956,0.3820783606365249,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,FFA,0.35639811577024494,0.016275714818550203,0.1569588080954544,0.500289463162189,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,A1,0.08340590753667534,0.01965530656380185,-0.15285632875431046,0.29034224563073197,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,EVC,0.46961103191239273,0.009842940509104548,0.34975809229722,0.5788643921199715,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,lLOC,0.25649464673753913,0.020322097671790718,-0.01745819253504157,0.4398430810913617,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,lFFA,0.2897862496644401,0.024816583045174607,-0.0761002735912662,0.4694787909608611,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,lA1,0.044861805575445925,0.019313220715851006,-0.17903089042924492,0.23890822624431837,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,lEVC,0.3877438736064823,0.013680911430078373,0.23461957747711956,0.5505807129533514,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,rLOC,0.2704732167662645,0.01520441270006122,0.07211542464478515,0.40522527727785174,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,rFFA,0.3850452596712756,0.013555621621175106,0.21562039504717767,0.5347183426359478,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,rA1,0.09263170846298248,0.021525858782621043,-0.15638208456347683,0.32525328747452853,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
adult,rEVC,0.4954797854359023,0.007061594043228602,0.40606872561186613,0.5623591737410645,cornet_z_sl,imagenet_noface,vggface,decoder,aIT
