age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.08382563128687856,0.02498947889490251,-0.23463233426476215,0.3572653560471696,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,FFA,0.0725252937807298,0.02771052836359551,-0.20269081399488978,0.34173302685523066,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,A1,-0.020576950726286344,0.02004557834462641,-0.2469168000083163,0.1839430122429666,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,EVC,0.1775330166800833,0.018517403222154522,-0.03959379083880381,0.3616471737128788,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,lLOC,0.12045734464925863,0.020950257464655765,-0.13637052157928656,0.34175077245714186,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,lFFA,0.03189611326222519,0.02472411702762956,-0.2396663871148502,0.3032561292334879,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,lA1,0.08209253044425557,0.02353224366472639,-0.1999191746066137,0.3228500129544329,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,lEVC,0.19305051446858432,0.019074560980213432,-0.01701244157510361,0.3898746387186006,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,rLOC,-0.0031463038333201126,0.02260781859810143,-0.18891187910347984,0.34620677592166305,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,rFFA,0.046572734380462374,0.021935362023438484,-0.18678750431380764,0.2550622906636457,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,rA1,-0.06514685398489106,0.01819081856303784,-0.2543188039525769,0.13288428016413803,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
infant,rEVC,0.14758857162627068,0.015955633711045344,-0.07509152165454419,0.28478614440644506,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,LOC,0.26619530744227976,0.018081105518946365,0.08616091907962681,0.4040073876769856,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,FFA,0.33819949442274594,0.013484665696794296,0.23457125469060597,0.47010037813306293,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,A1,-0.053210476074439655,0.018399923376683874,-0.31599158541324185,0.11960145628491396,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,EVC,0.2588630419339194,0.014830334508612295,0.09814926481780326,0.3663730548014345,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,lLOC,0.1514749930630885,0.021466770588429565,-0.05694814230777147,0.33284839150255324,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,lFFA,0.16609767679862716,0.030257044006914192,-0.24202986444405858,0.380721312139717,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,lA1,-0.04410965237348246,0.016250802250539934,-0.2385501405380883,0.10782594589598284,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,lEVC,0.27269140987080154,0.010585107675297589,0.18223102310954306,0.3699956164396305,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,rLOC,0.30764707066789954,0.016029824362520873,0.17217641654197297,0.42998970691438804,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,rFFA,0.3487305741627267,0.013135697697835106,0.15249848237890554,0.4655500086136152,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,rA1,-0.09333954674273234,0.020373456780278115,-0.31811999520962164,0.09658689497450705,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
adult,rEVC,0.17991967876733372,0.015166855412273484,-0.0308474972817515,0.3333822615098639,cornet_z_sl,imagenet_noface,vggface,pIT,pIT
