age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,0.08632641037215928,0.02198991102534485,-0.17730276345698912,0.30992164849327597,cornet_z_sl,imagenet_oneface,V1
infant,FFA,0.29024464217950363,0.023041798417384997,0.03518971224917267,0.4650101062865269,cornet_z_sl,imagenet_oneface,V1
infant,A1,0.0028917663169891372,0.023474176173187828,-0.23112771904299706,0.2074618107868655,cornet_z_sl,imagenet_oneface,V1
infant,EVC,0.31154587191690786,0.02166805628752457,0.03618792137318311,0.4872513920521613,cornet_z_sl,imagenet_oneface,V1
infant,lLOC,0.14348274403152197,0.02477608576573595,-0.10780047340729446,0.3765733853404085,cornet_z_sl,imagenet_oneface,V1
infant,lFFA,0.1910676859676803,0.020503139011677,-0.10877526619535703,0.4227842855502765,cornet_z_sl,imagenet_oneface,V1
infant,lA1,0.1732176466080846,0.02761082443681544,-0.17441903995017594,0.4152720469849948,cornet_z_sl,imagenet_oneface,V1
infant,lEVC,0.31660689272768383,0.023868640190394756,-0.060898287568628945,0.5088977544448827,cornet_z_sl,imagenet_oneface,V1
infant,rLOC,0.015332642645041653,0.01897941247726435,-0.2007630311134064,0.2295566261547135,cornet_z_sl,imagenet_oneface,V1
infant,rFFA,0.21116117112762137,0.03200126117796429,-0.190794986959812,0.49203139834219783,cornet_z_sl,imagenet_oneface,V1
infant,rA1,-0.03308718786543083,0.019639482191910772,-0.25272895048752486,0.17257271871371946,cornet_z_sl,imagenet_oneface,V1
infant,rEVC,0.27224926796941284,0.021193178732319864,-5.8126245279831526e-05,0.4311269010075776,cornet_z_sl,imagenet_oneface,V1
adult,LOC,0.4312959090666727,0.01641615119336864,0.23649410907996327,0.6093953098809146,cornet_z_sl,imagenet_oneface,V1
adult,FFA,0.32872785442830094,0.014593219105381267,0.1706122319290982,0.48079907424944307,cornet_z_sl,imagenet_oneface,V1
adult,A1,0.04636274821133427,0.020610183787485647,-0.2232502328821834,0.2594123738507872,cornet_z_sl,imagenet_oneface,V1
adult,EVC,0.3424652697577431,0.012221626917333351,0.1614076491010533,0.45418578793934905,cornet_z_sl,imagenet_oneface,V1
adult,lLOC,0.4101251898155393,0.012551563245300558,0.27003072611149925,0.5566872194932253,cornet_z_sl,imagenet_oneface,V1
adult,lFFA,0.26766023365868086,0.013192430322897224,0.11045201748442433,0.40156891033440595,cornet_z_sl,imagenet_oneface,V1
adult,lA1,-0.008442619394558206,0.02171554721592772,-0.29550299160947446,0.19789632563959494,cornet_z_sl,imagenet_oneface,V1
adult,lEVC,0.3064649413669004,0.008916204264156187,0.20698275353117668,0.39954155503566335,cornet_z_sl,imagenet_oneface,V1
adult,rLOC,0.32320624643597795,0.024112211124011768,-0.0032460878370851563,0.5551577227532236,cornet_z_sl,imagenet_oneface,V1
adult,rFFA,0.31487021813324456,0.01767110108453943,0.0875950012047848,0.49415775840327203,cornet_z_sl,imagenet_oneface,V1
adult,rA1,0.046457011284585084,0.01358280759991497,-0.10488104228448757,0.1904488634996622,cornet_z_sl,imagenet_oneface,V1
adult,rEVC,0.32835175700275115,0.013514520528993152,0.1406196965661591,0.4618898454990367,cornet_z_sl,imagenet_oneface,V1
