age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.5672416958742993,0.01409085456341375,0.29643564462546906,0.6475630441829048,0.8368248110561559,cornet_z_sl,imagenet_oneface,pIT
infant,A1,0.520446166311161,0.010414750183756274,0.4172781310722141,0.628199511627638,0.7315708251379653,cornet_z_sl,imagenet_oneface,pIT
infant,EVC,0.5766962326167682,0.00885554696321357,0.4934631095329903,0.6636764866668406,0.8241364958863197,cornet_z_sl,imagenet_oneface,pIT
infant,lFFA,0.536148584927742,0.012290893025596519,0.3003773282078391,0.6227338293546157,0.7410233713731433,cornet_z_sl,imagenet_oneface,pIT
infant,lA1,0.3065721821795062,0.02619939579097064,0.04681033491256646,0.6041543551245109,0.5821577298726995,cornet_z_sl,imagenet_oneface,pIT
infant,lEVC,0.5847347633351674,0.009953656675681138,0.47677245275950286,0.6748895815703804,0.7899002024374957,cornet_z_sl,imagenet_oneface,pIT
infant,rFFA,0.5692584673521046,0.01549655785653512,0.26919724204952267,0.6627584739859391,0.809502567593724,cornet_z_sl,imagenet_oneface,pIT
infant,rA1,0.4975317614409154,0.009986079644217398,0.36694144659526484,0.5864715415127616,0.6678608282149848,cornet_z_sl,imagenet_oneface,pIT
infant,rEVC,0.5158058135705285,0.0152288416706416,0.31175198503392165,0.6301225179569487,0.8177717605613699,cornet_z_sl,imagenet_oneface,pIT
adult,FFA,0.576186588529861,0.009122754162431655,0.4462520269927997,0.6520364627595397,0.8505665201191305,cornet_z_sl,imagenet_oneface,pIT
adult,A1,0.576127242968046,0.007422011448841775,0.47311784008123337,0.6495479340717248,0.9042649288336156,cornet_z_sl,imagenet_oneface,pIT
adult,EVC,0.2439321791960319,0.01288903780801429,0.08729547654970073,0.35115027986957187,0.8320774541453766,cornet_z_sl,imagenet_oneface,pIT
adult,lFFA,0.24519544053962228,0.018820383428717825,-0.004739601367122236,0.45838368609152785,0.7914857034467324,cornet_z_sl,imagenet_oneface,pIT
adult,lA1,0.5734667639006089,0.00806008373110367,0.4784782480220496,0.6532940060858193,0.8826677955589378,cornet_z_sl,imagenet_oneface,pIT
adult,lEVC,0.23849216213209823,0.019805060298305355,-0.06756317239634423,0.36408387877048687,0.8335539341329862,cornet_z_sl,imagenet_oneface,pIT
adult,rFFA,0.5672019028241254,0.00776792516763613,0.46353980117094795,0.6297745492818405,0.8173925809476172,cornet_z_sl,imagenet_oneface,pIT
adult,rA1,0.5626343213500037,0.007626168101095087,0.4902410575804977,0.657313991552269,0.8817956475696335,cornet_z_sl,imagenet_oneface,pIT
adult,rEVC,0.21502642371988961,0.01835933699672329,0.0017339212608263625,0.3957944056376035,0.7373247301677567,cornet_z_sl,imagenet_oneface,pIT
