age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.09005899219330656,0.023158830569318254,-0.28619972979171526,0.36747553630968116,0.32633792139641765,cornet_z_sl,random,aIT
infant,A1,-0.10288197830222173,0.014871603114191414,-0.35108905596576095,0.1264888544728512,0.11172554718388567,cornet_z_sl,random,aIT
infant,EVC,0.028827766375207023,0.014713353657987375,-0.3337701216536438,0.19676976824794545,0.5764927278638691,cornet_z_sl,random,aIT
infant,lFFA,0.05924753581103006,0.01696483438932039,-0.24574837987983988,0.2570789586459434,0.22828665140252824,cornet_z_sl,random,aIT
infant,lA1,-0.04458948695049212,0.01613962060206216,-0.28845157160125395,0.19820951806584766,0.160972660287435,cornet_z_sl,random,aIT
infant,lEVC,0.05624260504346088,0.015837424855490643,-0.24179684716671568,0.23022610248047837,0.5552648920195317,cornet_z_sl,random,aIT
infant,rFFA,0.044258180529591094,0.023984035001459403,-0.28633302811091677,0.3440013787372187,0.3239995460233539,cornet_z_sl,random,aIT
infant,rA1,-0.006585266640848551,0.0138761145870129,-0.22680432692123348,0.22334940567900438,0.004413213244514862,cornet_z_sl,random,aIT
infant,rEVC,-0.027190783111827033,0.013511654956538366,-0.3225784358033293,0.13362549833494608,0.5642190427783971,cornet_z_sl,random,aIT
adult,FFA,0.3749026272841981,0.010971468325773285,0.18043869633564616,0.5406599478093485,0.7680515015985471,cornet_z_sl,random,aIT
adult,A1,0.12789779333801218,0.01594844081209952,-0.14721467611963393,0.28915321257018645,0.7177304946189179,cornet_z_sl,random,aIT
adult,EVC,0.29869384715257363,0.006476429451172066,0.1738121065853976,0.38116063344853385,0.8922874248241546,cornet_z_sl,random,aIT
adult,lFFA,0.32629923424927165,0.012668230687197649,0.14637663525001413,0.5127363451759807,0.7378744101147009,cornet_z_sl,random,aIT
adult,lA1,0.11109623017851929,0.016471314862875147,-0.23466595559949924,0.30164230660931185,0.6915866621769644,cornet_z_sl,random,aIT
adult,lEVC,0.36151756401633434,0.0072024087777206956,0.24446619172582848,0.4865721432935687,0.8985612453353349,cornet_z_sl,random,aIT
adult,rFFA,0.34083901344197043,0.010652159302672087,0.11600452975544823,0.48193959104999534,0.7554493909740522,cornet_z_sl,random,aIT
adult,rA1,0.05314557643728571,0.01778366367145203,-0.3681934846781518,0.24895969114935643,0.6835483088283284,cornet_z_sl,random,aIT
adult,rEVC,0.3026082634885241,0.006985498705339331,0.11476994746366578,0.3870218576439341,0.8659106322923864,cornet_z_sl,random,aIT
