age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,-0.13115564131589122,0.02070473094714465,-0.3729196796150232,0.11561087680549478,cornet_z_sl,random,decoder
infant,FFA,0.03931572406364729,0.025518212863997594,-0.23800361312308954,0.28537023597331795,cornet_z_sl,random,decoder
infant,A1,-0.06926958535690997,0.019088028512286012,-0.2855596687840313,0.1495466010120516,cornet_z_sl,random,decoder
infant,EVC,-0.03373290042807207,0.016542880249609752,-0.253062031360881,0.10636202295452528,cornet_z_sl,random,decoder
infant,lLOC,-0.015880465806151343,0.021297764622187045,-0.26184167912271145,0.19404755934814275,cornet_z_sl,random,decoder
infant,lFFA,-0.014447304006198439,0.026418159688569857,-0.2857874663764843,0.21313530460176933,cornet_z_sl,random,decoder
infant,lA1,-0.11409507341858255,0.01748718685369603,-0.2859770306783558,0.09935732195420525,cornet_z_sl,random,decoder
infant,lEVC,-0.044454236670643264,0.020934787037402595,-0.32666907368058756,0.1795458844995776,cornet_z_sl,random,decoder
infant,rLOC,-0.15477626831920632,0.020357092223705717,-0.3619034894644802,0.05052902960618354,cornet_z_sl,random,decoder
infant,rFFA,-0.0038137233260455107,0.02255566198506843,-0.25070907750715976,0.22916997393552307,cornet_z_sl,random,decoder
infant,rA1,-0.03922523380746881,0.02038501751081296,-0.2638955901206028,0.15897675136915113,cornet_z_sl,random,decoder
infant,rEVC,0.01854924344291782,0.01389278213226098,-0.14456489398973274,0.15563188105909678,cornet_z_sl,random,decoder
adult,LOC,0.5625625183328764,0.010543504984300584,0.4559603185556942,0.669495220417703,cornet_z_sl,random,decoder
adult,FFA,0.47260351479715257,0.015337104959219888,0.2478889904442434,0.6013037172001169,cornet_z_sl,random,decoder
adult,A1,0.17451650856030704,0.01867943639838572,-0.05215000221936423,0.3365976566660684,cornet_z_sl,random,decoder
adult,EVC,0.3340695105192125,0.013785855523159316,0.16414123766792102,0.4844268447729434,cornet_z_sl,random,decoder
adult,lLOC,0.6175390275429323,0.007203485354808812,0.5298403127610662,0.6957309802629984,cornet_z_sl,random,decoder
adult,lFFA,0.4893234237887224,0.015424033736624853,0.24975905766495016,0.6258289111955312,cornet_z_sl,random,decoder
adult,lA1,0.21592912784061638,0.021324581379369986,-0.050004275428673126,0.400727630589062,cornet_z_sl,random,decoder
adult,lEVC,0.351129681904183,0.012492530812335206,0.16686520603013358,0.4662971548217639,cornet_z_sl,random,decoder
adult,rLOC,0.3824816096274863,0.013265083409369917,0.23198192707841672,0.5033782164717006,cornet_z_sl,random,decoder
adult,rFFA,0.37944252891374447,0.019053907459728334,0.17160765123412816,0.5300726952174096,cornet_z_sl,random,decoder
adult,rA1,0.07142255903735262,0.014286857497158767,-0.10337263669579369,0.21579141795912304,cornet_z_sl,random,decoder
adult,rEVC,0.27640026889678654,0.014783021360864268,0.1144957365080877,0.41481272272198,cornet_z_sl,random,decoder
