age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.14112798913443592,0.01744917809754075,-0.20477588269648228,0.36314050193789726,0.32633792139641765,cornet_z_sl,random,pIT
infant,A1,-0.06506261405067196,0.014668859592430947,-0.3331379150481954,0.17197450217171825,0.11172554718388567,cornet_z_sl,random,pIT
infant,EVC,-0.03412304667231954,0.012400556627502373,-0.22891369503891668,0.14545021700747504,0.5764927278638691,cornet_z_sl,random,pIT
infant,lFFA,0.07259971504881822,0.016258412251695182,-0.2164361536223012,0.29285064729979515,0.22828665140252824,cornet_z_sl,random,pIT
infant,lA1,0.09090445434393503,0.016544033908013865,-0.2130219755867359,0.3174079558631774,0.160972660287435,cornet_z_sl,random,pIT
infant,lEVC,0.008223440810275763,0.015178031888711804,-0.28376088850669867,0.2160915647823962,0.5552648920195317,cornet_z_sl,random,pIT
infant,rFFA,0.16418976288012335,0.016628460550501427,-0.1859115809067363,0.36033299571597355,0.3239995460233539,cornet_z_sl,random,pIT
infant,rA1,-0.007881681387697834,0.011482140865826022,-0.21376716925453676,0.17327496452372151,0.004413213244514862,cornet_z_sl,random,pIT
infant,rEVC,-0.05330374719564074,0.012245865180357762,-0.2564812661216947,0.12319692211080319,0.5642190427783971,cornet_z_sl,random,pIT
adult,FFA,0.4258877272818999,0.012929954189982057,0.15635061289224594,0.596334427347497,0.7680515015985471,cornet_z_sl,random,pIT
adult,A1,0.1741978451338474,0.01690232388438703,-0.16988878102791147,0.3653034884656185,0.7177304946189179,cornet_z_sl,random,pIT
adult,EVC,0.37843473045841963,0.00483282614274263,0.3013011460918919,0.44368810300738665,0.8922874248241546,cornet_z_sl,random,pIT
adult,lFFA,0.46555669813159084,0.01229959545319717,0.2761503081130733,0.6158198567935738,0.7378744101147009,cornet_z_sl,random,pIT
adult,lA1,0.15683138472114785,0.014267062165019537,-0.12890461537081432,0.34062315074841343,0.6915866621769644,cornet_z_sl,random,pIT
adult,lEVC,0.37655524552153286,0.007323579391481501,0.23270372481164356,0.4759715038588334,0.8985612453353349,cornet_z_sl,random,pIT
adult,rFFA,0.37011376407561647,0.011380484475739484,0.16302543136044578,0.5122842001641911,0.7554493909740522,cornet_z_sl,random,pIT
adult,rA1,0.09636571801234836,0.017499390922732515,-0.2008541977092995,0.309056942184467,0.6835483088283284,cornet_z_sl,random,pIT
adult,rEVC,0.3311828820890959,0.004146417200989258,0.26365863940572004,0.39576780820495405,0.8659106322923864,cornet_z_sl,random,pIT
