age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.2947189576949167,0.022493637906543563,-0.18594921291898792,0.41534490041475747,0.8368248110561559,cornet_z_sl,random,pIT
infant,A1,0.24568922354160638,0.027800418773388753,-0.25055637735701447,0.40852076558370465,0.7315708251379653,cornet_z_sl,random,pIT
infant,EVC,0.22912916018869695,0.012767510231796429,0.008968343976922099,0.34149565364087336,0.8241364958863197,cornet_z_sl,random,pIT
infant,lFFA,0.2267622989409561,0.025264737032593982,-0.18151834472838116,0.3868017263147103,0.7410233713731433,cornet_z_sl,random,pIT
infant,lA1,0.12348757264620885,0.01925439270216752,-0.12077480481232611,0.2914750474137067,0.5821577298726995,cornet_z_sl,random,pIT
infant,lEVC,0.18595553875758974,0.014577697615375643,-0.03135350284043269,0.3151649421166752,0.7899002024374957,cornet_z_sl,random,pIT
infant,rFFA,0.3575780604803036,0.006389467827231382,0.27539565511346087,0.4125537338435702,0.809502567593724,cornet_z_sl,random,pIT
infant,rA1,0.16678344731172284,0.037376716731093315,-0.33075781391876413,0.42108693916432066,0.6678608282149848,cornet_z_sl,random,pIT
infant,rEVC,0.2608752416150096,0.01165145897213615,0.13286601411941532,0.3722698281915723,0.8177717605613699,cornet_z_sl,random,pIT
adult,FFA,0.22848688739217488,0.03332502191818839,-0.3662561866043612,0.40585749639484225,0.8505665201191305,cornet_z_sl,random,pIT
adult,A1,0.36063829880725967,0.008738419892522926,0.2757006764921083,0.46681587517647005,0.9042649288336156,cornet_z_sl,random,pIT
adult,EVC,0.03056169125225113,0.029805189398913974,-0.29339180964918715,0.25256655208861656,0.8320774541453766,cornet_z_sl,random,pIT
adult,lFFA,0.01963345222438739,0.045752231926378284,-0.3895245275917901,0.40373752988440936,0.7914857034467324,cornet_z_sl,random,pIT
adult,lA1,0.3809773321132869,0.011680412524741264,0.2602230000271173,0.5075757205774193,0.8826677955589378,cornet_z_sl,random,pIT
adult,lEVC,0.06824952501268336,0.018557155730366436,-0.29134890082547654,0.1927143335375217,0.8335539341329862,cornet_z_sl,random,pIT
adult,rFFA,0.4299248680920084,0.013950127114756797,0.26698788526156325,0.558212565172407,0.8173925809476172,cornet_z_sl,random,pIT
adult,rA1,0.27915401522253463,0.011707782959332589,0.13566632767032658,0.393943086884977,0.8817956475696335,cornet_z_sl,random,pIT
adult,rEVC,0.11870945360853613,0.02961628267740231,-0.28623951786635876,0.33077211003762375,0.7373247301677567,cornet_z_sl,random,pIT
