age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,0.15092566889780326,0.02494870587351215,-0.14077438781659468,0.4057480447123511,cornet_z_sl,vggface,V1
infant,FFA,0.19809982291149864,0.021572464904952945,-0.040236320948510144,0.4019491374625016,cornet_z_sl,vggface,V1
infant,A1,0.026492891178693422,0.02601362146679,-0.28987737277756687,0.2609513622651225,cornet_z_sl,vggface,V1
infant,EVC,0.26456877104689075,0.02224281597898402,-0.03746269214492691,0.47337419225988236,cornet_z_sl,vggface,V1
infant,lLOC,0.16623553447160383,0.018143725913121918,-0.026194551406815644,0.3287190475783202,cornet_z_sl,vggface,V1
infant,lFFA,0.09135781224779725,0.023696791969620747,-0.19910270288577062,0.33120905945788504,cornet_z_sl,vggface,V1
infant,lA1,0.14578057773861836,0.030350169253396786,-0.2469924262512149,0.43349545191003824,cornet_z_sl,vggface,V1
infant,lEVC,0.2445034085539442,0.0217447396755578,-0.05743246258337431,0.445073949385798,cornet_z_sl,vggface,V1
infant,rLOC,0.08887818084742691,0.02321927198513481,-0.19591976740032632,0.30723714461305485,cornet_z_sl,vggface,V1
infant,rFFA,0.13781673135694653,0.02833156787153615,-0.20208402347243884,0.4270745062571042,cornet_z_sl,vggface,V1
infant,rA1,-0.10750686758007376,0.02203144975502175,-0.3268691410210065,0.15745382887874093,cornet_z_sl,vggface,V1
infant,rEVC,0.2325514053924395,0.023739105314891377,-0.13268562048229474,0.4562871908482831,cornet_z_sl,vggface,V1
adult,LOC,0.37691585201960465,0.015890025071691044,0.16251317827666792,0.5322774844337242,cornet_z_sl,vggface,V1
adult,FFA,0.3000346284985258,0.016209966355759782,0.11055491888453471,0.4476097003874499,cornet_z_sl,vggface,V1
adult,A1,0.0845236377471025,0.02247986811947076,-0.1295947522824349,0.24595697877644793,cornet_z_sl,vggface,V1
adult,EVC,0.34304897365028064,0.010679660343330143,0.19473266088842497,0.4492045503699378,cornet_z_sl,vggface,V1
adult,lLOC,0.373760113607074,0.01635440196562946,0.21238027301737514,0.5546064935736621,cornet_z_sl,vggface,V1
adult,lFFA,0.27161282954115057,0.019140166512954342,0.01904918071688498,0.4521768667809868,cornet_z_sl,vggface,V1
adult,lA1,0.026069105586150373,0.025079900263980038,-0.3656462111701335,0.2238788069305549,cornet_z_sl,vggface,V1
adult,lEVC,0.37120942357168263,0.009004892424789752,0.2536729970062587,0.46055626518078,cornet_z_sl,vggface,V1
adult,rLOC,0.3213978530478834,0.01649511705902796,0.13184211525421657,0.498265794236841,cornet_z_sl,vggface,V1
adult,rFFA,0.25679108247521104,0.016049194172738653,0.10131316921432534,0.41231039023870675,cornet_z_sl,vggface,V1
adult,rA1,0.11770824583034445,0.022487239852590293,-0.17451968892045522,0.32423722479062894,cornet_z_sl,vggface,V1
adult,rEVC,0.3077252056440203,0.010767671622414222,0.17221389254524888,0.38908998510213916,cornet_z_sl,vggface,V1
