age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.147981305155616,0.016145000239988598,-0.17045617196240267,0.3809953367391679,0.3263379214632174,cornet_z_sl,vggface,V2
infant,A1,0.004097866596136974,0.0135029281307102,-0.2458093227528814,0.19918496428962998,0.11172554873736297,cornet_z_sl,vggface,V2
infant,EVC,0.17121086571876704,0.01488666675956291,-0.12941086852143166,0.37620066833654314,0.5764927279441446,cornet_z_sl,vggface,V2
infant,lFFA,0.1645041395173131,0.014570619744288846,-0.09958926661367543,0.4091145656970847,0.2282866503277269,cornet_z_sl,vggface,V2
infant,lA1,0.11162875765782715,0.017410832030980258,-0.1574421723992409,0.4103990521904511,0.160972660287435,cornet_z_sl,vggface,V2
infant,lEVC,0.1713765583462547,0.016705797783271803,-0.14920183091793135,0.3860517774908103,0.555264892084853,cornet_z_sl,vggface,V2
infant,rFFA,0.054474218979855854,0.019279405921065793,-0.24295053831969815,0.3630643067489794,0.3239995463217852,cornet_z_sl,vggface,V2
infant,rA1,-0.06956016879342075,0.015053001454924716,-0.2916435222028276,0.17059599879377602,0.004413214993469967,cornet_z_sl,vggface,V2
infant,rEVC,0.1503085173412493,0.01443905265307269,-0.08168644015379929,0.35523665709008906,0.5642190425321562,cornet_z_sl,vggface,V2
adult,FFA,0.2695689489255302,0.013101409908228162,0.046034823138314876,0.45463187275862654,0.7680515016381493,cornet_z_sl,vggface,V2
adult,A1,0.0283076668221563,0.015087094210482006,-0.3339551840499251,0.20585677231904423,0.7177304945991552,cornet_z_sl,vggface,V2
adult,EVC,0.5164966388458797,0.0066301461638339845,0.40357019850672665,0.6071514010280016,0.8922874248214641,cornet_z_sl,vggface,V2
adult,lFFA,0.2773312050554294,0.011413192027929184,0.058586550579890456,0.4263900844655506,0.7378744101147011,cornet_z_sl,vggface,V2
adult,lA1,0.03494489936404205,0.01689830670879857,-0.33374137306850915,0.2442973573502903,0.6915866621769642,cornet_z_sl,vggface,V2
adult,lEVC,0.567621512336037,0.0065299887424199714,0.4441059410405348,0.6552825951641398,0.8985612453814406,cornet_z_sl,vggface,V2
adult,rFFA,0.2168004182088746,0.012054116365970239,0.008307095419642642,0.3881371081631771,0.7554493898498734,cornet_z_sl,vggface,V2
adult,rA1,-0.007299856710012777,0.011744407453015958,-0.2007295989551123,0.1431073528499003,0.6835483092347355,cornet_z_sl,vggface,V2
adult,rEVC,0.5294801980309255,0.006016481053861567,0.43957039272036424,0.6240388218657915,0.865910632038466,cornet_z_sl,vggface,V2
