age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,0.24742493749846825,0.023733061289486195,-0.02821297554441224,0.43917306537508777,cornet_z_sl,vggface,decoder
infant,FFA,0.2768510186482228,0.024837399147781592,0.012020249275085793,0.5548903989414183,cornet_z_sl,vggface,decoder
infant,A1,0.09767483648228663,0.02545079864005913,-0.20635323328468194,0.392254392676123,cornet_z_sl,vggface,decoder
infant,EVC,0.1913493698295235,0.025043302692971545,-0.09989076405742081,0.43985796114288567,cornet_z_sl,vggface,decoder
infant,lLOC,0.1400891952783763,0.022516745158853477,-0.1735828889321721,0.3599838214426728,cornet_z_sl,vggface,decoder
infant,lFFA,0.1881206395910572,0.02633731417803484,-0.1299779877679605,0.45509642432847525,cornet_z_sl,vggface,decoder
infant,lA1,0.08543332589231534,0.025648684427641344,-0.18516478174752138,0.3730867938016887,cornet_z_sl,vggface,decoder
infant,lEVC,0.2633537710999325,0.026403868144451826,-0.04989714526811817,0.5165086788748302,cornet_z_sl,vggface,decoder
infant,rLOC,0.20447823507938928,0.02781171119517377,-0.14687719293755855,0.45264036455499307,cornet_z_sl,vggface,decoder
infant,rFFA,0.21764148853303625,0.026823506540853647,-0.14104263640271902,0.48382519485341074,cornet_z_sl,vggface,decoder
infant,rA1,0.019127450598247112,0.02417361685522855,-0.24826127121532948,0.3002669427408403,cornet_z_sl,vggface,decoder
infant,rEVC,0.11106119047557321,0.0217315308382254,-0.13900244019435865,0.33721389073625135,cornet_z_sl,vggface,decoder
adult,LOC,0.30652262433429406,0.014767768145686658,0.12212996355672198,0.47154646700169833,cornet_z_sl,vggface,decoder
adult,FFA,0.23228312255200276,0.018634117378555647,-0.012984490513304789,0.38872589204277197,cornet_z_sl,vggface,decoder
adult,A1,0.19104243046442812,0.01702881071065425,0.0059104408949047175,0.3566724081017082,cornet_z_sl,vggface,decoder
adult,EVC,0.3136932685801791,0.016412787031084945,0.12195893795424839,0.4198862731631073,cornet_z_sl,vggface,decoder
adult,lLOC,0.2534168013436496,0.011534631456244915,0.12616204367369474,0.3736134062781712,cornet_z_sl,vggface,decoder
adult,lFFA,0.24667952668533735,0.01831838440904469,0.012829471518922629,0.3840480880990239,cornet_z_sl,vggface,decoder
adult,lA1,0.2141117493350177,0.015842565818024523,0.029853708348272775,0.4005242414266317,cornet_z_sl,vggface,decoder
adult,lEVC,0.3467360187011729,0.010489301484228199,0.22385502596497145,0.44075321766509956,cornet_z_sl,vggface,decoder
adult,rLOC,0.35426912619543766,0.014653088091135044,0.17837553883837864,0.4854015195038979,cornet_z_sl,vggface,decoder
adult,rFFA,0.19708231245968275,0.015640176276846617,0.02278614114108899,0.3238650569495944,cornet_z_sl,vggface,decoder
adult,rA1,0.13614984167065378,0.016546550451815398,-0.04274797255014496,0.31201384342497784,cornet_z_sl,vggface,decoder
adult,rEVC,0.2613393334860943,0.015463118806326878,0.06415675483601083,0.3846032410316683,cornet_z_sl,vggface,decoder
