age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.6294432658881768,0.008195280281383204,0.546337011405515,0.7081721221191494,0.8368248110561559,cornet_z_sl,vggface_oneobject,V2
infant,A1,0.5455562187041514,0.01197886406581406,0.4047472015815747,0.6557830461309857,0.7315708251379653,cornet_z_sl,vggface_oneobject,V2
infant,EVC,0.5674167842809471,0.00801794583591966,0.45569463193971826,0.6442051527758272,0.8241364958863197,cornet_z_sl,vggface_oneobject,V2
infant,lFFA,0.5681977601387733,0.008179526052674713,0.4731706272239087,0.6542315543876361,0.7410233713731433,cornet_z_sl,vggface_oneobject,V2
infant,lA1,0.44068470879946176,0.014413621374827556,0.28535430721558513,0.5815822548652816,0.5821577298726995,cornet_z_sl,vggface_oneobject,V2
infant,lEVC,0.5841510696876108,0.009095489777544255,0.46290371498112,0.6721752193053552,0.7899002024374957,cornet_z_sl,vggface_oneobject,V2
infant,rFFA,0.6378487861062758,0.0088927339722712,0.5165675384480023,0.7171172637434732,0.809502567593724,cornet_z_sl,vggface_oneobject,V2
infant,rA1,0.47314133125245833,0.01046466070577249,0.3558611843584796,0.5885839227043252,0.6678608282149848,cornet_z_sl,vggface_oneobject,V2
infant,rEVC,0.5328604432835998,0.009774088836290343,0.40494420377037754,0.622972667961291,0.8177717605613699,cornet_z_sl,vggface_oneobject,V2
adult,FFA,0.6428940418233942,0.0051498411921103385,0.5804301373136963,0.6950458671078552,0.8505665201191305,cornet_z_sl,vggface_oneobject,V2
adult,A1,0.6932187008911396,0.004547392541501526,0.6444060121611315,0.736691000201629,0.9042649288336156,cornet_z_sl,vggface_oneobject,V2
adult,EVC,0.02795289792807684,0.03621876576876894,-0.3600762641070024,0.31067125696175674,0.8320774541453766,cornet_z_sl,vggface_oneobject,V2
adult,lFFA,0.5529446657332109,0.009835607191494912,0.4435386693259281,0.6335895442620904,0.7914857034467324,cornet_z_sl,vggface_oneobject,V2
adult,lA1,0.6686163869905895,0.005258568346644523,0.6019113350682189,0.7277334908272938,0.8826677955589378,cornet_z_sl,vggface_oneobject,V2
adult,lEVC,0.057514483745230924,0.02795563435771724,-0.3630137887237898,0.2735258981877444,0.8335539341329862,cornet_z_sl,vggface_oneobject,V2
adult,rFFA,0.6889013250764136,0.005491343494979943,0.6225802204810365,0.7457763700245901,0.8173925809476172,cornet_z_sl,vggface_oneobject,V2
adult,rA1,0.688647025020953,0.004957323732290979,0.631880292264208,0.7442652757138646,0.8817956475696335,cornet_z_sl,vggface_oneobject,V2
adult,rEVC,0.15380260529684212,0.033280445099523735,-0.34778120828922937,0.40334368351081284,0.7373247301677567,cornet_z_sl,vggface_oneobject,V2
