age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.5213318793510777,0.012637862038449278,0.3612892250922836,0.6282719437991736,0.8368248110561559,cornet_z_sl,vggface_oneobject,decoder
infant,A1,0.4129523896067404,0.021795437674013346,0.13296912261092073,0.5673765064067839,0.7315708251379653,cornet_z_sl,vggface_oneobject,decoder
infant,EVC,0.5553398951635379,0.014424989349940727,0.38193489075089215,0.680752435843912,0.8241364958863197,cornet_z_sl,vggface_oneobject,decoder
infant,lFFA,0.4942989032300194,0.016138069594073934,0.25079078151060546,0.6227143373489175,0.7410233713731433,cornet_z_sl,vggface_oneobject,decoder
infant,lA1,0.4177286517044059,0.020515208284409902,0.08919137429081495,0.5992270631172643,0.5821577298726995,cornet_z_sl,vggface_oneobject,decoder
infant,lEVC,0.5265695179372607,0.014549813411362203,0.3514913598164965,0.6454196303769155,0.7899002024374957,cornet_z_sl,vggface_oneobject,decoder
infant,rFFA,0.5149224301487632,0.010292045268650468,0.4044815552460208,0.6245420545386857,0.809502567593724,cornet_z_sl,vggface_oneobject,decoder
infant,rA1,0.3500664298278663,0.02118770745317038,0.15426836297642452,0.4955070086124466,0.6678608282149848,cornet_z_sl,vggface_oneobject,decoder
infant,rEVC,0.5476116378144189,0.0161972589169772,0.3262327457545319,0.7021853802092592,0.8177717605613699,cornet_z_sl,vggface_oneobject,decoder
adult,FFA,0.4474155788614203,0.011880397467217023,0.27629193735567154,0.5541080628086771,0.8505665201191305,cornet_z_sl,vggface_oneobject,decoder
adult,A1,0.6155300654822831,0.00905679454900879,0.4966242546877751,0.694443473970399,0.9042649288336156,cornet_z_sl,vggface_oneobject,decoder
adult,EVC,0.28191834345770844,0.013909721044231329,0.0804501425545423,0.4170901366427794,0.8320774541453766,cornet_z_sl,vggface_oneobject,decoder
adult,lFFA,0.4848633805322629,0.017019983221173207,0.2940570746260587,0.6691476297710781,0.7914857034467324,cornet_z_sl,vggface_oneobject,decoder
adult,lA1,0.6130657681133195,0.0077759858039704,0.48938805280552944,0.6802467565334819,0.8826677955589378,cornet_z_sl,vggface_oneobject,decoder
adult,lEVC,0.17081817178891534,0.011718185100227964,0.0321313053662923,0.27175504107293413,0.8335539341329862,cornet_z_sl,vggface_oneobject,decoder
adult,rFFA,0.38200976406491044,0.01826873755983458,0.16022085124660673,0.5136986975182432,0.8173925809476172,cornet_z_sl,vggface_oneobject,decoder
adult,rA1,0.593777780889692,0.009621040834262193,0.48385837809950416,0.6967879475423195,0.8817956475696335,cornet_z_sl,vggface_oneobject,decoder
adult,rEVC,0.3522609476296067,0.021621581214428188,0.03155278316322974,0.5211732713135693,0.7373247301677567,cornet_z_sl,vggface_oneobject,decoder
