age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.044246204580754706,0.02380888902022032,-0.24506332224019978,0.27405390929976203,cornet_z_sl,vggface,vggface,V2,aIT
infant,FFA,0.16282467069617723,0.02927870985814502,-0.1978751877263931,0.3902196456264069,cornet_z_sl,vggface,vggface,V2,aIT
infant,A1,-0.08388887495876889,0.02632946653947732,-0.39170254132237864,0.18891077469305217,cornet_z_sl,vggface,vggface,V2,aIT
infant,EVC,0.09578810373735572,0.020190075726216634,-0.14949401960170972,0.3323353863294952,cornet_z_sl,vggface,vggface,V2,aIT
infant,lLOC,0.10605591522385499,0.022953626364931486,-0.1812543409782662,0.3216878828592935,cornet_z_sl,vggface,vggface,V2,aIT
infant,lFFA,0.1561147500286846,0.029651028676003305,-0.22714448589518577,0.38268251933165043,cornet_z_sl,vggface,vggface,V2,aIT
infant,lA1,0.09417122313127722,0.02711173567635947,-0.22864094547074656,0.3760054783801609,cornet_z_sl,vggface,vggface,V2,aIT
infant,lEVC,0.13740462038651258,0.022804025961948932,-0.14228473377781709,0.36506134329884987,cornet_z_sl,vggface,vggface,V2,aIT
infant,rLOC,-0.06550650498715001,0.023160138689985038,-0.3166838562339727,0.18727018229186437,cornet_z_sl,vggface,vggface,V2,aIT
infant,rFFA,0.08342292949501687,0.027928867723892605,-0.23630683810273329,0.3421206994087921,cornet_z_sl,vggface,vggface,V2,aIT
infant,rA1,-0.1640479251791345,0.01638252423879081,-0.3224709407129282,-0.008060164097548582,cornet_z_sl,vggface,vggface,V2,aIT
infant,rEVC,0.04858015903550392,0.01660116098682688,-0.16429655377128813,0.2162993296350605,cornet_z_sl,vggface,vggface,V2,aIT
adult,LOC,0.05242418407860941,0.01404139765850809,-0.11867094188204194,0.18470899510081423,cornet_z_sl,vggface,vggface,V2,aIT
adult,FFA,-0.08436820903924377,0.014516504686558834,-0.2641633681778812,0.04911932948834138,cornet_z_sl,vggface,vggface,V2,aIT
adult,A1,-0.013375525593685527,0.02601649687823708,-0.48918824924602816,0.16179334412489846,cornet_z_sl,vggface,vggface,V2,aIT
adult,EVC,0.062725082454644,0.013253633816116701,-0.09794651443161521,0.22052782535028012,cornet_z_sl,vggface,vggface,V2,aIT
adult,lLOC,-0.030155641192136186,0.015405579760493187,-0.21337756675510047,0.1091587867283675,cornet_z_sl,vggface,vggface,V2,aIT
adult,lFFA,-0.07150111073199993,0.018681564285418478,-0.30861536493972175,0.11804936552380965,cornet_z_sl,vggface,vggface,V2,aIT
adult,lA1,-0.056578384398807254,0.02765331362091301,-0.49029440374822963,0.14745219207890234,cornet_z_sl,vggface,vggface,V2,aIT
adult,lEVC,0.014596549989220338,0.013041660904702374,-0.1444867009054314,0.18087463696644843,cornet_z_sl,vggface,vggface,V2,aIT
adult,rLOC,0.13223600507777525,0.01241845204589806,-0.004593070752263513,0.2614751130735716,cornet_z_sl,vggface,vggface,V2,aIT
adult,rFFA,-0.12145767345263281,0.013521961074607491,-0.2843046105629384,0.027893882047074835,cornet_z_sl,vggface,vggface,V2,aIT
adult,rA1,0.00942846800418934,0.025031292107254077,-0.46575648192584146,0.19098446980962192,cornet_z_sl,vggface,vggface,V2,aIT
adult,rEVC,0.13893295005536271,0.016974115608391484,-0.0990609084375542,0.29452619099733257,cornet_z_sl,vggface,vggface,V2,aIT
