age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.0444819784710417,0.020067923461130822,-0.19296271322698336,0.20945703850877623,cornet_z_sl,vggface,vggface,V2,pIT
infant,FFA,0.18807643118164627,0.0234065052590942,-0.18563723697787768,0.34429295677338306,cornet_z_sl,vggface,vggface,V2,pIT
infant,A1,0.03579714449282847,0.021625642485032938,-0.20569200796354553,0.26766846095944596,cornet_z_sl,vggface,vggface,V2,pIT
infant,EVC,0.2369667861174467,0.015512333944288099,0.07922480391668357,0.39914463511351056,cornet_z_sl,vggface,vggface,V2,pIT
infant,lLOC,0.15376761492789426,0.020487059708816296,-0.09357351534502005,0.3438396626908648,cornet_z_sl,vggface,vggface,V2,pIT
infant,lFFA,0.15853891464195657,0.022539388733681356,-0.17676708665236932,0.33029749797864394,cornet_z_sl,vggface,vggface,V2,pIT
infant,lA1,0.13517215459328952,0.021156141419279195,-0.11730776782819101,0.30668263840653726,cornet_z_sl,vggface,vggface,V2,pIT
infant,lEVC,0.25682569580979175,0.014229149506080997,0.124541745301701,0.4411482626884675,cornet_z_sl,vggface,vggface,V2,pIT
infant,rLOC,-0.09537690217267665,0.022230462875976145,-0.3258693602791159,0.1979812865723007,cornet_z_sl,vggface,vggface,V2,pIT
infant,rFFA,0.11016129594070412,0.02613290393706069,-0.2269923290012103,0.334827833376999,cornet_z_sl,vggface,vggface,V2,pIT
infant,rA1,-0.035952624682763196,0.020278630255966552,-0.2510353487818265,0.21287776878237258,cornet_z_sl,vggface,vggface,V2,pIT
infant,rEVC,0.18174552444435954,0.01989019318292182,-0.07528968786418358,0.3882196405389057,cornet_z_sl,vggface,vggface,V2,pIT
adult,LOC,0.040062050069331764,0.017374471791815414,-0.24261407814224636,0.19247585533888079,cornet_z_sl,vggface,vggface,V2,pIT
adult,FFA,0.03320430569079477,0.021085484247076475,-0.2855572150074551,0.19203465548947396,cornet_z_sl,vggface,vggface,V2,pIT
adult,A1,0.1031877714147456,0.02219930660086562,-0.12192232632684796,0.2760512301843613,cornet_z_sl,vggface,vggface,V2,pIT
adult,EVC,0.15082160418295806,0.011412439520711425,0.044150882069006255,0.28393719225402275,cornet_z_sl,vggface,vggface,V2,pIT
adult,lLOC,0.04381491157876972,0.015031149918220701,-0.13580195864259736,0.19092130621749498,cornet_z_sl,vggface,vggface,V2,pIT
adult,lFFA,0.024045583369665585,0.020843464586860486,-0.3219956320440907,0.1759600044220534,cornet_z_sl,vggface,vggface,V2,pIT
adult,lA1,0.0736971823167277,0.026812978959571545,-0.4598129137321721,0.23400335793008623,cornet_z_sl,vggface,vggface,V2,pIT
adult,lEVC,0.1777554808248875,0.01108920695158873,0.0743189351901113,0.31266440538183027,cornet_z_sl,vggface,vggface,V2,pIT
adult,rLOC,-0.06339494813784535,0.020790817011449296,-0.329162200463734,0.12977164059506432,cornet_z_sl,vggface,vggface,V2,pIT
adult,rFFA,0.03828981672476979,0.021978195906976195,-0.26877164435703876,0.24911807529910213,cornet_z_sl,vggface,vggface,V2,pIT
adult,rA1,0.03939625909154003,0.023112172471649227,-0.2554595895238077,0.23625400041642874,cornet_z_sl,vggface,vggface,V2,pIT
adult,rEVC,0.16046589802300049,0.013634059617040435,0.016399718497336787,0.3176216478393409,cornet_z_sl,vggface,vggface,V2,pIT
