age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,0.12032669901333837,0.026469583447726406,-0.2047438488691768,0.3732402233603217,cornet_z_sl,vggface,vggface,V4,V4
infant,FFA,0.30082110481671415,0.02164554396681708,0.013925678408995466,0.4862512518009277,cornet_z_sl,vggface,vggface,V4,V4
infant,A1,0.0342630772159267,0.026557042383634228,-0.280217332950414,0.2858857699376604,cornet_z_sl,vggface,vggface,V4,V4
infant,EVC,0.25675006576785686,0.02517502255651073,-0.05783757871336606,0.4702057360347035,cornet_z_sl,vggface,vggface,V4,V4
infant,lLOC,0.19296456579813456,0.02690441202169385,-0.1529791166678057,0.4326945305553393,cornet_z_sl,vggface,vggface,V4,V4
infant,lFFA,0.19760627833351896,0.032027921276090776,-0.26018463918345314,0.48752037418637845,cornet_z_sl,vggface,vggface,V4,V4
infant,lA1,0.18044800855109153,0.028161035091261288,-0.1880633178332889,0.43564637540377854,cornet_z_sl,vggface,vggface,V4,V4
infant,lEVC,0.2698131354223881,0.025960911145838803,-0.015692044972955597,0.4835716719592327,cornet_z_sl,vggface,vggface,V4,V4
infant,rLOC,0.004661282635249653,0.02255701778407449,-0.23180922479314028,0.23837017482489217,cornet_z_sl,vggface,vggface,V4,V4
infant,rFFA,0.2649768340638447,0.017936821930695915,0.029643974839133384,0.4279659571231906,cornet_z_sl,vggface,vggface,V4,V4
infant,rA1,-0.09443457398042777,0.01799177531647767,-0.26161219120524914,0.15124360597275965,cornet_z_sl,vggface,vggface,V4,V4
infant,rEVC,0.2204148313608963,0.021438044079952357,-0.07339841345804879,0.40304852020832743,cornet_z_sl,vggface,vggface,V4,V4
adult,LOC,-0.30296201837046,0.009462758113996585,-0.39242072327383504,-0.18490156934572272,cornet_z_sl,vggface,vggface,V4,V4
adult,FFA,-0.138099864261891,0.013883163886510015,-0.28958748849636323,0.037844578328724406,cornet_z_sl,vggface,vggface,V4,V4
adult,A1,-0.31113995062307387,0.02044951080661412,-0.541288837159158,-0.10879940734580072,cornet_z_sl,vggface,vggface,V4,V4
adult,EVC,0.27780019965267333,0.012677809478455156,0.08625016397105721,0.41047287129843024,cornet_z_sl,vggface,vggface,V4,V4
adult,lLOC,-0.29825764398420296,0.010577989065183249,-0.40057444217561894,-0.1776029025897341,cornet_z_sl,vggface,vggface,V4,V4
adult,lFFA,-0.15432718837033751,0.016787962956695043,-0.33382225991827547,0.03487350186210452,cornet_z_sl,vggface,vggface,V4,V4
adult,lA1,-0.3197621426379221,0.018229456477863816,-0.5310810763420811,-0.13444740831372667,cornet_z_sl,vggface,vggface,V4,V4
adult,lEVC,0.19860201057429563,0.011610454631790407,0.06274649242843354,0.3223820272612987,cornet_z_sl,vggface,vggface,V4,V4
adult,rLOC,-0.2884805747464663,0.009248655886354339,-0.37365037982957916,-0.1755431706048477,cornet_z_sl,vggface,vggface,V4,V4
adult,rFFA,-0.12253482128775178,0.015364303475660023,-0.2824571133986879,0.056169633250883734,cornet_z_sl,vggface,vggface,V4,V4
adult,rA1,-0.2928052115826786,0.0217592149792584,-0.5353460147152066,-0.07376087044900449,cornet_z_sl,vggface,vggface,V4,V4
adult,rEVC,0.3021629333727203,0.010783595560863227,0.1790363847994989,0.4221590447965522,cornet_z_sl,vggface,vggface,V4,V4
