age,roi,corr,se,ci_low,ci_high,architecture,train_type1,train_type2,layer1,layer2
infant,LOC,-0.024736871366256637,0.020962906345958803,-0.2640772350617539,0.22886408222324148,cornet_z_sl,vggface,vggface,aIT,V1
infant,FFA,-0.08903165737150028,0.020470806436177953,-0.29375747144470316,0.15607929276157426,cornet_z_sl,vggface,vggface,aIT,V1
infant,A1,-0.11279213841385928,0.022221912382533474,-0.38664336049612696,0.11412932381484414,cornet_z_sl,vggface,vggface,aIT,V1
infant,EVC,0.07122745336945231,0.015695525685377645,-0.11712934789312153,0.26136125930683207,cornet_z_sl,vggface,vggface,aIT,V1
infant,lLOC,0.09353142637748035,0.015007076695647107,-0.06066259328119416,0.26581891314228684,cornet_z_sl,vggface,vggface,aIT,V1
infant,lFFA,-0.11499316124796241,0.019773931725054338,-0.3102804814636782,0.11944877873871723,cornet_z_sl,vggface,vggface,aIT,V1
infant,lA1,-0.008280450111819566,0.02391606032271639,-0.3127416403889777,0.23018289227071914,cornet_z_sl,vggface,vggface,aIT,V1
infant,lEVC,0.06560281187121103,0.016266975923965577,-0.12925979775855875,0.248612754179224,cornet_z_sl,vggface,vggface,aIT,V1
infant,rLOC,-0.11458722471906953,0.018581496211236097,-0.31626413696102945,0.09694518793947807,cornet_z_sl,vggface,vggface,aIT,V1
infant,rFFA,-0.017617773211242357,0.022567047228146616,-0.25112423688929253,0.24908854841525913,cornet_z_sl,vggface,vggface,aIT,V1
infant,rA1,-0.1359788147950451,0.02139166696568557,-0.33474529342935483,0.1593930183840618,cornet_z_sl,vggface,vggface,aIT,V1
infant,rEVC,0.05073365136632327,0.016443307812016937,-0.13785137610187762,0.1992999814232205,cornet_z_sl,vggface,vggface,aIT,V1
adult,LOC,0.11004475753249512,0.017533918881020804,-0.07523622076034867,0.2854491069636234,cornet_z_sl,vggface,vggface,aIT,V1
adult,FFA,0.16267170250581725,0.013918774124188894,-0.00707031466157429,0.30223642205947154,cornet_z_sl,vggface,vggface,aIT,V1
adult,A1,0.02353992288359988,0.023753019758415123,-0.18448286503312777,0.2840289008740052,cornet_z_sl,vggface,vggface,aIT,V1
adult,EVC,0.18290670112690297,0.013451116191401883,0.0361499013250388,0.33190480578034676,cornet_z_sl,vggface,vggface,aIT,V1
adult,lLOC,0.18514733667309533,0.016486433710551023,0.018955008920113692,0.3768682629972644,cornet_z_sl,vggface,vggface,aIT,V1
adult,lFFA,0.16831024195261704,0.0174615013972733,-0.024543329070445166,0.36255046806613345,cornet_z_sl,vggface,vggface,aIT,V1
adult,lA1,-0.03234296487947365,0.021822089294569615,-0.22967976263918036,0.21809080618524285,cornet_z_sl,vggface,vggface,aIT,V1
adult,lEVC,0.15811012485857262,0.011005817970236989,0.04461782874192248,0.28109429449729795,cornet_z_sl,vggface,vggface,aIT,V1
adult,rLOC,-0.093397617016063,0.018269924901093217,-0.2872075798791356,0.1406896868033783,cornet_z_sl,vggface,vggface,aIT,V1
adult,rFFA,0.11538808807637568,0.01413708771606386,-0.05121682577936033,0.26187294796550065,cornet_z_sl,vggface,vggface,aIT,V1
adult,rA1,0.08505075626855307,0.02286034163063313,-0.10888323655607675,0.3283946150658358,cornet_z_sl,vggface,vggface,aIT,V1
adult,rEVC,0.24994547290555666,0.016161376608660356,0.061476495123510846,0.4156870782439965,cornet_z_sl,vggface,vggface,aIT,V1
