age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
5,LOC,0.015283671881109274,0.017522336527188688,-0.2561330466287445,0.1795132331108833,cornet_z_sl,imagenet_noface,pIT
5,FFA,0.15886366838572796,0.013783694242157231,-0.04177856702702046,0.2575931304939821,cornet_z_sl,imagenet_noface,pIT
5,A1,0.09871741272404738,0.012531871226794195,-0.036642374565571526,0.2272350080257388,cornet_z_sl,imagenet_noface,pIT
5,EVC,0.22496721538354947,0.017190445875669147,-0.0019885856780153836,0.35327269174912457,cornet_z_sl,imagenet_noface,pIT
6,LOC,0.007755265814680901,0.015476981833934925,-0.15346462471060335,0.1501319454301257,cornet_z_sl,imagenet_noface,pIT
6,FFA,0.028034694721150947,0.013189707415256107,-0.17248980883421386,0.14593966029713323,cornet_z_sl,imagenet_noface,pIT
6,A1,0.03390390239111424,0.008000667943875647,-0.0547074000190972,0.1325597143039565,cornet_z_sl,imagenet_noface,pIT
6,EVC,0.09765674227077831,0.009703886426970279,-0.02476007029512939,0.1926257911085783,cornet_z_sl,imagenet_noface,pIT
7,LOC,0.011455168269613151,0.020513718932875312,-0.18471995770875854,0.26338150337523003,cornet_z_sl,imagenet_noface,pIT
7,FFA,0.14255100461623127,0.01658775563637035,-0.02949374137057281,0.3091716404322301,cornet_z_sl,imagenet_noface,pIT
7,A1,0.01252468937390759,0.010452392059974431,-0.11550152127700548,0.13508518320980364,cornet_z_sl,imagenet_noface,pIT
7,EVC,0.2488760288633164,0.0152421844988947,0.05198808404538848,0.3607706666564642,cornet_z_sl,imagenet_noface,pIT
18,LOC,0.19217449200364037,0.011598504648910058,0.0489127278004034,0.28455796587408044,cornet_z_sl,imagenet_noface,pIT
18,FFA,0.10432044244462114,0.006952943344594955,0.030567620090966106,0.18791545981713004,cornet_z_sl,imagenet_noface,pIT
18,A1,0.1125248355168439,0.003962578677242029,0.06543321605092932,0.15062381196951857,cornet_z_sl,imagenet_noface,pIT
18,EVC,0.27185070914429593,0.00933832006637205,0.2173905770700015,0.34481327075030155,cornet_z_sl,imagenet_noface,pIT
